SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
THEINVEST,20180725,220,229,218,225.05,4934,3439
THEINVEST,20180726,223.1,226,212.5,215.85,3145,2810
THEINVEST,20180727,224.5,224.5,216.05,220.85,1040,819
THEINVEST,20180730,225,228.4,220.7,227,12332,11291
THEINVEST,20180731,221.05,229,221.05,225.95,3720,3290
THEINVEST,20180801,228,229.8,216,221.2,10161,6491
THEINVEST,20180802,222,225,216.2,219.7,1345,1077
THEINVEST,20180803,217.5,230,217.5,229.65,18294,16482
THEINVEST,20180806,234,234,210.05,229.15,15366,13075
THEINVEST,20180807,225.1,229,216.05,219.6,2519,1705
THEINVEST,20180808,226.9,230,222,229.7,7397,5646
THEINVEST,20180809,225,229.9,225,228.5,3062,2539
THEINVEST,20180810,228.8,229.9,222,229,3581,2877
THEINVEST,20180813,225,228.8,222.2,224.85,5908,5151
THEINVEST,20180814,228,229.9,223,223.5,5928,4413
THEINVEST,20180816,221,225.9,220,223.95,2793,2383
THEINVEST,20180817,221.1,222.9,212.4,219.8,4763,2634
THEINVEST,20180820,213.1,230,213.1,229.55,9494,6986
THEINVEST,20180821,224,227.75,221,225.5,2252,1472
THEINVEST,20180823,223,229.9,220.15,228.2,8195,5185
THEINVEST,20180824,229.7,230,218.4,228.9,8212,5499
THEINVEST,20180827,228.9,232.5,225.35,228.5,7908,6628
THEINVEST,20180828,229.9,231,227,229.4,12002,9078
THEINVEST,20180829,216,231,216,225.2,6595,5830
THEINVEST,20180830,220.1,232.5,220.1,230.05,11487,8860
THEINVEST,20180831,229.9,230,225.3,230,9773,7563
THEINVEST,20180903,228,230.05,221.1,229.4,14614,9497
THEINVEST,20180904,227,227.6,210,223.1,19216,10813
THEINVEST,20180905,220,227.5,218.65,223.6,5556,4172
THEINVEST,20180906,225.9,230,221.1,229.3,17848,12393
THEINVEST,20180907,225.05,229.85,218,228.3,12372,6856
THEINVEST,20180910,228.5,228.9,225.55,227.6,4702,3413
THEINVEST,20180911,227.5,236.8,226.1,231.05,34106,23429
THEINVEST,20180912,227.65,240,223.25,237.35,15530,13504
THEINVEST,20180914,233,240,231,236.05,31914,24363
THEINVEST,20180917,236,257.3,235.75,252.2,25577,20145
THEINVEST,20180918,259.9,280,255,265.55,66340,50374
THEINVEST,20180919,265.55,272.25,241.05,251.25,31044,24678
THEINVEST,20180921,250,260,221,234.1,13455,8235
THEINVEST,20180924,220.2,240,192.75,206.4,21975,15109
THEINVEST,20180925,203.05,208,195,200,13040,7796
THEINVEST,20180926,199,213.95,199,208.6,5819,4559
THEINVEST,20180927,207,211.9,202,207.85,4017,2856
THEINVEST,20180928,204.3,209.95,192.35,201.7,8892,4880
THEINVEST,20181001,201.9,201.9,176.4,185.25,10640,7953
THEINVEST,20181003,191,194.95,185,189.55,3043,2709
THEINVEST,20181004,194.95,194.95,182,189.1,1861,1154
THEINVEST,20181005,206.4,206.4,190,202.45,2044,1318
THEINVEST,20181008,204.9,204.9,188.2,189.1,3439,2111
THEINVEST,20181009,199.8,199.8,167.5,175.65,11865,7347
THEINVEST,20181010,175,203.95,175,199.9,11174,9671
THEINVEST,20181011,200,206.8,182.1,198.4,5529,2529
THEINVEST,20181012,207,210,202.4,205.6,2031,1759
THEINVEST,20181015,215.4,215.4,195.4,205.05,1651,1011
THEINVEST,20181016,212.4,212.4,204.1,211.95,1366,1090
THEINVEST,20181017,209,212,201,204.2,4347,2356
THEINVEST,20181019,201,208.3,195.2,200,2039,1685
THEINVEST,20181022,190.4,205,190.4,203.6,5693,4835
THEINVEST,20181023,200,205.95,190,196.65,4167,2459
THEINVEST,20181024,195.05,200,195.05,199.85,2743,1989
THEINVEST,20181025,202.8,202.85,185,187.25,3260,2294
THEINVEST,20181026,184.9,185,182.05,183.5,3987,2996
THEINVEST,20181029,183.8,200,181.1,199.4,9207,7120
THEINVEST,20181030,205,205,188.4,195.9,8651,5331
THEINVEST,20181031,196,198.4,187.15,191.9,2387,1580
THEINVEST,20181101,198,198,189.05,189.1,1931,1523
THEINVEST,20181102,194.9,194.9,188,190.8,2168,1759
THEINVEST,20181105,191.1,192.7,180.1,186.3,7939,5915
THEINVEST,20181106,188.7,192.85,184,187,7325,4451
THEINVEST,20181107,190,198.95,189.8,190.65,394,381
THEINVEST,20181109,180.6,197,171.1,193.85,8433,4457
THEINVEST,20181112,189,204.35,188.05,194.9,4119,2477
THEINVEST,20181113,194.8,194.8,186.25,191.15,2419,1450
THEINVEST,20181114,192.85,200,192.5,197.75,2018,1541
THEINVEST,20181115,192.1,203.95,192.1,197,1181,954
THEINVEST,20181116,190.1,212,188,190.95,8316,5974
THEINVEST,20181119,194.95,195,184.15,188.55,4279,2932
THEINVEST,20181120,198,214.65,191.1,209.2,30645,17406
THEINVEST,20181121,198,216.75,198,212.6,6821,5145
THEINVEST,20181122,223.95,230,216,225.15,15157,11644
THEINVEST,20181126,228.4,235.5,225.5,227.85,10081,7367
THEINVEST,20181127,237.25,237.25,198.5,202.65,17700,9567
THEINVEST,20181128,202,214.95,193.1,198.75,11922,5624
THEINVEST,20181129,197,202.9,183.9,187.25,11874,6333
THEINVEST,20181130,197.8,199,180.05,192.35,10287,5973
THEINVEST,20181203,182.5,192.35,182.2,187.85,5746,3252
THEINVEST,20181204,185,187,184.55,186.15,2435,1917
THEINVEST,20181205,198,198,176.55,180.2,6525,4034
THEINVEST,20181206,180,183.9,178.1,180.7,10926,9331
THEINVEST,20181207,179,185,173.35,178.9,5570,3534
THEINVEST,20181210,176.05,181.95,175,176.7,6144,4632
THEINVEST,20181211,175,181,165.5,179.45,1650,1167
THEINVEST,20181212,184,189.9,182.25,183.7,3925,2956
THEINVEST,20181213,186.5,186.5,175.5,177.75,2619,2253
THEINVEST,20181214,188.95,188.95,178.15,180,3369,2908
THEINVEST,20181217,177.55,181.9,177.5,179,2255,1229
THEINVEST,20181218,179,182.3,177.4,180,478,437
THEINVEST,20181219,177.7,191.2,177.25,187.35,4656,3526
THEINVEST,20181220,186,187.95,182.2,184.15,1218,1173
THEINVEST,20181221,187,187,180.35,181.55,1808,1501
THEINVEST,20181224,185,185,177.5,179.5,2136,1746
THEINVEST,20181226,180.2,180.2,175.4,176.55,3424,2256
THEINVEST,20181227,176.55,179.95,171,171.5,4099,3295
THEINVEST,20181228,170,170,141,161.25,23728,7951
THEINVEST,20181231,161.9,162.6,156.35,157.7,5957,4371
THEINVEST,20190101,158,162,156,161.85,6560,3855
THEINVEST,20190102,161,174.85,161,164.9,12991,9728
THEINVEST,20190103,170.8,170.8,159.45,160.1,4769,4166
THEINVEST,20190104,166,166,158.4,163.15,2817,1995
THEINVEST,20190107,162.8,164.8,158,163.15,5474,3954
THEINVEST,20190108,158.65,163.15,151.55,161.15,6579,3581
THEINVEST,20190109,162,163.8,158.1,163.5,1783,1686
THEINVEST,20190110,168.5,168.5,163.25,164.3,2027,1491
THEINVEST,20190111,163,167,160.55,162.35,1736,888
THEINVEST,20190114,163,163,155.7,155.85,1588,1525
THEINVEST,20190115,162.55,162.55,148,149,13462,9257
THEINVEST,20190116,150,155.7,143,144.85,6426,4230
THEINVEST,20190117,144.8,149.8,144.55,145.8,2361,1351
THEINVEST,20190118,150,150,140.05,142.25,4696,3087
THEINVEST,20190121,143.7,148.9,141.1,143.35,2604,1731
THEINVEST,20190122,147,154.7,142,148.95,2584,1791
THEINVEST,20190123,149,154.65,142,143.9,5218,3906
THEINVEST,20190124,143,147.8,143,143.6,1360,905
THEINVEST,20190125,143.1,143.1,137.05,138.5,6404,5164
THEINVEST,20190128,137,150,129.1,142.8,3997,2280
THEINVEST,20190129,138,154,132.4,149.65,5329,3015
THEINVEST,20190130,152.9,156.9,152,153.9,1195,930
THEINVEST,20190131,156.4,157.9,143.65,152.15,5755,3352
THEINVEST,20190201,152.15,152.15,144.5,145.65,2230,1537
THEINVEST,20190204,142,149.4,139.15,140.95,5563,3561
THEINVEST,20190205,141,143.7,137.5,137.6,1542,1389
THEINVEST,20190206,135,145,134,139.5,6376,4035
THEINVEST,20190207,139.5,141.55,133.5,138.3,6140,3640
THEINVEST,20190208,145,145,135,142.6,2861,1723
THEINVEST,20190211,142,144.4,135.5,142,8076,4891
THEINVEST,20190212,142.5,155.95,142,149,6173,3973
THEINVEST,20190213,149,153.9,145.5,147.7,1327,1193
THEINVEST,20190214,146.4,153.75,142.05,149.35,3175,2065
THEINVEST,20190215,149,152,145,146.9,577,343
THEINVEST,20190218,146.9,148,142.6,146.75,1024,726
THEINVEST,20190219,145.05,147,142.7,143.8,2668,1725
THEINVEST,20190220,143.8,150,141,142.9,5213,3150
THEINVEST,20190221,149.4,153.8,145,149.2,3840,3624
THEINVEST,20190222,149.05,155,147.55,152.9,1611,1045
THEINVEST,20190225,150.05,155.9,147.05,155.35,4890,3793
THEINVEST,20190226,151,155.95,141.4,144.5,9245,4592
THEINVEST,20190227,142.45,146.65,134.5,137.85,6372,4611
THEINVEST,20190228,144.75,144.75,137,141,1817,1031
THEINVEST,20190301,142.4,147.95,137.7,146.9,2195,1918
THEINVEST,20190305,152,152.95,142.15,148.95,2139,1463
THEINVEST,20190306,155.4,155.4,145,147.7,252184,241360
THEINVEST,20190307,147,148.65,145.55,147.15,879,457
THEINVEST,20190308,152.95,154.5,143.55,149.55,6536,4748
THEINVEST,20190311,152.4,154.2,147.25,150.55,8468,6849
THEINVEST,20190312,151.25,154.35,148.15,152.55,5422,3027
THEINVEST,20190313,148.05,153.85,148.05,151.55,3651,2946
THEINVEST,20190314,153.4,154.3,150,152.8,9801,8928
THEINVEST,20190315,152.9,161,148.05,148.8,11583,7626
THEINVEST,20190318,151.9,158,150.35,152.65,5342,4192
THEINVEST,20190319,152.9,153,149.1,150.95,4905,3057
THEINVEST,20190320,150,181.1,148.45,176.65,24088,6517
THEINVEST,20190322,192.45,211.95,173.3,179.1,165716,0
THEINVEST,20190325,177,177,167,172.95,7949,0
THEINVEST,20190326,172.95,179.6,170.05,171.1,3142,0
THEINVEST,20190327,176.6,176.6,158,161.45,10590,0
THEINVEST,20190328,172.8,173.95,163,169.25,4899,0
THEINVEST,20190329,169.25,171.75,162.35,165.15,3642,0
THEINVEST,20190401,176.7,189.9,168.6,179.85,12499,0
THEINVEST,20190402,177.8,180.25,175,177.6,8681,0
THEINVEST,20190403,177,181.25,171.6,177.45,6975,0
THEINVEST,20190404,177,182.5,172,178.45,6601,0
THEINVEST,20190405,177.1,192.4,177,186.9,4233,0
THEINVEST,20190408,184,190.7,177,189.05,8078,0
THEINVEST,20190409,189,194.45,187,192.35,2837,0
THEINVEST,20190410,190.5,193,183.7,188.8,10274,0
THEINVEST,20190411,181.3,190,181.3,185.4,2102,0
THEINVEST,20190412,183.15,189,183.15,188.3,2020,0
THEINVEST,20190415,189,191.1,185.1,188.1,7562,0
THEINVEST,20190416,187,188.6,183.1,186.2,609,0
THEINVEST,20190418,185,187.5,180,183,740,0
THEINVEST,20190422,184.7,203.1,179,179.9,5693,0
THEINVEST,20190423,178,182,175.5,177.3,774,0
THEINVEST,20190424,174.95,179.4,172,172.75,1304,0
THEINVEST,20190425,175.3,182,169.1,170.4,1675,0
THEINVEST,20190426,167.95,173,165.4,172.15,1381,0
THEINVEST,20190430,174.7,175,165.45,173.45,2465,0
THEINVEST,20190502,170,172,166.6,167.55,2199,0
THEINVEST,20190503,170.05,170.1,162.1,165.15,7027,0
THEINVEST,20190506,164.5,165,145.45,151.8,21654,0
THEINVEST,20190507,152,152.4,143,144.45,4264,0
THEINVEST,20190508,144.95,146.5,141,143.95,1304,0
THEINVEST,20190509,140.95,151.9,139,148.4,4551,0
THEINVEST,20190510,147.9,154.5,142.7,150.45,3199,0
THEINVEST,20190513,151.95,152,148,148.55,2080,0
THEINVEST,20190514,146,149,143.3,146.15,1993,0
THEINVEST,20190515,145.55,145.55,134,137.1,4255,0
THEINVEST,20190516,138.85,146.9,138.85,143.45,4325,0
THEINVEST,20190517,143,143,136.35,139.6,3401,0
THEINVEST,20190520,146.95,156.95,140,143.05,6565,0
THEINVEST,20190521,143,144.4,136.6,139.6,3522,0
THEINVEST,20190522,137,145,135.4,143.65,1589,0
THEINVEST,20190523,156.4,156.4,137,142.35,661,0
THEINVEST,20190524,140.9,146.95,140.9,144.85,3121,0
THEINVEST,20190527,147,152.4,145,151.6,2357,0
THEINVEST,20190528,154.4,167.85,154.4,159.1,7099,0
THEINVEST,20190529,166.4,166.4,160.15,162.9,282,0
THEINVEST,20190530,156.05,173.75,151.55,156.35,620,0
THEINVEST,20190531,155,158,152.05,152.1,169,0
THEINVEST,20190603,151.05,160,151,157.75,1018,0
THEINVEST,20190604,159.4,159.4,149.2,150.1,3544,0
THEINVEST,20190606,150.1,156.4,149,149.4,1759,0
THEINVEST,20190607,153.25,153.3,147.15,150.95,265,0
THEINVEST,20190610,150,150,143.05,144.95,4171,0
THEINVEST,20190611,144,144,133.9,141.8,2877,0
THEINVEST,20190612,141,141.85,136.95,141,197,0
THEINVEST,20190613,140,146.5,138.4,146.2,473,0
THEINVEST,20190614,144,145.9,138.05,138.5,1343,0
THEINVEST,20190617,138,138,122.3,125.15,8528,0
THEINVEST,20190618,125.15,125.15,117,122,5033,0
THEINVEST,20190619,122,122,115.05,115.9,3153,0
THEINVEST,20190620,117.7,123.65,111,121.25,1078,0
THEINVEST,20190621,118,123.95,116,121.85,2767,0
THEINVEST,20190624,118,122.95,114,116.4,390,0
