SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
THOMASCOTT,20120130,34.8,34.8,25.5,30.85,2367,0
THOMASCOTT,20120131,29.35,31.85,29.35,29.5,1019,0
THOMASCOTT,20120201,29.5,29.5,28.05,29.35,680,0
THOMASCOTT,20120202,29.85,29.85,27.9,27.9,189,0
THOMASCOTT,20120203,27.5,29,26.55,28.5,971,0
THOMASCOTT,20120206,27.1,29.8,27.1,27.1,890,0
THOMASCOTT,20120207,27,27,25.75,25.75,75,0
THOMASCOTT,20120208,24.5,27,24.5,26.9,3324,0
THOMASCOTT,20120209,26,28.2,26,27.3,1005,0
THOMASCOTT,20120210,28.65,28.65,28.65,28.65,784,0
THOMASCOTT,20120213,34.25,34.25,23.15,29,4519,1774
THOMASCOTT,20120214,25.4,33.8,25.4,28.55,1566,1098
THOMASCOTT,20120215,27,29.75,26.3,29,177,0
THOMASCOTT,20120216,25.85,29.15,25.8,28.6,538,458
THOMASCOTT,20120217,26.05,28.95,26.05,26.8,2292,0
THOMASCOTT,20120221,26.8,27.8,24.1,27.45,420,0
THOMASCOTT,20120222,29.3,29.6,24.5,25.6,1371,0
THOMASCOTT,20120223,24,28.25,24,26.95,432,289
THOMASCOTT,20120224,28,28.7,25.3,27.9,216,0
THOMASCOTT,20120227,26,26.05,23.4,24.3,864,812
THOMASCOTT,20120228,26,27,24.2,26.05,227,128
THOMASCOTT,20120229,28,28,24.8,24.95,443,423
THOMASCOTT,20120301,24,27.45,23.1,25.45,489,221
THOMASCOTT,20120302,25,27.1,25,25.2,372,286
THOMASCOTT,20120305,24,26.3,22,24,1633,975
THOMASCOTT,20120306,25.75,25.85,21.35,22.2,558,203
THOMASCOTT,20120307,25.2,25.2,23.5,24,1140,170
THOMASCOTT,20120309,24,28,22.65,25.25,4013,1665
THOMASCOTT,20120312,24,24.95,23.35,23.45,1420,690
THOMASCOTT,20120313,23.35,28,23.35,24.15,6927,758
THOMASCOTT,20120314,24.5,26.4,24.15,24.15,197,197
THOMASCOTT,20120315,24.2,26.4,24.2,24.25,927,627
THOMASCOTT,20120316,22.8,26.4,22.8,23.55,1363,823
THOMASCOTT,20120319,23.5,24.9,23.5,23.5,251,175
THOMASCOTT,20120320,25.5,25.95,22.55,25.95,672,395
THOMASCOTT,20120321,26.4,27.05,24,26,1343,1028
THOMASCOTT,20120322,24.55,25.7,24.2,24.2,741,490
THOMASCOTT,20120323,24,26.4,23.15,23.6,446,429
THOMASCOTT,20120326,24.5,24.5,23.65,23.65,424,423
THOMASCOTT,20120327,22.8,24.5,19.1,20.55,3543,1434
THOMASCOTT,20120328,21.45,22,20.25,20.6,1022,804
THOMASCOTT,20120329,19.65,21.5,19.65,21,460,405
THOMASCOTT,20120330,22,25,21.25,24,3762,1715
THOMASCOTT,20120402,23.1,23.1,23.1,23.1,282,282
THOMASCOTT,20120403,24.45,24.45,20.6,22.15,920,445
THOMASCOTT,20120404,24,24,21.85,22.8,549,400
THOMASCOTT,20120409,22.8,24.2,22.05,22.05,271,0
THOMASCOTT,20120410,21,23.5,20.3,20.9,297,0
THOMASCOTT,20120411,20.9,25,19.05,21.95,9789,0
THOMASCOTT,20120412,21.3,23.55,21.3,21.55,430,0
THOMASCOTT,20120413,21.7,23,21.55,21.55,310,0
THOMASCOTT,20120416,23.75,23.75,21.05,22.7,2069,0
THOMASCOTT,20120417,23.45,23.45,22.15,22.15,300,0
THOMASCOTT,20120418,21.5,24.75,21.5,24.2,3270,0
THOMASCOTT,20120419,22.35,23.9,22.35,22.4,330,0
THOMASCOTT,20120420,22.25,24,22,23.5,881,0
THOMASCOTT,20120423,24,24,22.05,22.05,1414,0
THOMASCOTT,20120424,21,22.9,21,21.5,238,0
THOMASCOTT,20120425,19.7,22.8,19.6,20.5,297,0
THOMASCOTT,20120426,22.6,22.6,17.4,20,600,0
THOMASCOTT,20120427,22.5,23.45,20.5,20.95,4554,0
THOMASCOTT,20120430,22.75,22.75,21,21,52,0
THOMASCOTT,20120502,22.25,22.25,20.8,21,155,0
THOMASCOTT,20120503,20.7,22.65,20.7,21.5,179,0
THOMASCOTT,20120504,20,22.5,20,22.25,355,0
THOMASCOTT,20120507,18.9,19.3,18,19.15,2268,0
THOMASCOTT,20120508,22,22,19,20.8,410,0
THOMASCOTT,20120509,18.05,20.3,18.05,19.8,132,0
THOMASCOTT,20120510,21.95,21.95,18.35,18.9,878,0
THOMASCOTT,20120511,18,21.5,17.25,19.9,668,0
THOMASCOTT,20120514,19,21.85,18,18.7,171,0
THOMASCOTT,20120515,18.65,19.8,17.5,18.05,384,0
THOMASCOTT,20120516,18.2,18.2,18.2,18.2,93,0
THOMASCOTT,20120517,19,19,17.05,17.2,282,0
THOMASCOTT,20120518,17,17.25,17,17.25,325,0
THOMASCOTT,20120521,17.25,17.3,17.25,17.3,234,0
THOMASCOTT,20120522,17.4,17.4,15.65,15.85,23,0
THOMASCOTT,20120523,18.95,19,16.75,17.75,410,0
THOMASCOTT,20120524,16.85,17.15,16.8,16.85,258,0
THOMASCOTT,20120525,16.8,18.5,16.1,18.5,370,0
THOMASCOTT,20120528,17,19,17,18.95,60,0
THOMASCOTT,20120529,16.2,18.75,16.2,17.55,37,0
THOMASCOTT,20120530,18.5,18.5,16.15,16.45,183,0
THOMASCOTT,20120531,18.85,18.85,16.4,16.5,129,0
THOMASCOTT,20120604,16.05,16.05,16.05,16.05,39,0
THOMASCOTT,20120605,16.05,18.25,13.1,16.15,2620,0
THOMASCOTT,20120606,15,18,15,16.9,721,0
THOMASCOTT,20120607,16,17.9,15.15,15.6,4984,0
THOMASCOTT,20120608,17.75,17.75,16.15,16.7,2481,0
THOMASCOTT,20120611,16.2,17.85,16.2,17.7,889,0
THOMASCOTT,20120612,18,18,16.65,17.15,3425,0
THOMASCOTT,20120613,16.6,17.6,16.6,17.6,650,0
THOMASCOTT,20120614,17,17.1,16.5,16.55,473,0
THOMASCOTT,20120615,16.75,16.75,15.6,15.7,136,0
THOMASCOTT,20120618,15.75,15.75,15.35,15.4,62,0
THOMASCOTT,20120619,15.55,17.2,15.55,15.6,345,0
THOMASCOTT,20120620,15.7,15.7,14.25,15.7,2271,0
THOMASCOTT,20120621,17,17,14.85,16,104,0
THOMASCOTT,20120622,16,16,15.2,15.4,954,0
THOMASCOTT,20120625,15.4,16.1,15.4,16,230,0
THOMASCOTT,20120626,14,17,14,15.65,2402,0
THOMASCOTT,20120627,17,17,15.55,15.6,234,0
THOMASCOTT,20120628,15.6,15.6,14.5,14.65,597,0
THOMASCOTT,20120629,14.4,17.45,12.6,15.45,14577,0
THOMASCOTT,20120702,15.05,16.5,15.05,16,577,0
THOMASCOTT,20120703,15,17.75,15,16.4,1227,0
THOMASCOTT,20120704,18.95,18.95,15.1,16.75,667,0
THOMASCOTT,20120705,16.95,16.95,15.45,16.45,4281,0
THOMASCOTT,20120706,16.05,16.85,15.55,16.4,3051,0
THOMASCOTT,20120709,15.4,16.8,15.4,16.8,251,0
THOMASCOTT,20120710,15.75,16.4,15.6,16.05,1673,0
THOMASCOTT,20120711,16.8,16.8,15.4,15.8,436,0
THOMASCOTT,20120712,15.5,15.5,15.5,15.5,68,0
THOMASCOTT,20120713,15.1,16.8,15.05,16.35,1293,0
THOMASCOTT,20120717,14.85,15.1,14.85,15,100,0
THOMASCOTT,20120718,14.5,16.4,14.5,14.55,1420,0
THOMASCOTT,20120719,13.1,15.95,13.1,15.75,297,0
THOMASCOTT,20120720,15.75,16.6,14.2,14.65,568,0
THOMASCOTT,20120723,14.25,16,14,15.15,471,0
THOMASCOTT,20120724,15.2,15.2,15.2,15.2,909,0
THOMASCOTT,20120726,14.1,16,14.1,14.3,838,0
THOMASCOTT,20120727,15.65,15.7,14.2,14.2,136,0
THOMASCOTT,20120730,13.15,13.15,13.15,13.15,2,0
THOMASCOTT,20120731,14,14.05,13.5,13.5,598,0
THOMASCOTT,20120801,13.05,13.25,13,13.2,176,0
THOMASCOTT,20120802,13,13.85,13,13.2,195,0
THOMASCOTT,20120803,12.7,13.4,12.6,13.25,160,0
THOMASCOTT,20120806,13.25,13.25,13,13,257,0
THOMASCOTT,20120807,12.4,13,12.35,13,726,0
THOMASCOTT,20120808,13,13.65,12.5,12.55,243,0
THOMASCOTT,20120809,12.25,12.25,12.2,12.2,225,0
THOMASCOTT,20120810,12.1,12.35,11.6,11.7,272,0
THOMASCOTT,20120813,11.25,11.8,11.25,11.5,232,0
THOMASCOTT,20120814,11.3,11.5,11.3,11.5,50,0
THOMASCOTT,20120816,12.05,12.05,11.6,11.6,22,0
THOMASCOTT,20120817,12,12.05,11.5,12,604,0
THOMASCOTT,20120821,12,12,12,12,34,0
THOMASCOTT,20120822,12,12.6,11.5,11.5,1041,0
THOMASCOTT,20120823,11.5,11.6,11.5,11.5,138,0
THOMASCOTT,20120824,11.5,11.5,11.5,11.5,45,0
THOMASCOTT,20120827,11.5,11.5,11.5,11.5,25,0
THOMASCOTT,20120828,11.3,11.3,11.3,11.3,100,0
THOMASCOTT,20120829,11.3,11.3,11.3,11.3,52,0
THOMASCOTT,20120830,11,11,11,11,33,0
THOMASCOTT,20120831,11.1,11.55,11.1,11.55,130,0
THOMASCOTT,20120903,11.1,12.1,11.1,12.1,1532,0
THOMASCOTT,20120904,11.5,12.7,11.5,12.7,9,0
THOMASCOTT,20120905,12.5,12.5,12.5,12.5,50,0
THOMASCOTT,20120906,13.05,13.1,12,13.1,235,0
THOMASCOTT,20120907,13.1,14.4,12.1,13,890,0
THOMASCOTT,20120908,13.8,13.8,13.8,13.8,50,0
THOMASCOTT,20120910,14.95,14.95,12.6,12.8,215,0
THOMASCOTT,20120911,11.55,12,11.55,12,24,0
THOMASCOTT,20120912,13,13,13,13,393,0
THOMASCOTT,20120913,11.8,13.9,11.8,12.25,504,0
THOMASCOTT,20120914,12.35,12.85,11.7,12.85,155,0
THOMASCOTT,20120918,12.25,12.85,12.25,12.85,279,0
THOMASCOTT,20120920,12.85,12.85,12.85,12.85,100,0
THOMASCOTT,20120921,12.25,12.25,12.25,12.25,50,0
THOMASCOTT,20120924,11.65,12.85,11.65,12,274,0
THOMASCOTT,20120925,11.75,11.75,11.75,11.75,128,0
THOMASCOTT,20120926,11.6,11.6,11.6,11.6,255,0
THOMASCOTT,20120927,11.6,11.7,11.6,11.6,580,0
THOMASCOTT,20120928,11.55,11.55,11.05,11.3,1285,0
THOMASCOTT,20121001,11.05,11.3,11.05,11.3,210,0
THOMASCOTT,20121003,11.85,11.85,11.3,11.3,275,0
THOMASCOTT,20121004,11.35,11.45,11.35,11.45,792,0
THOMASCOTT,20121005,11.45,12,11,12,872,0
THOMASCOTT,20121008,12,12,11.75,11.75,1813,0
THOMASCOTT,20121009,12.3,12.3,11.75,11.75,691,0
THOMASCOTT,20121010,11.75,12.3,11.75,12.3,151,0
THOMASCOTT,20121011,11.75,11.75,11.7,11.7,587,0
THOMASCOTT,20121012,11.5,11.5,11.2,11.2,434,0
THOMASCOTT,20121015,11.3,11.4,10.65,10.7,625,0
THOMASCOTT,20121016,10.65,11.2,10.2,10.7,125,0
THOMASCOTT,20121017,10.2,11,10.2,10.65,1035,0
THOMASCOTT,20121018,10.25,10.95,10.25,10.4,193,0
THOMASCOTT,20121019,10.7,10.9,10.25,10.35,1052,0
THOMASCOTT,20121022,10.2,10.85,10.2,10.85,2134,0
THOMASCOTT,20121023,10.5,10.5,10.5,10.5,1366,0
THOMASCOTT,20121025,10.5,11,10.3,11,187,0
THOMASCOTT,20121026,10.45,11.15,10.45,11.15,209,0
THOMASCOTT,20121029,11.15,11.15,10.6,11,1401,0
THOMASCOTT,20121030,10.45,11,10.45,11,300,0
THOMASCOTT,20121031,11.55,11.55,10.45,10.45,430,0
THOMASCOTT,20121101,10.5,10.5,10.5,10.5,100,0
THOMASCOTT,20121102,11,11,10,10.5,800,0
THOMASCOTT,20121105,10.5,10.5,10.35,10.5,3598,0
THOMASCOTT,20121106,10.5,10.5,10.5,10.5,170,0
THOMASCOTT,20121107,10,10.45,10,10.1,302,0
THOMASCOTT,20121108,10,10.4,10,10.05,70,0
THOMASCOTT,20121109,10.3,10.3,9.55,10,612,0
THOMASCOTT,20121112,9.55,9.55,9.55,9.55,345,0
THOMASCOTT,20121115,9.55,9.55,9.5,9.5,20,0
THOMASCOTT,20121116,9.5,9.5,9.05,9.5,730,0
THOMASCOTT,20121119,9.2,9.2,9.05,9.05,2225,0
THOMASCOTT,20121120,8.6,9,8.6,9,144,0
THOMASCOTT,20121121,8.6,8.75,8.55,8.75,1055,0
THOMASCOTT,20121122,8.5,9,8.35,9,3486,0
THOMASCOTT,20121123,8.6,8.6,8.55,8.55,1715,0
THOMASCOTT,20121126,8.2,8.2,8.15,8.15,597,0
THOMASCOTT,20121127,8.15,8.4,7.75,8.25,1484,0
THOMASCOTT,20121129,8.4,8.4,7.85,8.4,355,0
THOMASCOTT,20121130,8.8,8.8,8.15,8.15,435,0
THOMASCOTT,20121203,8.55,8.55,7.8,7.8,564,0
THOMASCOTT,20121204,8.15,8.15,7.55,8.1,298,0
THOMASCOTT,20121205,7.7,8.25,7.7,8.2,2177,1507
THOMASCOTT,20121206,7.8,7.8,7.8,7.8,200,200
THOMASCOTT,20121207,8.15,8.15,8.1,8.15,1336,1140
THOMASCOTT,20121210,8.5,8.55,8.5,8.55,825,0
THOMASCOTT,20121211,8.55,8.9,8.5,8.9,1210,0
THOMASCOTT,20121212,8.55,9.15,8.5,9.15,425,0
THOMASCOTT,20121213,9.5,9.5,8.75,9.3,653,623
THOMASCOTT,20121214,9.75,9.75,8.85,9.15,1625,1375
THOMASCOTT,20121217,8.7,8.9,8.7,8.9,336,336
THOMASCOTT,20121218,8.9,8.9,8.9,8.9,100,0
THOMASCOTT,20121219,8.9,9.3,8.65,9.1,15250,0
THOMASCOTT,20121220,9,9.55,9,9.55,12790,12490
THOMASCOTT,20121221,9.25,10,9.25,9.9,5465,5465
THOMASCOTT,20121224,10.35,10.35,10.05,10.35,1516,1494
THOMASCOTT,20121226,10.3,10.85,10.3,10.85,650,0
THOMASCOTT,20121227,11.35,11.35,10.8,11.35,494,491
THOMASCOTT,20121228,11.9,11.9,11.9,11.9,2767,2767
THOMASCOTT,20121231,12,12.45,12,12.45,608,0
THOMASCOTT,20130101,13.05,13.05,13.05,13.05,1029,0
THOMASCOTT,20130102,13.7,13.7,13.7,13.7,517,0
THOMASCOTT,20130103,14.35,14.35,14.35,14.35,415,0
THOMASCOTT,20130104,14.35,15.05,14.35,15.05,1684,0
THOMASCOTT,20130107,15.1,15.8,15.05,15.75,1847,0
THOMASCOTT,20130108,15.75,16.5,15.75,16.15,3030,0
THOMASCOTT,20130109,16,16,15.35,15.35,70,0
THOMASCOTT,20130110,14.6,15.35,14.6,14.6,1728,0
THOMASCOTT,20130111,14.55,14.6,14,14,500,0
THOMASCOTT,20130114,14,14.5,13.75,14.5,5578,0
THOMASCOTT,20130115,14,15.2,13.9,15,2694,0
THOMASCOTT,20130116,14.75,15,14.6,14.6,5510,0
THOMASCOTT,20130117,14,14.5,14,14,365,0
THOMASCOTT,20130118,14.5,14.5,14.5,14.5,50,0
THOMASCOTT,20130121,13.9,14,13.8,13.8,557,0
THOMASCOTT,20130124,13.15,13.15,13.15,13.15,100,0
THOMASCOTT,20130128,12.5,12.5,12.5,12.5,536,0
THOMASCOTT,20130129,11.9,13.1,11.9,11.9,398,0
THOMASCOTT,20130130,11.35,11.35,11.35,11.35,175,0
THOMASCOTT,20130131,10.8,11.9,10.8,10.8,161,0
THOMASCOTT,20130201,10.35,10.4,10.35,10.4,260,0
THOMASCOTT,20130204,10,10.9,10,10.6,158,0
THOMASCOTT,20130205,10.55,10.55,10.55,10.55,38,0
THOMASCOTT,20130206,10.15,10.15,10.15,10.15,100,0
THOMASCOTT,20130207,10,10.65,10,10.15,63,0
THOMASCOTT,20130208,10.15,10.15,9.7,9.7,11,0
THOMASCOTT,20130211,9.8,9.85,9.8,9.8,5037,0
THOMASCOTT,20130212,9.85,10,9.8,9.85,2731,0
THOMASCOTT,20130214,10,10,9.85,9.85,501,0
THOMASCOTT,20130215,9.45,9.45,9.45,9.45,10,0
THOMASCOTT,20130218,9,9,9,9,242,0
THOMASCOTT,20130219,9.4,9.4,9.4,9.4,5000,0
THOMASCOTT,20130222,8.95,8.95,8.95,8.95,5000,0
THOMASCOTT,20130225,9.25,9.25,8.6,8.6,265,0
THOMASCOTT,20130227,8.2,8.2,8.2,8.2,43,0
THOMASCOTT,20130228,8,8.6,8,8.1,277,0
THOMASCOTT,20130301,7.75,7.75,7.7,7.7,200,0
THOMASCOTT,20130304,8.05,8.05,7.55,7.55,32,0
THOMASCOTT,20130306,7.9,7.9,7.9,7.9,151,0
THOMASCOTT,20130307,8.25,8.25,8.25,8.25,250,0
THOMASCOTT,20130308,8.25,8.25,8.25,8.25,25,0
