SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TIINDIA,20171102,275.05,284.9,261.3,266.15,113099,0
TIINDIA,20171103,269.95,269.95,252.85,253.1,147702,0
TIINDIA,20171106,255.75,255.75,241,243.05,397193,0
TIINDIA,20171107,241,254.85,241,250.1,145331,0
TIINDIA,20171108,262.6,262.6,251.05,262.55,116053,0
TIINDIA,20171109,270.75,275.65,270,275.65,8258,0
TIINDIA,20171110,289.4,289.4,289.4,289.4,263167,0
TIINDIA,20171113,303.85,303.85,290,291.85,516205,0
TIINDIA,20171114,278,294.8,277.5,289.9,97766,0
TIINDIA,20171115,291,299,285,293.5,137404,0
TIINDIA,20171116,304,308.9,284,290.5,54867,30251
TIINDIA,20171117,299.95,299.95,277.25,279.45,91870,82749
TIINDIA,20171120,280,283,275,275.25,59105,53831
TIINDIA,20171121,274.85,278.2,265.65,269.1,133093,121851
TIINDIA,20171122,269.1,270,262,264.8,25553,20717
TIINDIA,20171123,268.95,270,262.5,265.7,26151,19520
TIINDIA,20171124,268.5,271,265,269.6,34189,29437
TIINDIA,20171127,274.5,274.5,266.3,269.8,29991,27893
TIINDIA,20171128,271,271.7,262.4,264.95,220652,218133
TIINDIA,20171129,264.95,267,259.3,260.85,35770,30961
TIINDIA,20171130,263,263,256,258.9,71198,49152
TIINDIA,20171201,259,264.45,255,255.75,24233,20151
TIINDIA,20171204,255.75,262,253,258.9,33722,27952
TIINDIA,20171205,253.05,258.95,251.05,257.1,14675,11528
TIINDIA,20171206,257.1,257.1,215.7,252.55,190976,184093
TIINDIA,20171207,254.95,254.95,242.05,251.8,20875,15582
TIINDIA,20171208,259.9,261,252.15,259.2,38260,18552
TIINDIA,20171211,271,283.35,269,270.4,92879,42591
TIINDIA,20171212,273.95,273.95,256.25,257.9,59252,48994
TIINDIA,20171213,250.5,263.95,250.5,259.8,13344,8840
TIINDIA,20171214,262.4,262.4,257,259.95,17643,13540
TIINDIA,20171215,262.95,265.75,259.75,263.1,446942,439872
TIINDIA,20171218,268,275,255,265.15,516880,25478
TIINDIA,20171219,267.75,270.9,260.5,264.6,57890,49274
TIINDIA,20171220,263.05,269.9,262.05,263.95,42921,34974
TIINDIA,20171221,265.75,269.85,263.2,264.5,43533,33369
TIINDIA,20171222,268.2,272.85,266,270.05,56045,48260
TIINDIA,20171226,270.3,275.05,267,273.45,105722,100022
TIINDIA,20171227,273.9,276,270,270.8,40298,31073
TIINDIA,20171228,272.45,274,269.95,271.35,21342,17873
TIINDIA,20171229,274.65,274.75,267.6,269.55,53814,45168
TIINDIA,20180101,265.45,275.2,265.45,269.8,71903,62854
TIINDIA,20180102,267,273,263.85,268.15,200465,192310
TIINDIA,20180103,268,274.9,265.05,273.85,54103,45089
TIINDIA,20180104,270,284.8,270,280.6,243242,233019
TIINDIA,20180105,281.65,300,281.65,294.45,127514,101725
TIINDIA,20180108,299.9,300.5,294,294.7,85480,69901
TIINDIA,20180109,302.5,304.7,289.95,295.6,166365,148369
TIINDIA,20180110,295.95,300.5,293,294.1,33230,26802
TIINDIA,20180111,295,300,269.1,287.4,668166,430655
TIINDIA,20180112,285.1,292.75,285.1,287.35,254450,240411
TIINDIA,20180115,286,296,286,294.15,67738,54477
TIINDIA,20180116,299.85,300,278.2,279.35,46453,28491
TIINDIA,20180117,279.5,289,271.6,283.4,24093,13916
TIINDIA,20180118,281.5,289.4,266.5,268.35,63228,48701
TIINDIA,20180119,270,273.95,268,272.65,12777,9212
TIINDIA,20180122,281,281,268.55,277.35,22164,12564
TIINDIA,20180123,277.35,284.4,270.5,273.7,25813,13414
TIINDIA,20180124,270.55,277.4,259.5,260.75,430124,410614
TIINDIA,20180125,261,273.7,261,268.15,64574,35932
TIINDIA,20180129,265.25,275,260,264.1,1227085,1021592
TIINDIA,20180130,266.9,268.75,262,267.25,61986,54856
TIINDIA,20180131,268.9,268.95,261.8,267.25,16116,12570
TIINDIA,20180201,269.95,269.95,261.9,265.75,43679,36999
TIINDIA,20180202,263.6,267,245,263.45,95629,72424
TIINDIA,20180205,262.95,263,250,259.8,41947,30450
TIINDIA,20180206,252.05,263,245,262.1,35032,25550
TIINDIA,20180207,263,266.5,257.15,264.85,164749,149124
TIINDIA,20180208,268,268,260,261.9,14999,9066
TIINDIA,20180209,260,271.1,255,270.2,16781,10697
TIINDIA,20180212,273,282,273,280.05,21256,15725
TIINDIA,20180214,285.05,295,277.95,286.6,58700,44790
TIINDIA,20180215,288,288.35,270,273.1,28447,23646
TIINDIA,20180216,283,283,263.05,270.55,85077,73315
TIINDIA,20180219,270,273,261.8,267.8,225249,216689
TIINDIA,20180220,267.05,278.7,267.05,274.05,16564,9564
TIINDIA,20180221,272.3,275.8,265.9,271.25,21743,15576
TIINDIA,20180222,269.4,270,265.55,266.5,7470,4958
TIINDIA,20180223,265.95,271.55,261.8,263.3,88387,82494
TIINDIA,20180226,268.5,268.5,258,260,84836,77616
TIINDIA,20180227,261.15,262.45,257.7,260.05,24509,21534
TIINDIA,20180228,262.9,263.4,257,261.3,368987,363578
TIINDIA,20180301,260.85,263.9,260.3,263.05,9746,8192
TIINDIA,20180305,265,272.5,264.9,266.05,65700,59038
TIINDIA,20180306,270,271.4,260,261.65,57890,39076
TIINDIA,20180307,262.1,262.1,255,260.2,15518,10955
TIINDIA,20180308,260.2,267,254.5,264.25,27076,19317
TIINDIA,20180309,269,269,257,260.7,56539,53016
TIINDIA,20180312,269,269,258.95,261,13147,9832
TIINDIA,20180313,262.95,265,259,260.55,185416,182576
TIINDIA,20180314,259.15,262.75,256.25,258.5,910986,910008
TIINDIA,20180315,260.95,261.5,255.55,255.95,27691,23830
TIINDIA,20180316,255.95,257.45,246.15,248.25,116976,111900
TIINDIA,20180319,248.05,252,245,248.75,20617,15296
TIINDIA,20180320,251,252,248.1,251.2,11991,10290
TIINDIA,20180321,252,255,243.6,244.95,39502,31502
TIINDIA,20180322,244,246.2,240,241.45,27663,23989
TIINDIA,20180323,243.75,243.75,232.5,234.25,23286,21159
TIINDIA,20180326,241.75,241.75,227.8,231.4,30988,24777
TIINDIA,20180327,231.5,235.45,223.1,225.2,34523,30061
TIINDIA,20180328,226.85,226.85,220.2,222.4,13649,9700
TIINDIA,20180402,229,261.9,223.05,254.05,1212116,1091195
TIINDIA,20180403,252,262,246,248.8,97467,42336
