SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TIL,19950526,53,53,53,53,100,0
TIL,19950529,50,50,50,50,100,0
TIL,19950530,50,50,50,50,400,0
TIL,19950531,51,51,51,51,100,0
TIL,19950927,48,48,48,48,300,0
TIL,19951005,52,52,52,52,600,0
TIL,19951009,53,53,53,53,200,0
TIL,19951010,55,55,55,55,200,0
TIL,19951011,55,55,55,55,2100,0
TIL,19951012,54,55,54,55,1400,0
TIL,19951030,50,50,50,50,100,0
TIL,19960315,45,45,45,45,100,0
TIL,19960418,45,45,45,45,200,0
TIL,19960419,43.5,44,43.5,44,800,0
TIL,19960423,45,45,45,45,200,0
TIL,19960501,42,42,42,42,100,0
TIL,19960502,41,41,41,41,100,0
TIL,19960507,41,43,43,43,100,0
TIL,19960508,42.5,43,42.5,43,800,0
TIL,19960510,41,41,41,41,500,0
TIL,19960531,41,41,41,41,100,0
TIL,19960607,40,40,40,40,100,0
TIL,19960612,41,41,41,41,500,0
TIL,19960613,40,41,40,40,1500,0
TIL,19960619,40,40,40,40,400,0
TIL,19960620,41.5,41.5,41.5,41.5,100,0
TIL,19960624,42,42,40,41,800,0
TIL,19960625,42,44,42,43,1000,0
TIL,19960626,43,43.95,43,43.6,2300,0
TIL,19960627,42,42,40,40.1,400,0
TIL,19960628,40,41.5,40,41.5,600,0
TIL,19960701,39.5,39.95,39.5,39.95,400,0
TIL,19960704,39,40,39,40,200,0
TIL,19960708,40,40,40,40,400,0
TIL,19960709,40,40,40,40,200,0
TIL,19960719,40,40,40,40,300,0
TIL,19960801,36,36,36,36,100,0
TIL,19960805,34,34,34,34,100,0
TIL,19960806,32,32,32,32,100,0
TIL,19960816,31,31,31,31,100,0
TIL,19960829,32.5,32.5,32.5,32.5,100,0
TIL,19960830,32.45,32.5,32.45,32.5,700,0
TIL,19960902,33.5,33.5,33.5,33.5,900,0
TIL,19960903,34,34,33,33,1100,0
TIL,19960904,34,36,34,36,400,0
TIL,19960905,36,37,34.25,34.6,2100,0
TIL,19960906,34.25,37,34.25,34.75,900,0
TIL,19960912,34.75,34.75,34.75,34.75,200,0
TIL,19960916,33.05,33.05,33.05,33.05,200,0
TIL,19960917,33.05,33.05,33.05,33.05,100,0
TIL,19960923,32.95,32.95,32.95,32.95,300,0
TIL,19960924,33.5,34,33.5,33.5,500,0
TIL,19960925,33.75,33.75,33.75,33.75,200,0
TIL,19960926,34,34,34,34,100,0
TIL,19960930,33,33,33,33,200,0
TIL,19961003,31.25,31.25,31,31,400,0
TIL,19961004,31.5,31.9,31.4,31.9,800,0
TIL,19961007,30.1,30.1,30.1,30.1,100,0
TIL,19961008,30.25,30.9,30.25,30.65,900,0
TIL,19961009,30,30,30,30,200,0
TIL,19961015,30,30,30,30,300,0
TIL,19961016,32,32,32,32,300,0
TIL,19961017,33.4,34.25,33.4,34.25,700,0
TIL,19961018,35.75,35.9,35.75,35.9,500,0
TIL,19961022,35.5,35.5,35.25,35.25,600,0
TIL,19961023,36.5,36.5,36.5,36.5,600,0
TIL,19961024,35.25,35.25,35.05,35.05,400,0
TIL,19961028,35,35,35,35,500,0
TIL,19961029,35,35,32.75,32.75,700,0
TIL,19961104,31.05,31.05,31,31,300,0
TIL,19961105,30.5,33,30.5,33,600,0
TIL,19961106,31,31,31,31,100,0
TIL,19961108,32.95,33,32.95,33,1300,0
TIL,19961118,32.25,32.25,32.25,32.25,200,0
TIL,19961119,32.5,32.5,32.5,32.5,200,0
TIL,19961121,32.5,32.5,30.25,30.5,400,0
TIL,19961122,29.75,31.9,29.6,29.6,500,0
TIL,19961125,28.5,28.5,28.5,28.5,100,0
TIL,19961202,27,27.5,27,27.5,1100,0
TIL,19961204,26,26,26,26,100,0
TIL,19961205,26,27.5,26,27.5,300,0
TIL,19961209,26,26,26,26,100,0
TIL,19961210,26.5,26.5,26.5,26.5,500,0
TIL,19961211,26.5,26.5,26.5,26.5,100,0
TIL,19961213,27,27,27,27,200,0
TIL,19961216,26.5,27,25.6,25.6,1300,0
TIL,19961217,25.65,25.65,25.5,25.5,200,0
TIL,19961218,26.75,26.75,26.75,26.75,100,0
TIL,19961219,27,27,27,27,100,0
TIL,19961220,28,28,28,28,200,0
TIL,19961224,29,29,27,27,300,0
TIL,19961231,27.5,27.5,27.5,27.5,100,0
