SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TODAYS,20011008,26.4,26.4,26.4,26.4,10,0
TODAYS,20011009,25.15,27.05,25.15,27.05,120,0
TODAYS,20011011,27.35,27.35,27.35,27.35,15,0
TODAYS,20011012,26.95,26.95,26.95,26.95,50,0
TODAYS,20011015,27,27,27,27,25,0
TODAYS,20011016,25.85,26.5,25.6,26.4,1100,0
TODAYS,20011017,25.75,26.3,25.75,26.05,3000,0
TODAYS,20011018,26.4,26.4,25.55,25.55,1635,0
TODAYS,20011022,26,26,25,25.2,795,0
TODAYS,20011023,25.5,25.5,25.5,25.5,25,0
TODAYS,20011024,25.5,25.5,25.5,25.5,200,0
TODAYS,20011029,25.1,25.45,24.5,25.35,4600,0
TODAYS,20011030,24.5,24.75,24,24.75,4000,0
TODAYS,20011031,24.4,25.9,24.4,25.6,2450,0
TODAYS,20011101,25.5,26.7,25,25.25,4075,0
TODAYS,20011102,25,25,24.25,24.25,2476,0
TODAYS,20011105,24,24.65,24,24.5,4800,0
TODAYS,20011106,23.85,23.95,23.85,23.9,5000,0
TODAYS,20011107,24,24.45,23.7,24.4,5100,0
TODAYS,20011108,24,24,23.75,23.9,4350,0
TODAYS,20011109,24.5,24.8,24.25,24.45,4738,0
TODAYS,20011112,24.8,24.8,24.75,24.75,5000,0
TODAYS,20011113,24.6,24.95,24.25,24.55,5100,0
TODAYS,20011115,24.7,25.4,24.7,24.75,5650,0
TODAYS,20011119,25.3,25.3,24.85,25,6800,0
TODAYS,20011120,26.5,26.5,25,25,7300,0
TODAYS,20011121,24,26.25,24,26.25,6350,0
TODAYS,20011122,26.35,26.9,26.05,26.2,6351,0
TODAYS,20011123,26.4,27,25.5,25.9,605,0
TODAYS,20011126,27.8,28,27.8,28,845,0
TODAYS,20011127,30.25,30.25,28.45,29.5,8625,0
TODAYS,20011128,29.85,29.85,28.65,29.35,5850,0
TODAYS,20011129,29.5,29.9,27.4,27.45,6012,0
TODAYS,20011203,28.75,29.4,27.5,28.95,5287,0
TODAYS,20011204,28,28.8,28,28.1,6295,0
TODAYS,20011205,27.5,28.5,27.45,27.7,4140,0
TODAYS,20011206,28,28,25.5,25.5,7301,0
TODAYS,20011207,27.1,27.4,26.6,26.6,6265,0
TODAYS,20011210,26.5,28.4,26.45,27.15,4260,0
TODAYS,20011211,27.05,27.85,26.6,26.6,2300,0
TODAYS,20011212,27.1,27.5,24.75,27.5,2135,0
TODAYS,20011213,27,27,26.95,26.95,4000,0
TODAYS,20011214,26.1,26.1,26.1,26.1,100,0
TODAYS,20011218,26.05,26.9,26,26.85,7200,0
TODAYS,20011219,25.15,25.6,25.15,25.55,3225,0
TODAYS,20011220,25.5,25.9,24.75,24.95,5175,0
TODAYS,20011221,25.7,25.7,23.65,23.65,5150,0
TODAYS,20011224,22.1,25.5,22.1,22.1,500,0
TODAYS,20011226,23.05,23.1,23.05,23.05,450,0
TODAYS,20011227,23,24,23,24,2100,0
TODAYS,20011228,23.15,23.15,22.9,22.9,1600,0
TODAYS,20011231,22.7,22.7,22.7,22.7,100,0
TODAYS,20020101,23.15,23.15,22.25,22.25,1100,0
TODAYS,20020102,21.75,23.3,21.45,23.3,4800,0
TODAYS,20020103,23,24.1,22.9,23.5,5400,0
TODAYS,20020104,23,23,22.2,22.2,5250,0
TODAYS,20020107,23,24.95,23,24,502,0
TODAYS,20020108,22.5,22.6,22.25,22.3,5000,0
TODAYS,20020109,21.9,22.5,21.75,21.75,5300,0
TODAYS,20020110,22.75,23,22.45,22.6,5300,0
TODAYS,20020111,22.4,22.65,22.25,22.25,5000,0
TODAYS,20020114,22.15,23.25,21.75,22,5400,0
TODAYS,20020115,19.25,22.75,19.25,21.9,6100,0
TODAYS,20020116,22.9,22.9,20.7,20.7,5200,0
TODAYS,20020117,24.1,24.1,22.5,22.5,6000,0
TODAYS,20020118,21.15,23,21,21.35,7600,0
TODAYS,20020121,22.5,22.5,20.65,20.8,6650,0
TODAYS,20020122,22.3,22.3,20,20.35,7725,0
TODAYS,20020123,20.75,20.75,20,20.25,6300,0
TODAYS,20020124,20.95,20.95,20,20.1,8200,0
TODAYS,20020125,20.55,20.55,18.5,19.5,7800,0
TODAYS,20020128,20,20.3,19,19.1,7000,0
TODAYS,20020129,20.3,20.5,19.1,19.7,6434,0
TODAYS,20020130,20.3,20.3,19,19.2,7000,0
TODAYS,20020131,20.5,20.5,19.75,20,5010,0
TODAYS,20020201,20.25,20.3,19.25,19.35,6055,0
TODAYS,20020204,20.6,20.6,19.5,19.5,6000,0
TODAYS,20020205,20,20,19.25,19.25,6200,0
TODAYS,20020206,18.5,22.95,15.6,19.25,15600,0
TODAYS,20020207,19.15,20,19.15,19.55,6150,0
TODAYS,20020208,21.15,21.15,19.1,19.9,2945,0
TODAYS,20020211,20.5,21,19.25,19.25,3100,0
TODAYS,20020212,19,20.45,19,20,5300,2300
TODAYS,20020213,20.9,20.9,20,20.15,4700,1800
TODAYS,20020214,20,20.8,19.75,20.7,3600,800
TODAYS,20020215,20.5,20.5,19.8,20.2,2505,505
TODAYS,20020218,20,20.6,20,20,2550,300
TODAYS,20020219,19.5,20.5,19.5,20.5,3204,204
TODAYS,20020220,21,21,20.25,20.3,4250,250
TODAYS,20020221,20,20.05,19.8,19.8,4550,750
TODAYS,20020222,21.5,21.5,19.4,20.45,5050,1150
TODAYS,20020225,21.1,21.15,19.4,19.4,4500,1500
TODAYS,20020226,19.9,20.1,19.75,19.95,4050,50
TODAYS,20020227,21.75,21.75,19,19.2,4700,700
TODAYS,20020228,20.6,20.85,19.2,19.2,4050,50
TODAYS,20020301,19.4,19.4,18.4,18.75,3102,100
TODAYS,20020304,19.75,19.9,18.9,18.9,6001,0
TODAYS,20020305,20.25,20.25,18.75,18.75,2161,161
TODAYS,20020306,19.9,19.9,19.8,19.8,4000,0
TODAYS,20020307,19.8,19.8,19.5,19.75,5000,0
TODAYS,20020308,19.8,19.8,19.2,19.2,4100,100
TODAYS,20020311,19.25,19.5,18.3,19.25,4650,0
TODAYS,20020312,19.6,19.6,19.15,19.15,4000,600
TODAYS,20020313,19.2,19.25,19.05,19.05,5201,201
TODAYS,20020314,19.15,21.9,19.15,21.1,5225,1175
TODAYS,20020315,23.5,24.25,21.5,23.85,14681,7606
TODAYS,20020318,24.5,26.05,24.5,26,13605,7770
TODAYS,20020319,26.5,26.5,25,25,6650,1250
TODAYS,20020320,25.25,25.25,24,24,4155,555
TODAYS,20020321,25.8,26.7,24.5,25.45,7740,2900
TODAYS,20020322,25,25.5,25,25.45,4800,500
TODAYS,20020326,24,29.95,24,26,9211,2246
TODAYS,20020327,24.9,26,24.9,26,4410,335
TODAYS,20020328,25.5,26.25,25,26.2,5181,1081
TODAYS,20020401,26.5,26.5,25.15,25.5,4870,870
TODAYS,20020402,26,26.05,25,25,7850,3675
TODAYS,20020403,25.75,25.75,25.05,25.05,4400,400
TODAYS,20020404,25.5,25.5,24,25,5620,2260
TODAYS,20020405,25.5,25.75,25.05,25.05,4130,1130
TODAYS,20020408,22.5,28.4,22.5,25.15,5802,1500
TODAYS,20020409,28.95,28.95,23.55,25,4704,701
TODAYS,20020410,25.75,25.75,25.25,25.25,4500,500
TODAYS,20020411,25.05,25.5,25,25,4125,1125
