SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TREEHOUSE,20110826,132,161.5,105.15,117.6,29345647,2513968
TREEHOUSE,20110829,120,128,112.6,124.05,6615344,0
TREEHOUSE,20110830,125,131.5,122.6,127.25,3891529,0
TREEHOUSE,20110902,124.8,128.5,123.1,125.05,966547,165577
TREEHOUSE,20110905,123.8,124,110.6,119.5,485221,83288
TREEHOUSE,20110906,119,128.9,117.2,126.15,848578,87125
TREEHOUSE,20110907,126.3,129.6,125.65,127,273075,64101
TREEHOUSE,20110908,127.5,127.7,121.75,124.3,177894,42494
TREEHOUSE,20110909,123.5,128.1,121.7,123.1,130354,0
TREEHOUSE,20110912,123.45,125.25,120.4,122.55,101052,0
TREEHOUSE,20110913,123,126.05,123,124.05,86641,0
TREEHOUSE,20110914,125,137.8,124.5,134.75,428782,0
TREEHOUSE,20110915,136.2,142.5,136,137.45,475037,0
TREEHOUSE,20110916,138.5,144.4,135,138.55,360222,80955
TREEHOUSE,20110919,138,141.95,136.65,138.55,158719,55796
TREEHOUSE,20110920,139,152.5,139,149.55,1094310,189766
TREEHOUSE,20110921,151,179.5,150,168.15,4583450,0
TREEHOUSE,20110922,164.9,183.75,155.65,161.2,7638549,0
TREEHOUSE,20110923,161.2,177.65,158.1,174.35,4222620,0
TREEHOUSE,20110926,176.8,180.5,166.05,172.2,1368497,178286
TREEHOUSE,20110927,174.4,180,166.05,174.05,1120924,0
TREEHOUSE,20110928,174,176.2,166.2,169.8,560572,0
TREEHOUSE,20110929,170,170,164,165.65,353704,102123
TREEHOUSE,20110930,166.25,167.9,135.6,151.85,520704,0
TREEHOUSE,20111003,150,167.8,150,159.7,1226828,98768
TREEHOUSE,20111004,160,166.9,155,160.55,439827,49943
TREEHOUSE,20111005,162.7,166.75,160.5,164.4,271859,61759
TREEHOUSE,20111007,166,173.5,164,171.85,474129,92410
TREEHOUSE,20111010,172,179.15,172,175.9,338383,57322
TREEHOUSE,20111011,177,179.5,168.15,172.1,207000,0
