SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TULIP,20060105,150,202,150,183.8,15354069,2993202
TULIP,20060106,182.5,195.9,182.5,193.8,7733957,1068652
TULIP,20060109,190,206.35,187.65,199.15,9298642,792277
TULIP,20060110,199,203.9,192.1,193.25,4175684,485287
TULIP,20060112,192.05,198.8,187,193.75,1454843,247473
TULIP,20060113,194.8,199,191.2,192.1,700041,155883
TULIP,20060116,193.65,204.95,192.5,197.4,2345224,0
TULIP,20060117,199,203,190.6,192.5,1164751,227600
TULIP,20060118,192,194.4,182.1,185.75,969354,0
TULIP,20060119,186,195.5,186,193.3,777488,195421
TULIP,20060120,194,203.5,194,198.85,1543216,347375
TULIP,20060123,198.7,201.8,190,197,824033,185278
TULIP,20060124,199,224.8,198,216.9,5990673,688372
TULIP,20060125,218.7,223.9,207.25,209.2,2433078,482622
TULIP,20060127,218.65,251.05,215,248.15,7856436,0
TULIP,20060130,252,261.05,237.35,240.15,6119956,567828
TULIP,20060131,240.7,245,234.75,236.6,2545417,0
TULIP,20060201,238,253.5,235.15,237.5,4389109,0
TULIP,20060202,239,244.85,214.65,217.4,3550077,0
TULIP,20060203,218,220,199.35,209.15,3990241,713136
TULIP,20060206,218,244.6,215,240.45,6223984,602588
TULIP,20060207,242.8,242.8,228.95,236,3088384,256472
TULIP,20060208,235.9,243.4,229.05,238.35,3657988,302512
TULIP,20060210,238.65,249.4,236.5,241.7,3214830,314708
TULIP,20060213,241.7,256,241.1,252.95,3359569,515960
TULIP,20060214,253,262.7,248.15,251.35,1921719,0
TULIP,20060215,253.25,254.6,240.1,241.95,975597,188241
TULIP,20060216,243.6,259.9,242.5,255.75,1808239,340716
TULIP,20060217,257.5,264.9,243.55,245.15,2600188,0
TULIP,20060220,245.35,246.8,230,238.2,1087914,133979
TULIP,20060221,240.5,246.8,239,243.8,700885,0
TULIP,20060222,243.4,244.6,238.15,242.05,628526,0
TULIP,20060223,242,242.2,232.6,233.7,319941,0
TULIP,20060224,233.75,240.7,232.05,235.9,268192,55673
TULIP,20060227,237,239,232.15,233.6,154691,0
TULIP,20060228,234.75,242,227,238.9,425964,117682
TULIP,20060301,243,249.75,229,247.8,947821,0
TULIP,20060302,249,274.9,242.55,261.65,2006963,0
TULIP,20060303,261,273,254.05,258.45,1266549,118681
TULIP,20060306,259.65,269,250.2,262.1,537402,109108
TULIP,20060307,260,263.9,255,256.45,266914,46605
TULIP,20060308,256,258.5,248.55,250.35,237803,0
TULIP,20060309,249,256.8,242.1,244.05,613588,0
TULIP,20060310,244,275,241.05,266.3,1520765,0
TULIP,20060313,268,274.7,258.55,260.6,373493,91838
TULIP,20060314,260.8,270.95,256.3,261.65,549012,0
TULIP,20060316,280,280,261,271.95,1090526,0
TULIP,20060317,262,274,262,265.95,396959,124298
TULIP,20060320,266,271.8,263,269.65,266165,0
TULIP,20060321,272,286,268,281.35,1102878,0
TULIP,20060322,285,330.8,272.05,314.9,7066585,0
TULIP,20060323,312,325.9,305.65,309.85,3634083,0
TULIP,20060324,310,325.8,307.65,308.9,1693436,172843
TULIP,20060327,312,321,305,317.3,1519607,256904
TULIP,20060328,319.75,319.75,298.1,301.55,987973,282553
TULIP,20060329,309,312,303.7,305.65,556535,76669
TULIP,20060330,308.7,325.3,308,317.55,1503674,0
TULIP,20060331,318,320.7,308.25,309.85,265717,65565
TULIP,20060403,312.2,338.55,311,330.6,1832554,0
TULIP,20060404,332,333.9,322.2,324.35,516721,0
TULIP,20060405,326,345,323.8,341.45,1050965,0
TULIP,20060407,339.9,406.5,339.9,385.85,4152554,0
TULIP,20060410,375,399.3,370,389.4,2511894,0
TULIP,20060412,390,393,368.25,372.5,774962,93759
TULIP,20060413,374.8,375.8,342.15,349.85,766906,226334
TULIP,20060417,355,373.25,348,367.8,463783,60823
TULIP,20060418,369.1,381.8,365,367.65,338633,59089
TULIP,20060419,368.1,375,354.7,366,279186,40509
TULIP,20060420,368,373.3,362,367.3,205229,44158
TULIP,20060421,370,398.4,369,382.5,1108104,121747
TULIP,20060424,381,383,370.25,373.9,252317,0
TULIP,20060425,376.9,395,369,377.6,493152,57755
TULIP,20060426,379.9,391,375.5,378.65,237461,36465
TULIP,20060427,380,384.75,371.1,372.75,157562,0
TULIP,20060428,332.5,369.75,332.5,364.65,144888,54584
TULIP,20060429,368,375,368,369.15,68565,0
TULIP,20060502,372.4,378.8,369.1,372.2,86161,31525
TULIP,20060503,374.9,377.35,360,367.5,93306,21743
TULIP,20060504,370.9,372.2,360.1,363.55,106104,48869
TULIP,20060505,366.9,383,363,367,234321,34266
TULIP,20060508,370.7,371.35,361.15,363.35,81742,22845
TULIP,20060509,364.9,367,353.1,356.95,99420,35478
TULIP,20060510,359.9,369.8,356.65,362.5,93201,0
TULIP,20060511,364,364,330.3,356.05,90926,53444
TULIP,20060512,353,356,340,343.35,65635,23181
TULIP,20060515,345,349.7,327,335.2,54210,22056
TULIP,20060516,338,341.9,290.1,320.8,90194,0
TULIP,20060517,325,352,320.75,340.75,83109,22325
TULIP,20060518,335,335,317.3,324.8,84362,48589
TULIP,20060519,330,337.45,267,283.4,73087,28150
TULIP,20060522,283,335.45,255,281.2,71393,38639
TULIP,20060523,284.2,303,257,297.75,83540,46061
TULIP,20060524,315,315,285,289.9,55816,18433
TULIP,20060525,266,290,266,284.35,33640,8604
TULIP,20060526,300,320,285.1,289.7,37333,11490
TULIP,20060529,293.85,298.5,289,294.4,42092,15360
TULIP,20060530,299.95,302.4,285.05,286.65,45704,13746
TULIP,20060531,274,291,267,278.7,38547,15085
TULIP,20060601,289,295,260,268.45,31583,8132
TULIP,20060602,265,269,236,253.8,63452,19355
TULIP,20060605,258,258.5,240,241.9,37251,13716
TULIP,20060606,223.15,234,220.6,227.25,48424,20379
TULIP,20060607,220,227,190.05,199.3,65945,29177
TULIP,20060608,197,234.8,162.25,217.7,177387,46662
TULIP,20060609,203.3,248,203.3,244.6,136306,35147
TULIP,20060612,222.2,250,211,238.1,107937,22378
