SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TVSSUZUKI,19941130,245,245,245,245,100,0
TVSSUZUKI,19941201,235,235,222.5,225,2450,0
TVSSUZUKI,19941206,215,215,215,215,1000,0
TVSSUZUKI,19941209,205,205,205,205,200,0
TVSSUZUKI,19941212,205,205,205,205,100,0
TVSSUZUKI,19941213,202,202,200,200,200,0
TVSSUZUKI,19941214,195,195,195,195,300,0
TVSSUZUKI,19941216,214,214,210,210,800,0
TVSSUZUKI,19941219,220,220,220,220,50,0
TVSSUZUKI,19941220,216,216,216,216,500,0
TVSSUZUKI,19941222,212,212,212,212,50,0
TVSSUZUKI,19941223,211,211,211,211,50,0
TVSSUZUKI,19941226,205,205,205,205,250,0
TVSSUZUKI,19941227,205,205,205,205,100,0
TVSSUZUKI,19950106,205,205,205,205,50,0
TVSSUZUKI,19950109,205,205,205,205,100,0
TVSSUZUKI,19950110,225,225,225,225,2500,0
TVSSUZUKI,19950111,205,205,197.95,198,4550,0
TVSSUZUKI,19950112,198,199,198,199,700,0
TVSSUZUKI,19950113,199.75,200,199.75,200,350,0
TVSSUZUKI,19950118,205,205,203,203,300,0
TVSSUZUKI,19950119,208,212,208,211,750,0
TVSSUZUKI,19950123,205,205,205,205,50,0
TVSSUZUKI,19950201,195,195,195,195,100,0
TVSSUZUKI,19950202,195,195,195,195,100,0
TVSSUZUKI,19950203,200,200,200,200,100,0
TVSSUZUKI,19950206,200,200,198.5,198.5,600,0
TVSSUZUKI,19950207,199,199,197,199,400,0
TVSSUZUKI,19950208,200,205,200,205,850,0
TVSSUZUKI,19950209,202,202,202,202,50,0
TVSSUZUKI,19950210,202,204,199.5,204,950,0
TVSSUZUKI,19950213,200,202.5,200,201.75,600,0
TVSSUZUKI,19950214,195,201,195,200,750,0
TVSSUZUKI,19950215,195,200,194,200,650,0
TVSSUZUKI,19950216,195,198,195,198,100,0
TVSSUZUKI,19950217,198,198,193,193,750,0
TVSSUZUKI,19950220,195,195,195,195,5000,0
TVSSUZUKI,19950221,183.5,183.5,183,183.25,200,0
TVSSUZUKI,19950223,190,190,190,190,100,0
TVSSUZUKI,19950224,185,185,185,185,100,0
TVSSUZUKI,19950228,187,187,187,187,50,0
TVSSUZUKI,19950301,188,190,188,190,450,0
TVSSUZUKI,19950303,197,205,197,205,1450,0
TVSSUZUKI,19950306,205,206,205,205,850,0
TVSSUZUKI,19950307,205.25,210,205.25,210,600,0
TVSSUZUKI,19950308,211.95,213,211.95,213,600,0
TVSSUZUKI,19950309,212,212,212,212,500,0
