SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
UBL,20080728,162.1,169.5,147.1,154.35,13767,1657
UBL,20080729,157.5,159.85,150,151.35,2166,918
UBL,20080730,158.6,158.6,150.1,156.8,338,241
UBL,20080731,152.3,158.8,152,153.8,1458,588
UBL,20080801,147,158.75,147,153.5,648,485
UBL,20080804,157.7,164,157.7,161.6,30370,28668
UBL,20080805,164.8,193.95,164.8,193.95,44153,28033
UBL,20080806,224,224,184,191,51045,11932
UBL,20080807,181,189.7,181,182.15,5602,3817
UBL,20080808,182.1,184.95,180,180.2,3883,2501
UBL,20080811,198,198,180,181.1,4382,2503
UBL,20080812,186,189.9,177,178.2,2300,1485
UBL,20080813,186.4,188,177,178.95,36107,20614
UBL,20080814,178.95,184.9,178.05,179.8,3851,2589
UBL,20080818,178,181,178,179.95,10181,6946
UBL,20080819,180,189,175.5,178.7,5231,2597
UBL,20080820,175.1,184,175.1,179.6,4684,3407
UBL,20080821,176,183.95,176,178.35,2607,1717
UBL,20080822,180,183.95,176.2,180.35,26056,18247
UBL,20080825,175.2,198,175.2,179.25,12063,7255
UBL,20080826,176,176,161.25,168.65,5873,4720
UBL,20080827,167.05,171.8,163.25,164.15,1998,1315
UBL,20080828,162,169.65,162,163.75,1481,1215
UBL,20080829,171,176.5,165.25,172.45,3546,3267
UBL,20080901,182,193.45,170.55,175.25,3162,1675
UBL,20080902,178.95,183.95,171.1,173.15,2092,1654
UBL,20080904,178,178,166,175,36235,35983
UBL,20080905,171,173.9,168,169.8,4192,4056
UBL,20080908,180,180,170.05,174.7,1362,1108
UBL,20080909,172,176,169,169.7,706,515
UBL,20080910,175,176.9,169,172.4,163879,162152
UBL,20080911,170,176,166.35,167.9,301642,300747
UBL,20080912,174.45,174.45,165,165.05,1458,963
UBL,20080915,170,170,150,164.2,375427,374032
UBL,20080916,154,158.15,150.5,153.65,2228,1843
UBL,20080917,152.1,163,148.5,149.3,1176,714
UBL,20080918,149.5,149.5,135,137.1,6196,3330
UBL,20080919,135.7,149.95,135.7,146.55,3276,1613
UBL,20080922,146.55,156.95,142.25,145.9,1144,745
UBL,20080923,143,152.45,142.05,148.3,3755,2876
UBL,20080924,138.1,150,138.1,144.9,1057,316
UBL,20080925,150,150,144.45,144.45,320,300
UBL,20080926,141.4,144,132,135.3,1526,876
UBL,20080929,137.3,139,127,133.8,2573,1647
UBL,20080930,125.5,132,125.5,130,1033,814
UBL,20081001,129.1,131,125,128.45,201416,200020
UBL,20081003,150,150,120.25,129.2,305095,302361
UBL,20081006,127.95,128.7,120.5,122.4,23527,22333
UBL,20081007,122.5,132,122.5,129.25,3658,3065
UBL,20081008,122.8,132,111,126.1,7006,4553
UBL,20081010,121,123,102,109.95,4570,2414
UBL,20081013,110,122.85,109.95,113.5,3848,2242
UBL,20081014,110,120,110,116.85,2786,2030
UBL,20081015,118,118,105,110.75,7234,6613
UBL,20081016,115,115,100.35,106.65,1787,1150
