SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
UMAEXPORTS,20220407,76,79.8,76,79.8,1488961,0
UMAEXPORTS,20220408,83.75,83.75,83.75,83.75,860275,0
UMAEXPORTS,20220411,87.9,87.9,87.9,87.9,113075,0
UMAEXPORTS,20220412,92.25,92.25,83.55,83.55,674639,0
UMAEXPORTS,20220413,79.4,81.9,79.4,79.4,1045939,0
UMAEXPORTS,20220418,75.45,75.45,75.45,75.45,110539,0
UMAEXPORTS,20220419,71.8,73.95,71.7,71.7,223893,0
UMAEXPORTS,20220420,68.15,68.15,68.15,68.15,117327,0
UMAEXPORTS,20220421,66.8,71.55,65.05,71.55,542870,0
UMAEXPORTS,20220422,72,75.1,72,75.1,283754,0
UMAEXPORTS,20220425,74.9,74.9,65.55,69.5,911454,0
UMAEXPORTS,20220426,70,72.8,67.9,68.7,538988,0
UMAEXPORTS,20220427,68.7,68.75,62,65,525087,0
UMAEXPORTS,20220428,66.3,68.9,63,66.35,543749,0
UMAEXPORTS,20220429,68,68.3,63.75,64.15,236898,0
UMAEXPORTS,20220502,64.15,64.45,61.2,62.45,186018,0
UMAEXPORTS,20220504,62.45,63.45,56.05,56.5,607847,0
UMAEXPORTS,20220505,57.9,57.9,51.1,51.65,446772,0
UMAEXPORTS,20220506,50.05,61.95,47,61.95,1964420,0
UMAEXPORTS,20220509,66,72.7,64.9,69.75,2953581,0
UMAEXPORTS,20220510,67,67.65,57.3,59.4,1098554,0
UMAEXPORTS,20220511,58.05,62.1,54.5,55.8,508373,0
UMAEXPORTS,20220512,56,65.05,52.25,59.9,1417281,0
UMAEXPORTS,20220513,62.05,64.85,60,60.65,517585,0
UMAEXPORTS,20220516,62.4,62.4,57.55,58.1,261288,0
UMAEXPORTS,20220517,59,60.5,58.05,58.85,241713,0
UMAEXPORTS,20220518,60.35,60.35,58.45,59,177267,0
UMAEXPORTS,20220519,58,58.5,55.5,56.85,217507,0
