SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
UNICHEMLAB,19950110,410,410,410,410,100,0
UNICHEMLAB,19950207,380,380,380,380,100,0
UNICHEMLAB,19950209,400,400,400,400,50,0
UNICHEMLAB,19950214,400,400,400,400,50,0
UNICHEMLAB,19950221,392,399,392,395.5,150,0
UNICHEMLAB,19950302,420,420,420,420,50,0
UNICHEMLAB,19950310,402.5,405,402.5,405,600,0
UNICHEMLAB,19950313,390,390,390,390,50,0
UNICHEMLAB,19950315,385,385,385,385,50,0
UNICHEMLAB,19950320,360,360,360,360,100,0
UNICHEMLAB,19950328,395,395,395,395,50,0
UNICHEMLAB,19950411,400,400,390,390,150,0
UNICHEMLAB,19950412,390,390,388,388,150,0
UNICHEMLAB,19950417,395,396,395,396,100,0
UNICHEMLAB,19950418,395,395,395,395,50,0
UNICHEMLAB,19950419,392.5,392.5,375,375,250,0
UNICHEMLAB,19950420,380,380,380,380,50,0
UNICHEMLAB,19950425,365,365,365,365,100,0
UNICHEMLAB,19950427,350,350,345,345,150,0
UNICHEMLAB,19950428,345.5,345.5,345,345.25,200,0
UNICHEMLAB,19950503,360,360,360,360,100,0
UNICHEMLAB,19950508,387,387,387,387,50,0
UNICHEMLAB,19950516,360,365,360,360,700,0
UNICHEMLAB,19950517,365,365,365,365,100,0
UNICHEMLAB,19950522,370,375,370,375,450,0
UNICHEMLAB,19950529,368.05,368.05,360,360,200,0
UNICHEMLAB,19950531,380,380,380,380,50,0
UNICHEMLAB,19950601,380,380,380,380,50,0
UNICHEMLAB,19950605,380,380,380,380,50,0
UNICHEMLAB,19950607,377.5,377.5,377.5,377.5,50,0
UNICHEMLAB,19950609,380,380,380,380,100,0
UNICHEMLAB,19950612,370,370,370,370,400,0
UNICHEMLAB,19950613,380,380,380,380,100,0
UNICHEMLAB,19950615,377,380,377,380,250,0
UNICHEMLAB,19950616,380,380,380,380,50,0
UNICHEMLAB,19950619,379,380,377,378.5,700,0
UNICHEMLAB,19950622,380,385,380,385,300,0
UNICHEMLAB,19950627,375,375,375,375,150,0
UNICHEMLAB,19950629,375,375,375,375,50,0
UNICHEMLAB,19950705,320,320,320,320,100,0
UNICHEMLAB,19950718,330,330,330,330,50,0
UNICHEMLAB,19950801,340,340,340,340,100,0
UNICHEMLAB,19950802,350,350,350,350,50,0
UNICHEMLAB,19950807,340,340,340,340,50,0
UNICHEMLAB,19950808,325.05,325.05,325.05,325.05,50,0
UNICHEMLAB,19950821,332,332,332,332,50,0
UNICHEMLAB,19950822,325,330,325,330,250,0
UNICHEMLAB,19950828,320,330,315,330,350,0
UNICHEMLAB,19950911,316,316,316,316,150,0
UNICHEMLAB,19950914,330,330,330,330,100,0
UNICHEMLAB,19950918,320,320,320,320,100,0
UNICHEMLAB,19950919,325,325,325,325,50,0
UNICHEMLAB,19950920,315,315,315,315,50,0
UNICHEMLAB,19950925,315,315,315,315,50,0
UNICHEMLAB,19950928,321,321,320,320.5,150,0
UNICHEMLAB,19951018,295.05,295.05,295.05,295.05,50,0
UNICHEMLAB,19951031,300,300,300,300,100,0
UNICHEMLAB,19951103,298,298,298,298,200,0
UNICHEMLAB,19951106,297,300,297,300,150,0
UNICHEMLAB,19951109,292,292,292,292,50,0
UNICHEMLAB,19951110,285,285,285,285,100,0
UNICHEMLAB,19951115,265,265,265,265,100,0
UNICHEMLAB,19951116,265,265,265,265,100,0
UNICHEMLAB,19951120,245,245,245,245,50,0
UNICHEMLAB,19951122,220.5,220.5,220.5,220.5,100,0
UNICHEMLAB,19951128,225,225,220,222.4,250,0
UNICHEMLAB,19951205,240,243.75,240,243.75,200,0
UNICHEMLAB,19951207,260,260,260,260,50,0
UNICHEMLAB,19951208,260,260,260,260,150,0
UNICHEMLAB,19951211,240,240,240,240,100,0
UNICHEMLAB,19951212,260,260,260,260,50,0
UNICHEMLAB,19951213,270,270,270,270,200,0
UNICHEMLAB,19951219,270,270,270,270,50,0
UNICHEMLAB,19960105,243,243,243,243,50,0
UNICHEMLAB,19960108,255,255,255,255,500,0
UNICHEMLAB,19960119,230,230,230,230,100,0
UNICHEMLAB,19960123,210.05,210.05,210,210,150,0
UNICHEMLAB,19960124,210,200,200,200,100,0
UNICHEMLAB,19960125,200.5,200.5,200.5,200.5,50,0
UNICHEMLAB,19960129,186,186,185,185,150,0
UNICHEMLAB,19960130,200,200,195,195,200,0
UNICHEMLAB,19960213,195,195,195,195,100,0
UNICHEMLAB,19960215,195,211,211,211,50,0
UNICHEMLAB,19960216,225,225,225,225,150,0
UNICHEMLAB,19960222,240.25,245,240.25,245,200,0
UNICHEMLAB,19960223,250,258,250,258,150,0
UNICHEMLAB,19960227,254.9,255,254.9,255,150,0
UNICHEMLAB,19960304,250,250,250,250,100,0
UNICHEMLAB,19960307,250,250,250,250,100,0
UNICHEMLAB,19960313,250,245,245,245,100,0
UNICHEMLAB,19960314,235,235,235,235,100,0
UNICHEMLAB,19960319,235,222,222,222,50,0
UNICHEMLAB,19960321,201,205,200,200.7,500,0
UNICHEMLAB,19960322,210,210,205,205,150,0
UNICHEMLAB,19960325,205,210,210,210,100,0
UNICHEMLAB,19960327,212,231,212,231,150,0
UNICHEMLAB,19960328,231,252.05,248.95,249,200,0
UNICHEMLAB,19960329,250,257,250,257,550,0
UNICHEMLAB,19960402,257,256,256,256,50,0
UNICHEMLAB,19960404,260,260,260,260,50,0
