SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
UNITEDPHOS,19941108,1160,1160,1160,1160,100,0
UNITEDPHOS,19941109,1150,1150,1150,1150,100,0
UNITEDPHOS,19941115,1075,1075,1050,1050,200,0
UNITEDPHOS,19941121,1040,1040,1030,1030,300,0
UNITEDPHOS,19941124,1050,1050,1040,1040,400,0
UNITEDPHOS,19941129,1025,1030,1010,1030,1500,0
UNITEDPHOS,19941201,1020,1020,1020,1020,100,0
UNITEDPHOS,19941202,985,1000,985,1000,200,0
UNITEDPHOS,19941206,975,975,900,900,1000,0
UNITEDPHOS,19941207,950,950,945,945,300,0
UNITEDPHOS,19941208,920,920,910,910,400,0
UNITEDPHOS,19941212,850,850,850,850,100,0
UNITEDPHOS,19941213,815,815,800,800,300,0
UNITEDPHOS,19941214,780.25,790,760,785,2300,0
UNITEDPHOS,19941215,800,800,785,791,4100,0
UNITEDPHOS,19941216,825,825,810,815,1100,0
UNITEDPHOS,19941219,830,830,800,800,2300,0
UNITEDPHOS,19941220,822.5,825,815,819,1500,0
UNITEDPHOS,19941221,852.5,885,850,885,2100,0
UNITEDPHOS,19941222,875,891,875,885.5,500,0
UNITEDPHOS,19941223,885,885,850,851,3800,0
UNITEDPHOS,19941226,860,870,860,870,300,0
UNITEDPHOS,19941227,870,875,865,875,500,0
UNITEDPHOS,19941228,865,870,865,870,300,0
UNITEDPHOS,19941229,870,870,870,870,200,0
UNITEDPHOS,19941230,870,874,866,874,700,0
UNITEDPHOS,19950102,870,875,860,862,1800,0
UNITEDPHOS,19950103,875,880,865,871,2500,0
UNITEDPHOS,19950104,870,875,870,875,2200,0
UNITEDPHOS,19950105,860,860,860,860,200,0
UNITEDPHOS,19950106,845,845,841.25,845,400,0
UNITEDPHOS,19950109,822.5,825.05,822.5,825,1200,0
UNITEDPHOS,19950110,810,810,800,800,400,0
UNITEDPHOS,19950111,810,810,760,790,3100,0
UNITEDPHOS,19950112,770,800,770,795,600,0
UNITEDPHOS,19950113,810,810,790,790,400,0
UNITEDPHOS,19950116,790,795,775.05,778.5,2000,0
UNITEDPHOS,19950117,785,785,775,785,2300,0
UNITEDPHOS,19950118,794,800,790,800,700,0
UNITEDPHOS,19950119,795,805,795,805,600,0
UNITEDPHOS,19950120,815,815,800,800,1200,0
UNITEDPHOS,19950123,795,795,785,785,600,0
UNITEDPHOS,19950124,775,775,750,760,1800,0
UNITEDPHOS,19950125,750,755,725,755,1300,0
UNITEDPHOS,19950127,740,750,725,733.75,4600,0
UNITEDPHOS,19950130,750,772,746,746.5,900,0
UNITEDPHOS,19950131,760,770,745,748.75,1200,0
UNITEDPHOS,19950201,740,765,740,745,4800,0
UNITEDPHOS,19950202,745,745,730,740,2700,0
UNITEDPHOS,19950203,750,750,730,745,1400,0
UNITEDPHOS,19950206,742,745,738.25,742.5,1400,0
UNITEDPHOS,19950207,741,744,738,739,1400,0
UNITEDPHOS,19950208,735,736,730,730,3800,0
UNITEDPHOS,19950209,730,730.5,725,728.65,3000,0
UNITEDPHOS,19950210,735,750,735,740,1100,0
UNITEDPHOS,19950213,745,745,735,739,900,0
UNITEDPHOS,19950214,743,750,734,739.65,1900,0
UNITEDPHOS,19950215,750,750,739,739,300,0
UNITEDPHOS,19950216,736,740,710,725,2000,0
UNITEDPHOS,19950217,723,725,715,722.5,700,0
UNITEDPHOS,19950220,720,720,675,681,2200,0
UNITEDPHOS,19950221,689,689,680,680,700,0
UNITEDPHOS,19950222,680.1,690,665,670,3000,0
UNITEDPHOS,19950223,690,700,675,700,1900,0
UNITEDPHOS,19950224,719,772,710,762.5,1900,0
UNITEDPHOS,19950228,770,770,755,757.5,2900,0
UNITEDPHOS,19950301,780,825,780,823.65,2900,0
UNITEDPHOS,19950302,850,873.75,850,863,6000,0
UNITEDPHOS,19950303,870,960,870,901.15,7500,0
UNITEDPHOS,19950306,930,930,885,891,4900,0
UNITEDPHOS,19950307,881,885,825,828.7,3400,0
UNITEDPHOS,19950308,850,850,821,825,3700,0
UNITEDPHOS,19950309,827.5,831,810,827.9,2600,0
UNITEDPHOS,19950310,830,849,830,844.2,1700,0
UNITEDPHOS,19950313,790,810,790,806.75,800,0
UNITEDPHOS,19950314,805,820,804.5,809.4,1800,0
UNITEDPHOS,19950315,841,859,801,825,5100,0
UNITEDPHOS,19950316,811,820,810,820,800,0
UNITEDPHOS,19950320,790,811,780,790,1000,0
UNITEDPHOS,19950321,780,780,765,765.05,1000,0
UNITEDPHOS,19950322,781,820,781,808.25,1900,0
UNITEDPHOS,19950323,800,815,800,815,800,0
UNITEDPHOS,19950324,800,810,780,810,800,0
UNITEDPHOS,19950327,815,815,807,807,600,0
UNITEDPHOS,19950328,825,825,805,805,2300,0
UNITEDPHOS,19950329,815,828,815,828,1600,0
UNITEDPHOS,19950330,820,825,817,820,1200,0
UNITEDPHOS,19950331,820,825,817,820.05,1700,0
UNITEDPHOS,19950403,830,831.5,822,823.5,1700,0
UNITEDPHOS,19950404,825,827.5,820,822.65,1900,0
UNITEDPHOS,19950407,845,845,820,822,1300,0
UNITEDPHOS,19950410,813,813,800,805,1100,0
UNITEDPHOS,19950411,800,800,790,790,1200,0
UNITEDPHOS,19950412,806,814,800,811,800,0
UNITEDPHOS,19950417,805,809,795,795,2400,0
UNITEDPHOS,19950418,790,790,771,772.4,2500,0
UNITEDPHOS,19950419,780,780,762,762.85,1200,0
UNITEDPHOS,19950420,755,768,755,767,700,0
UNITEDPHOS,19950421,770,774,762,762,1000,0
UNITEDPHOS,19950424,760,760,740,740.5,1000,0
UNITEDPHOS,19950425,745,745,722,729.75,1300,0
UNITEDPHOS,19950426,740,750,722.5,724,900,0
UNITEDPHOS,19950427,715,715,710.1,710.1,700,0
UNITEDPHOS,19950428,710,714,685.6,687,1300,0
UNITEDPHOS,19950502,680,680,640,644.2,3400,0
UNITEDPHOS,19950503,634,660,634,658.55,3200,0
UNITEDPHOS,19950504,660,675,659.9,665.7,3500,0
UNITEDPHOS,19950505,676,690,670,679.35,4300,0
UNITEDPHOS,19950508,684,695,684,692,1200,0
UNITEDPHOS,19950509,690,700,690,696.3,1700,0
UNITEDPHOS,19950510,710,724.95,692,693.45,1300,0
UNITEDPHOS,19950512,651,683.45,651,680.35,1700,0
UNITEDPHOS,19950515,680,680,660,660,700,0
UNITEDPHOS,19950516,645,655,645,650,1600,0
UNITEDPHOS,19950517,665,668.9,664,667.95,1200,0
UNITEDPHOS,19950518,670,679.95,670,677.2,3700,0
UNITEDPHOS,19950519,671.05,684,671,683,1700,0
UNITEDPHOS,19950522,684.75,684.75,672.6,672.6,1100,0
UNITEDPHOS,19950523,679.95,679.95,657.5,669.95,1500,0
UNITEDPHOS,19950524,680,680,675,675,600,0
UNITEDPHOS,19950525,670,670,665.1,665.1,700,0
UNITEDPHOS,19950526,670.05,678.95,670,678.25,1100,0
UNITEDPHOS,19950529,682,683.25,677,683.25,800,0
UNITEDPHOS,19950530,685,685,678,680,2100,0
UNITEDPHOS,19950531,695,695,690,690,2100,0
UNITEDPHOS,19950601,690,690,683,687,1300,0
UNITEDPHOS,19950602,695,699.85,691,691.5,1100,0
UNITEDPHOS,19950605,680,695,679,684.2,5200,0
UNITEDPHOS,19950606,699,800,699,792.6,18200,0
UNITEDPHOS,19950607,850,910,850,869.9,67900,0
UNITEDPHOS,19950608,865,865,802,818.4,78500,0
UNITEDPHOS,19950609,820,820,766.55,775.35,60100,0
UNITEDPHOS,19950612,770,772,736,746.45,23200,0
UNITEDPHOS,19950613,745.5,745.5,681,696.15,38500,0
UNITEDPHOS,19950614,688,730,688,706.7,6100,0
UNITEDPHOS,19950615,702.5,705,684,685.75,6500,0
UNITEDPHOS,19950616,687,694.9,683.55,684.45,6000,0
UNITEDPHOS,19950619,682,685,675.8,680,5300,0
UNITEDPHOS,19950620,677,677.95,661.25,665.9,6500,0
UNITEDPHOS,19950621,677,677,673.05,674.5,2500,0
UNITEDPHOS,19950622,678,678,673,673.05,1900,0
UNITEDPHOS,19950623,676,676,672,672.2,2500,0
UNITEDPHOS,19950626,675,675,662.5,666.5,2500,0
UNITEDPHOS,19950627,660,663.45,652,660.4,5400,0
UNITEDPHOS,19950628,659,659,648,656.85,3800,0
UNITEDPHOS,19950629,660,660,655,659.7,1800,0
UNITEDPHOS,19950630,654.05,665,653.25,659.35,4400,0
UNITEDPHOS,19950703,650,657.4,649.95,650,5000,0
UNITEDPHOS,19950704,645,646,627.1,638.6,7300,0
UNITEDPHOS,19950705,650,650,638.05,640,4800,0
UNITEDPHOS,19950706,635,635,623,623,3900,0
UNITEDPHOS,19950707,620,632,620,628.35,4800,0
UNITEDPHOS,19950710,630,630,627,628.25,3300,0
UNITEDPHOS,19950711,627.5,634.75,624,630.4,7000,0
UNITEDPHOS,19950712,643,647,640,645.1,6900,0
UNITEDPHOS,19950713,650,684.9,650,668.35,12500,0
