SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
UPERGANGES,19950330,275,275,275,275,100,0
UPERGANGES,19950823,103.05,103.05,103.05,103.05,100,0
UPERGANGES,19950929,101.1,102,101.1,102,700,0
UPERGANGES,19951010,112,112,112,112,200,0
UPERGANGES,19951115,101,101,101,101,200,0
UPERGANGES,19951116,102,103,102,103,200,0
UPERGANGES,19951117,103,103,103,103,200,0
UPERGANGES,19951204,93,93,93,93,100,0
UPERGANGES,19951205,90,90,90,90,100,0
UPERGANGES,19951212,90,82,81,82,300,0
UPERGANGES,19951213,76,76,76,76,200,0
UPERGANGES,19951214,73,73,73,73,100,0
UPERGANGES,19951215,77,77.75,77,77.75,300,0
UPERGANGES,19951218,75.5,75.5,75.5,75.5,200,0
UPERGANGES,19951219,73.95,74,73.95,74,300,0
UPERGANGES,19951221,75,75,73,73,200,0
UPERGANGES,19951222,75,75,74,75,1100,0
UPERGANGES,19951226,75,74.5,69,70,400,0
UPERGANGES,19951228,74.95,74.95,74.95,74.95,200,0
UPERGANGES,19951229,74.2,74.2,74.2,74.2,100,0
UPERGANGES,19960101,73.5,73.5,73.5,73.5,100,0
UPERGANGES,19960102,74.4,74.4,74.4,74.4,100,0
UPERGANGES,19960104,77,77.5,77,77.5,200,0
UPERGANGES,19960109,70,70,70,70,100,0
UPERGANGES,19960116,66,66,66,66,100,0
UPERGANGES,19960123,65,65.1,65,65.1,500,0
UPERGANGES,19960124,65,65,65,65,100,0
UPERGANGES,19960125,65.5,65.9,65.5,65.9,200,0
UPERGANGES,19960130,68,68,68,68,100,0
UPERGANGES,19960131,64.95,64.95,64,64,400,0
UPERGANGES,19960202,65,65,65,65,200,0
UPERGANGES,19960205,66.5,66.5,65.5,65.5,300,0
UPERGANGES,19960206,67,67,67,67,400,0
UPERGANGES,19960321,90,90,90,90,100,0
UPERGANGES,19960401,90,90,90,90,200,0
UPERGANGES,19960402,88,88,88,88,100,0
UPERGANGES,19960410,85,85,85,85,200,0
UPERGANGES,19960424,85,93.5,93.5,93.5,100,0
UPERGANGES,19960426,93,93,93,93,100,0
UPERGANGES,19960430,93,93,93,93,200,0
UPERGANGES,19960514,84,84,84,84,100,0
UPERGANGES,19960516,84,90,90,90,100,0
UPERGANGES,19960517,90,94,90,94,800,0
UPERGANGES,19960521,94,99.4,94,98,1400,0
UPERGANGES,19960527,98,91,91,91,100,0
UPERGANGES,19960528,91,96,92,96,900,0
UPERGANGES,19960529,96,97.5,95,97.5,1800,0
UPERGANGES,19960530,97.5,100,99.9,99.95,200,0
UPERGANGES,19960531,99.95,109,104,109,1000,0
UPERGANGES,19960603,109,120.2,119.9,120.05,800,0
UPERGANGES,19960604,120.05,120.1,120.1,120.1,300,0
UPERGANGES,19960605,131.75,131.95,130,130,1300,0
UPERGANGES,19960606,127,128,125.5,128,700,0
UPERGANGES,19960607,125,125,123.75,123.9,400,0
UPERGANGES,19960611,116.05,120,116.05,120,200,0
UPERGANGES,19960612,125,125,125,125,1000,0
UPERGANGES,19960613,120,120,118,118,1400,0
UPERGANGES,19960614,125,125,121,124,4300,0
UPERGANGES,19960617,123,129,123,126,500,0
UPERGANGES,19960618,130,130,127,129.95,900,0
UPERGANGES,19960619,134,134,131,131,1200,0
UPERGANGES,19960620,128.5,128.5,128.5,128.5,200,0
UPERGANGES,19960621,126,126.15,126,126,1900,0
UPERGANGES,19960624,127.2,127.2,125,125,400,0
UPERGANGES,19960625,118,118,118,118,200,0
UPERGANGES,19960702,112,112,112,112,100,0
UPERGANGES,19960703,107.5,107.5,107.5,107.5,100,0
UPERGANGES,19960716,98,98,98,98,200,0
UPERGANGES,19960717,91,91,90.7,90.7,200,0
UPERGANGES,19960722,99,99,99,99,100,0
UPERGANGES,19960903,90,90,90,90,100,0
UPERGANGES,19960910,81,81,81,81,100,0
UPERGANGES,19960913,83,84,83,84,200,0
UPERGANGES,19961011,84,84,84,84,100,0
UPERGANGES,19961108,76,76,76,76,100,0
UPERGANGES,19961110,75,75,75,75,300,0
UPERGANGES,19961119,68,68,68,68,100,0
UPERGANGES,19961202,70,70,70,70,100,0
UPERGANGES,19961203,68,68,68,68,100,0
UPERGANGES,19961204,65,65,65,65,700,0
UPERGANGES,19961206,62,62,60,61,600,0
UPERGANGES,19961209,60,60,60,60,100,0
UPERGANGES,19961211,62,62,62,62,100,0
UPERGANGES,19961213,59,60,59,60,200,0
UPERGANGES,19961216,62,62,62,62,200,0
UPERGANGES,19961217,56,56,56,56,200,0
UPERGANGES,19961218,57.5,57.5,57.5,57.5,100,0
UPERGANGES,19961220,52,52,52,52,400,0
UPERGANGES,19961223,55,57,55,57,400,0
UPERGANGES,19961224,59,59,57,57,200,0
UPERGANGES,19961226,60,62,60,62,600,0
UPERGANGES,19961231,60,60,60,60,300,0
UPERGANGES,19970101,64,64.5,62,63.5,500,0
UPERGANGES,19970103,58,60,57.5,58.5,900,0
UPERGANGES,19970110,61,61.5,61,61.5,200,0
UPERGANGES,19970113,61.5,61.5,61.5,61.5,200,0
UPERGANGES,19970114,61.5,61.5,61.5,61.5,100,0
UPERGANGES,19970115,63.5,65,62,65,2400,0
UPERGANGES,19970116,66,66,63,63.4,2600,0
UPERGANGES,19970117,60.5,60.5,58,58,1300,0
UPERGANGES,19970120,59,59,58,58,400,0
UPERGANGES,19970121,58,63.75,58,63.45,3000,0
UPERGANGES,19970127,60,60,60,60,100,0
UPERGANGES,19970128,61,61,59,60,2100,0
UPERGANGES,19970129,62,62,60,60,600,0
UPERGANGES,19970130,57.1,57.1,57,57,700,0
UPERGANGES,19970131,56,58,56,58,200,0
UPERGANGES,19970207,58.95,58.95,58.95,58.95,100,0
UPERGANGES,19970210,58,58,58,58,600,0
UPERGANGES,19970218,60,60,58,58,200,0
UPERGANGES,19970219,58.5,63,58.5,62,300,0
UPERGANGES,19970220,65,68,65,68,1100,0
UPERGANGES,19970221,66,66,66,66,100,0
UPERGANGES,19970224,60,60,60,60,100,0
UPERGANGES,19970225,60,60,60,60,200,0
UPERGANGES,19970301,62,62,62,62,100,0
UPERGANGES,19970303,67.8,68,67.8,68,200,0
UPERGANGES,19970304,63,65,63,63,1200,0
UPERGANGES,19970305,63,63,61,63,700,0
UPERGANGES,19970306,62,62,62,62,500,0
UPERGANGES,19970310,59,61,58,61,1200,0
UPERGANGES,19970311,60,60.55,56,56.05,1700,0
UPERGANGES,19970313,58.25,58.25,57.3,57.3,900,0
UPERGANGES,19970314,57.5,57.5,55.5,55.5,1200,0
UPERGANGES,19970317,57,60,57,60,200,0
UPERGANGES,19970318,56,59,56,59,57400,0
UPERGANGES,19970319,57,57,56,56,1000,0
UPERGANGES,19970320,58,58,58,58,100,0
UPERGANGES,19970325,57,57,55,55,4000,0
UPERGANGES,19970326,54.05,57.95,54.05,57.95,39200,0
UPERGANGES,19970403,57,58,57,57,800,0
UPERGANGES,19970404,54.55,54.55,54.55,54.55,100,0
UPERGANGES,19970407,50.25,51.05,50.25,51.05,300,0
UPERGANGES,19970415,56,56,56,56,200,0
UPERGANGES,19970417,59.7,59.7,59.7,59.7,100,0
UPERGANGES,19970421,59.95,61.55,59.95,61.55,200,0
UPERGANGES,19970422,60,60,60,60,500,0
UPERGANGES,19970423,61,61,61,61,300,0
UPERGANGES,19970425,62,62,62,62,100,0
UPERGANGES,19970428,62,62.75,61.9,62.75,1700,0
UPERGANGES,19970429,63.6,63.75,63.5,63.75,600,0
UPERGANGES,19970430,67.95,70,67.9,70,2000,0
UPERGANGES,19970502,74.9,76,71,76,51300,0
UPERGANGES,19970505,77.5,78.5,75,78.5,700,0
UPERGANGES,19970506,78.5,79,74,74.3,4200,0
UPERGANGES,19970507,75,75.5,72,73,2800,0
UPERGANGES,19970508,73,73.15,73,73.15,600,0
UPERGANGES,19970509,77,80.5,77,80.45,3800,0
UPERGANGES,19970512,80,81,80,80.5,1400,0
UPERGANGES,19970513,80.95,83.95,80.2,83.05,2600,0
UPERGANGES,19970514,76,80,76,80,25600,0
UPERGANGES,19970515,78.9,81,78.9,81,2100,0
UPERGANGES,19970516,81,83,81,83,400,0
UPERGANGES,19970519,83,84.5,83,83.75,200,0
