SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
USHABEL,20001011,56.85,59.8,51,52.8,37244,0
USHABEL,20001012,51.9,54.8,50.5,53.95,43820,0
USHABEL,20001013,53,53,51.25,51.65,20615,0
USHABEL,20001016,55.5,55.8,52.05,52.7,31517,0
USHABEL,20001017,52.25,53.4,51.25,51.95,14619,0
USHABEL,20001018,52,52.5,50.45,51.05,14914,0
USHABEL,20001019,51.5,52.5,48.25,52.35,20273,0
USHABEL,20001020,52.05,53,46.5,47.6,31497,0
USHABEL,20001023,48,48,41.1,42.85,25031,0
USHABEL,20001024,42.5,46.3,41.35,43.95,32532,0
USHABEL,20001025,45.95,46.95,44,45.05,19094,0
USHABEL,20001026,45.45,46.2,44.2,45.6,4325,0
USHABEL,20001027,46,47,45.15,46.2,7270,0
USHABEL,20001030,46.2,46.95,45,46.2,7873,0
USHABEL,20001031,45.95,48,45.05,46.15,12181,0
USHABEL,20001101,49,53,48.25,52.35,25958,0
USHABEL,20001102,53,58.85,53,58.5,52117,0
USHABEL,20001103,62.5,64.3,59,60.35,280266,0
USHABEL,20001106,61.2,62.7,58.05,58.25,75081,0
USHABEL,20001107,56.55,59.5,56.55,58.85,33945,0
USHABEL,20001108,63.6,63.6,58.6,61.2,110034,0
USHABEL,20001109,59.2,60.45,58.1,59.1,87580,0
USHABEL,20001110,58.6,59.9,56.3,56.75,84673,0
USHABEL,20001113,56.1,56.1,52.35,52.75,61029,0
USHABEL,20001114,54,55.9,52.1,55.1,15916,0
USHABEL,20001115,58.9,58.9,55.5,56.35,19547,0
USHABEL,20001116,56,57.85,55.1,55.45,6158,0
USHABEL,20001117,52,56.6,52,56.1,9061,0
USHABEL,20001120,57,58,56.55,57.2,8365,0
USHABEL,20001121,57.3,58.45,55,57.25,15453,0
USHABEL,20001122,58.5,58.5,55.3,55.95,10963,0
USHABEL,20001123,55.5,55.5,53,53.05,13837,0
USHABEL,20001124,53.5,54.8,53,53.9,15575,0
USHABEL,20001127,55,55,53.9,54.7,12136,0
USHABEL,20001128,53.1,56.4,53.1,54.4,15696,0
USHABEL,20001129,54.7,55.8,54.7,55.2,13036,0
USHABEL,20001130,57,57,54.75,55.05,53888,0
USHABEL,20001201,55,59.45,54.5,58.15,184250,0
USHABEL,20001204,57.9,67.45,57.9,65.05,186372,0
USHABEL,20001205,66.9,68,62.5,64.2,66567,0
USHABEL,20001206,66.4,67,64,64.35,113050,0
USHABEL,20001207,62.15,64.75,61,61.4,89192,0
USHABEL,20001208,61.2,64,60.05,60.7,98323,0
USHABEL,20001211,60.5,62.5,60,61.4,69319,0
USHABEL,20001212,62.8,67.4,60.5,64.9,584786,0
USHABEL,20001213,66.75,68,65,65.55,61398,0
USHABEL,20001214,65.5,67.25,64,64.6,27738,0
USHABEL,20001215,63.5,63.5,60,60.45,35059,0
USHABEL,20001218,57.1,60.75,57.1,60.1,21074,0
USHABEL,20001219,60.9,61,57,58.25,195029,0
USHABEL,20001220,59,59.5,58,59.25,28622,0
USHABEL,20001221,56.5,57.8,56,57.1,35041,0
USHABEL,20001222,57.5,58.8,52.7,53.55,13807,0
USHABEL,20001226,55.95,56,51.65,52.1,22931,0
USHABEL,20001227,54.8,55.9,52.15,53.65,15430,0
USHABEL,20001228,54.7,56.25,54.5,55.25,18364,0
USHABEL,20001229,56.1,56.1,52,55.1,12636,0
USHABEL,20010101,55.55,56.95,53.4,55.95,13082,0
USHABEL,20010102,55.4,59.9,55.4,59.15,23275,0
USHABEL,20010103,62.9,62.9,56.75,57.95,53896,0
USHABEL,20010104,60.8,62.6,58.25,60.65,58588,0
USHABEL,20010105,60.95,61.85,60.5,60.7,11550,0
USHABEL,20010108,61.95,61.95,55.85,57.05,23749,0
USHABEL,20010109,57.9,57.9,55,55.95,20014,0
USHABEL,20010110,56.05,57.7,55.85,56.7,11721,0
USHABEL,20010111,57.7,57.8,55,55.6,9347,0
USHABEL,20010112,56,57.15,54.15,54.4,11504,0
USHABEL,20010115,55.25,55.4,53,55.15,14469,0
USHABEL,20010116,55.5,55.9,52.5,53.15,17512,0
USHABEL,20010117,54.5,55.65,54,54.8,9456,0
USHABEL,20010118,54,55.6,53.5,54.05,20874,0
USHABEL,20010119,54.8,56,53.6,55.7,30855,0
USHABEL,20010122,57.4,59.95,55.1,55.5,16918,0
USHABEL,20010123,55,55.5,53.25,54.05,18244,0
USHABEL,20010124,55.9,55.9,54.05,54.4,25790,0
USHABEL,20010125,53.75,53.75,50.1,51,37663,0
USHABEL,20010129,50,50.75,46.1,50.4,17443,0
USHABEL,20010130,49.1,50.7,48.5,49.15,14224,0
USHABEL,20010131,49.9,51.5,48.1,49,83246,0
USHABEL,20010201,49,49.6,46,46.6,23750,0
USHABEL,20010202,46.9,48.1,46.1,46.7,28365,0
USHABEL,20010205,46.95,46.95,45,46,14468,0
USHABEL,20010206,46,46.4,45.5,45.65,30896,0
USHABEL,20010207,46.5,50.9,46.45,48.85,44825,0
USHABEL,20010208,50,52,48,49.15,17300,0
USHABEL,20010209,48.25,57.05,48.25,57.05,191029,0
USHABEL,20010212,60,60.5,56,57.5,63785,0
USHABEL,20010213,58.85,59,54.1,54.35,44665,0
USHABEL,20010214,53,55,53,53.95,21024,0
USHABEL,20010215,51.1,53.95,49.65,52.8,44214,0
USHABEL,20010216,53.7,53.7,51,51.3,26063,0
USHABEL,20010219,52,52,49.3,49.8,13663,0
USHABEL,20010220,50.85,50.9,47,48.05,40125,0
