SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
UTINIFTETF,20150903,781.25,786.9,773,784.5,331,0
UTINIFTETF,20150904,779.65,779.65,765,768.3,187,0
UTINIFTETF,20150907,768,783.75,759.2,760.16,1667,0
UTINIFTETF,20150908,760,773,757,766.54,94,0
UTINIFTETF,20150909,777.2,783.35,777.2,778.93,133,0
UTINIFTETF,20150910,768.4,779,768.3,778.4,35,0
UTINIFTETF,20150911,786.65,786.7,776,777.15,97,0
UTINIFTETF,20150914,780,785.8,779.7,785.8,170,0
UTINIFTETF,20150915,781.6,788.3,780,780.96,108,0
UTINIFTETF,20150916,780,790,780,789.2,358,0
UTINIFTETF,20150918,793.25,804,793.25,799.76,745,0
UTINIFTETF,20150921,791.2,800,791.2,799.28,203,0
UTINIFTETF,20150922,796.8,800,782,783.57,158,0
UTINIFTETF,20150923,776,788,776,783.17,305,0
UTINIFTETF,20150924,782,791,782,786.59,96,0
UTINIFTETF,20150928,790,791.5,782.8,782.8,1708,0
UTINIFTETF,20150929,776.2,791,772.75,780.73,1562,0
UTINIFTETF,20150930,786.8,792.6,786.8,792.52,217,0
UTINIFTETF,20151001,796,797.1,792.8,794.99,658,0
UTINIFTETF,20151005,800,809.5,800,809.19,1060,0
UTINIFTETF,20151006,810.5,815.8,807.5,811.65,1392,0
UTINIFTETF,20151007,810.5,817,810.5,814.79,1896,0
UTINIFTETF,20151008,811.9,813.65,809.55,813.37,104,0
UTINIFTETF,20151009,817.48,820.2,812.8,817.55,379,367
UTINIFTETF,20151012,822,822,813.9,813.93,14,0
UTINIFTETF,20151013,811.43,811.92,808.95,811.92,50,50
UTINIFTETF,20151014,807.85,809.35,807.05,809.35,24,24
UTINIFTETF,20151015,811.5,814.83,811.5,813.3,132,122
UTINIFTETF,20151016,813.2,821.05,812.7,819.83,2689,0
UTINIFTETF,20151019,822,825.89,821.45,824.1,630,0
UTINIFTETF,20151020,825.5,826,820,825.7,1068,0
UTINIFTETF,20151021,789,830.25,789,822,93,0
UTINIFTETF,20151023,832,832,826.5,826.7,32,0
UTINIFTETF,20151026,828,828.85,824.1,824.1,72,0
UTINIFTETF,20151027,820.3,826.9,820.3,822.15,212,0
UTINIFTETF,20151028,816.8,819,815,815.18,46,0
UTINIFTETF,20151029,817.8,817.8,814,814,15,0
UTINIFTETF,20151030,811.1,815,806.65,808.15,49,0
UTINIFTETF,20151103,808.05,808.85,802,808.85,80,0
UTINIFTETF,20151104,811.15,811.15,808,808,2,0
UTINIFTETF,20151105,803.6,803.6,799.45,799.59,2030,0
UTINIFTETF,20151106,800.2,800.2,794.6,797.45,139,0
UTINIFTETF,20151109,789.9,790,786,790,1051,0
UTINIFTETF,20151110,789.7,789.7,781.2,782.35,81,0
UTINIFTETF,20151111,771,771,771,771,6,0
UTINIFTETF,20151113,779.7,780.9,779.7,780.1,80,0
UTINIFTETF,20151116,783,783,783,783,3,0
UTINIFTETF,20151117,784.6,784.6,781.85,781.85,19,0
UTINIFTETF,20151118,786.2,786.2,776,776,1092,0
UTINIFTETF,20151119,860,875,778,784.47,1103,0
UTINIFTETF,20151120,788,791,784.15,791,17,0
UTINIFTETF,20151123,788,789.45,784,784,21,0
UTINIFTETF,20151126,788.2,788.2,788.2,788.2,6,0
UTINIFTETF,20151127,793.75,793.75,790.35,790.9,50,0
UTINIFTETF,20151130,795.7,798.9,795.7,798.9,14,0
UTINIFTETF,20151201,795.1,798.8,795.1,798.8,75,0
UTINIFTETF,20151202,795.15,795.85,795.15,795.85,6,0
UTINIFTETF,20151203,793.15,793.15,793.15,793.15,5,0
UTINIFTETF,20151204,780.8,782.35,780,782,73,0
UTINIFTETF,20151207,783.15,783.15,783,783,6,0
UTINIFTETF,20151208,781.15,782.2,774.25,774.76,32,0
UTINIFTETF,20151209,773.4,773.4,765,765,24,0
UTINIFTETF,20151210,767.55,767.55,767.55,767.55,6,0
UTINIFTETF,20151211,771.15,771.15,762.2,765.03,42,0
