SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
VAIBHAVGEM,20040406,52,52.5,42.1,52.5,3,0
VAIBHAVGEM,20040407,42.6,52.5,42.6,52.5,50,0
VAIBHAVGEM,20040415,45,51.75,45,51.5,220,0
VAIBHAVGEM,20040419,45,45,45,45,10,0
VAIBHAVGEM,20040421,48,48,48,48,50,0
VAIBHAVGEM,20040422,49,49,49,49,88,0
VAIBHAVGEM,20040430,56.95,56.95,45.55,56.9,300,0
VAIBHAVGEM,20040503,50,50,50,50,20,0
VAIBHAVGEM,20040504,59.7,59.7,50.5,55.3,204,0
VAIBHAVGEM,20040505,55.3,57,46.5,48,501,0
VAIBHAVGEM,20040506,50,53.9,49.75,50.5,860,0
VAIBHAVGEM,20040510,41.8,51.9,41.8,51.9,400,0
VAIBHAVGEM,20040512,42.5,42.5,42.5,42.5,1,0
VAIBHAVGEM,20040513,43,50.9,43,50.85,15,0
VAIBHAVGEM,20040514,44.05,44.05,44.05,44.05,100,0
VAIBHAVGEM,20040524,46.95,46.95,46.95,46.95,50,0
VAIBHAVGEM,20040528,39.1,39.1,39.1,39.1,1,0
VAIBHAVGEM,20040604,32,46,32,38,276,0
VAIBHAVGEM,20040607,38.1,38.15,32.45,35.35,152,126
VAIBHAVGEM,20040611,35.1,35.1,35,35,196,196
VAIBHAVGEM,20040623,28.65,28.65,28.65,28.65,1000,1000
VAIBHAVGEM,20040628,33.4,33.4,31.7,31.7,338,338
VAIBHAVGEM,20040701,34,37,34,36,725,0
VAIBHAVGEM,20040705,33.8,35.5,33.8,35,625,0
VAIBHAVGEM,20040706,34.8,36.5,33.5,34.65,425,0
VAIBHAVGEM,20040707,39,39,39,39,20,0
VAIBHAVGEM,20040709,34,34,34,34,100,0
VAIBHAVGEM,20040712,38.1,40,38.1,39.15,60,0
VAIBHAVGEM,20040714,33.15,33.15,33.1,33.1,200,0
VAIBHAVGEM,20040716,36.9,36.9,36.9,36.9,100,0
VAIBHAVGEM,20040720,36,36,35,35,800,0
VAIBHAVGEM,20040721,36.5,36.5,35.05,35.1,400,0
VAIBHAVGEM,20040722,35.15,36.7,35.1,35.65,300,0
VAIBHAVGEM,20040723,36,36,35,35,300,0
VAIBHAVGEM,20040726,36.7,36.8,36.7,36.75,4,0
VAIBHAVGEM,20040727,35.05,35.05,35.05,35.05,500,0
VAIBHAVGEM,20040728,35.05,35.05,35.05,35.05,101,0
VAIBHAVGEM,20040804,34.5,34.5,34.5,34.5,200,0
VAIBHAVGEM,20040806,34,36,34,36,50,0
VAIBHAVGEM,20040809,35,35,33,34.9,10797,0
VAIBHAVGEM,20040810,34.65,36.15,34.65,36,5501,0
VAIBHAVGEM,20040811,35.05,35.05,35.05,35.05,199,0
VAIBHAVGEM,20040812,35.1,35.1,34,34,725,0
VAIBHAVGEM,20040816,34,34,34,34,100,0
VAIBHAVGEM,20040818,33.4,33.4,33.15,33.2,200,0
VAIBHAVGEM,20040820,34.9,34.9,34.9,34.9,500,0
VAIBHAVGEM,20040823,36.5,36.5,34.45,35,152,0
VAIBHAVGEM,20040824,33.85,35,33.85,35,502,0
VAIBHAVGEM,20040825,33.75,35.45,33.75,35.25,528,0
VAIBHAVGEM,20040826,34.5,34.5,34.3,34.45,710,0
VAIBHAVGEM,20040827,35,36.2,34.8,36.1,1403,0
VAIBHAVGEM,20040830,36.15,37.95,36.1,37.95,2450,0
VAIBHAVGEM,20040831,39.8,39.8,37.8,38.7,9725,0
VAIBHAVGEM,20040901,39,40.65,39,39.7,4429,0
VAIBHAVGEM,20040902,41.2,41.2,39.75,39.75,2050,0
VAIBHAVGEM,20040903,40.65,40.65,39,39,1327,0
VAIBHAVGEM,20040906,39,40.4,39,39.7,975,0
VAIBHAVGEM,20040907,40.35,41.7,40.35,41.7,9325,0
VAIBHAVGEM,20040908,43.55,43.55,42.4,43.05,10733,0
VAIBHAVGEM,20040909,45,45,41.55,42.05,7480,5120
VAIBHAVGEM,20040910,43.45,43.45,40.65,42,6155,5065
VAIBHAVGEM,20040913,43.8,43.8,41.85,42.1,1925,1875
VAIBHAVGEM,20040914,42.8,42.8,42.8,42.8,100,100
VAIBHAVGEM,20040915,41.55,47.1,41.55,47.1,134190,44458
VAIBHAVGEM,20040916,48.5,49.8,47.25,47.65,120586,46741
VAIBHAVGEM,20040917,49,49.5,46.15,46.95,19935,12789
VAIBHAVGEM,20040920,49,49,45.1,45.35,3791,0
VAIBHAVGEM,20040921,43,44,42.2,43.25,2621,1641
VAIBHAVGEM,20040922,44.45,44.45,42.5,43,2292,2131
VAIBHAVGEM,20040923,44.5,44.5,42.1,43.15,4822,0
VAIBHAVGEM,20040924,43,43.45,42.8,43.1,1454,0
VAIBHAVGEM,20040927,46,46,42,42.9,1602,0
VAIBHAVGEM,20040928,46,46,43.25,44.3,18149,0
VAIBHAVGEM,20040929,46,46,43.5,44,4823,4206
VAIBHAVGEM,20040930,48.25,48.4,43.6,44.15,1904,1710
VAIBHAVGEM,20041001,44.9,44.9,42.9,43.7,3952,0
VAIBHAVGEM,20041004,48,48,43,43.25,8129,6476
VAIBHAVGEM,20041005,45.5,45.5,42.55,43.2,4659,0
VAIBHAVGEM,20041006,45.4,45.4,42.15,42.5,8379,0
VAIBHAVGEM,20041007,46.7,46.7,42.25,42.45,2982,1849
VAIBHAVGEM,20041008,46.2,46.2,43,43.15,2634,0
VAIBHAVGEM,20041009,46.5,46.5,43.6,43.95,4072,0
VAIBHAVGEM,20041011,45,48.5,42,45.1,34190,12781
VAIBHAVGEM,20041012,46,49,43,43.75,5883,0
VAIBHAVGEM,20041014,47.5,47.5,43.05,43.8,993,834
VAIBHAVGEM,20041015,48,48,42.75,43,2483,1940
VAIBHAVGEM,20041018,46.5,46.5,42.75,43,3412,0
VAIBHAVGEM,20041019,48,48,42.95,43.65,4073,0
VAIBHAVGEM,20041020,48,48,41,43.75,4687,1848
VAIBHAVGEM,20041021,45,46.4,43,43.45,4278,0
VAIBHAVGEM,20041025,43.3,43.95,41.5,41.9,2452,2243
VAIBHAVGEM,20041026,43.75,45,42.4,43.05,3369,0
VAIBHAVGEM,20041027,46,46.5,43.5,44.7,4680,1997
VAIBHAVGEM,20041028,53.5,53.5,45,45.65,4425,3730
VAIBHAVGEM,20041029,46.45,47.4,45.5,45.9,4009,0
VAIBHAVGEM,20041101,47.5,48.55,45.25,47.5,11078,0
VAIBHAVGEM,20041102,48.4,52,48.4,49.4,29125,0
VAIBHAVGEM,20041103,53,53,48.55,49.65,8872,5695
VAIBHAVGEM,20041104,48.7,54.4,48.2,52.9,24912,22101
VAIBHAVGEM,20041105,54,54.7,49.55,51.35,22366,12755
