SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
VARDHACRLC,20030930,12,12,10.25,11.1,1256253,810438
VARDHACRLC,20031001,11.25,11.45,10.4,10.6,789369,633122
VARDHACRLC,20031003,10.75,10.75,10.15,10.6,572512,434251
VARDHACRLC,20031006,10.6,10.7,10.5,10.6,390591,320215
VARDHACRLC,20031007,10.55,10.65,10.5,10.55,311670,257170
VARDHACRLC,20031008,10.6,10.65,10.5,10.6,275468,211900
VARDHACRLC,20031009,10.55,10.65,10.5,10.55,387134,312434
VARDHACRLC,20031010,10.7,10.8,10.4,10.55,642475,548630
VARDHACRLC,20031013,10.45,10.45,10.15,10.3,558796,550375
VARDHACRLC,20031014,10.5,10.5,9.65,9.75,1613402,1600149
VARDHACRLC,20031015,9.65,9.9,9.6,9.6,102873,95373
VARDHACRLC,20031016,9.6,9.75,9.5,9.55,161135,153933
VARDHACRLC,20031017,9.5,10.05,9.5,9.65,80270,71356
VARDHACRLC,20031020,9.5,9.65,9.5,9.55,83523,77422
VARDHACRLC,20031021,9.55,9.65,9.55,9.55,36826,35826
VARDHACRLC,20031022,10.5,10.5,9.5,9.55,348660,337310
VARDHACRLC,20031023,9.45,9.7,9.45,9.55,55424,54924
VARDHACRLC,20031024,9.65,9.7,9.6,9.6,41350,37950
VARDHACRLC,20031025,9.9,9.9,9.6,9.8,23275,0
VARDHACRLC,20031027,9.6,9.9,9.6,9.75,22750,40425
VARDHACRLC,20031028,9.6,9.7,9.6,9.6,41854,40952
VARDHACRLC,20031029,9.7,9.7,9.4,9.6,56241,0
VARDHACRLC,20031030,9.6,9.65,9.6,9.6,52774,52274
VARDHACRLC,20031031,9.5,9.7,9.5,9.6,41602,0
VARDHACRLC,20031103,9.6,9.6,9.3,9.35,92750,0
VARDHACRLC,20031104,9.25,9.6,9.25,9.4,98223,0
VARDHACRLC,20031105,9.4,9.55,9.4,9.4,50068,0
VARDHACRLC,20031106,9.55,9.7,9.3,9.4,27923,24623
VARDHACRLC,20031107,9.6,9.6,9.4,9.4,40610,40610
VARDHACRLC,20031110,7.8,9.45,7.8,9.4,36002,0
VARDHACRLC,20031111,9.35,9.45,9.35,9.4,90489,0
VARDHACRLC,20031112,9.25,9.45,9.25,9.4,49500,48100
VARDHACRLC,20031113,9.4,9.55,9.4,9.45,61146,0
VARDHACRLC,20031114,9.7,9.7,9.25,9.25,45451,0
VARDHACRLC,20031115,9.2,9.5,9.2,9.4,3704,0
VARDHACRLC,20031117,9.5,9.5,9.2,9.35,36001,0
VARDHACRLC,20031118,9.4,9.6,9.25,9.45,73900,0
VARDHACRLC,20031119,9.6,11.35,9.3,10.6,536313,0
VARDHACRLC,20031120,11.1,11.6,10,10.05,356357,0
VARDHACRLC,20031121,10.25,10.25,9.8,10.05,56432,0
VARDHACRLC,20031124,10,10.3,9.8,10.1,81946,0
VARDHACRLC,20031125,10.3,10.35,10.05,10.25,156240,0
VARDHACRLC,20031127,10.1,10.5,10.05,10.05,82856,0
VARDHACRLC,20031128,10.1,10.2,9.9,10,56025,0
VARDHACRLC,20031201,10.95,10.95,9.9,10.15,131677,0
VARDHACRLC,20031202,10.15,10.2,10,10.1,84800,0
VARDHACRLC,20031203,10.1,10.2,9.95,10.1,93412,0
VARDHACRLC,20031205,10.1,10.25,9.9,10,121350,0
VARDHACRLC,20031208,10.2,10.2,9.9,9.95,46950,0
VARDHACRLC,20031209,10,11.95,9.95,10.8,540765,0
VARDHACRLC,20031210,10.7,11,10.2,10.35,176040,0
VARDHACRLC,20031211,10.3,10.5,10.1,10.2,77051,0
VARDHACRLC,20031212,10.3,10.85,10.1,10.2,187217,0
VARDHACRLC,20031215,10.45,10.45,10.25,10.35,81778,0
VARDHACRLC,20031216,10.45,10.5,10.05,10.15,66567,0
VARDHACRLC,20031217,10.1,10.4,10,10.05,88323,0
VARDHACRLC,20031218,10.4,10.5,10.15,10.3,147910,0
VARDHACRLC,20031219,10.15,10.5,10.1,10.15,70075,0
VARDHACRLC,20031222,10.25,10.45,10.25,10.4,182800,0
VARDHACRLC,20031223,11.6,11.6,10.1,10.2,56714,0
VARDHACRLC,20031224,10.25,10.3,9.95,10.05,75826,0
VARDHACRLC,20031226,10.2,10.3,10,10.2,129549,0
VARDHACRLC,20031229,10.1,10.3,10.1,10.3,133905,0
VARDHACRLC,20031230,10.4,11.4,10.1,10.5,766052,0
VARDHACRLC,20031231,10.7,10.75,10.3,10.6,647615,0
