SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
VARDMNPOLY,19950103,87.5,87.5,87.5,87.5,100,0
VARDMNPOLY,19950110,83,83,83,83,100,0
VARDMNPOLY,19950111,75,75,75,75,500,0
VARDMNPOLY,19950117,75,75,75,75,100,0
VARDMNPOLY,19950118,75,75,75,75,100,0
VARDMNPOLY,19950203,75,75,75,75,1300,0
VARDMNPOLY,19950206,75,75,75,75,700,0
VARDMNPOLY,19950207,75,75,75,75,100,0
VARDMNPOLY,19950209,72,72.5,72,72,900,0
VARDMNPOLY,19950210,72.5,72.5,72.5,72.5,100,0
VARDMNPOLY,19950213,72,72,72,72,200,0
VARDMNPOLY,19950214,72,72,72,72,100,0
VARDMNPOLY,19950215,71,71,71,71,100,0
VARDMNPOLY,19950221,67,67,67,67,200,0
VARDMNPOLY,19950222,68.5,68.5,68.5,68.5,100,0
VARDMNPOLY,19950223,70,70,70,70,500,0
VARDMNPOLY,19950306,70,72,70,72,3100,0
VARDMNPOLY,19950307,72,72,72,72,400,0
VARDMNPOLY,19950309,71.1,71.1,71.1,71.1,200,0
VARDMNPOLY,19950310,71.1,72,71,72,300,0
VARDMNPOLY,19950906,47,47,47,47,400,0
VARDMNPOLY,19951005,47,47,47,47,100,0
VARDMNPOLY,19951010,47.5,47.5,47.5,47.5,200,0
VARDMNPOLY,19951011,47.5,47.5,47.5,47.5,100,0
VARDMNPOLY,19951012,47.5,47.5,47.5,47.5,100,0
VARDMNPOLY,19951019,47,47,47,47,100,0
VARDMNPOLY,19951031,43,43,43,43,100,0
VARDMNPOLY,19951106,43,43,43,43,300,0
VARDMNPOLY,19951107,47,47,46.95,46.95,300,0
VARDMNPOLY,19951109,45,46,45,46,400,0
VARDMNPOLY,19951110,44,45,44,45,300,0
VARDMNPOLY,19951113,45,45,45,45,100,0
VARDMNPOLY,19951114,45,45,45,45,100,0
VARDMNPOLY,19951219,45,45,45,45,100,0
VARDMNPOLY,19951222,41,41,41,41,100,0
VARDMNPOLY,19951227,37.05,37.05,37.05,37.05,100,0
