SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
VASCONEQ,20100215,156,171.95,145.1,148.05,9470462,1386361
VASCONEQ,20100216,148.7,156.9,139.1,144.7,5804039,539980
VASCONEQ,20100217,148,149,141.75,143.6,770181,135256
VASCONEQ,20100218,143.05,146.6,141.6,142.45,336902,91072
VASCONEQ,20100219,142.5,142.5,130.35,132.25,290900,71923
VASCONEQ,20100222,134,136.4,124.55,125.8,244408,74676
VASCONEQ,20100223,126,134.5,120.25,126,664218,92973
VASCONEQ,20100224,124,128.75,121.85,123.75,342186,120600
VASCONEQ,20100225,124.15,129.75,124,125.7,385501,190923
VASCONEQ,20100226,126.45,126.45,121.15,121.95,112712,26543
VASCONEQ,20100302,123.5,125,120.9,121.85,66496,20198
VASCONEQ,20100303,122.95,133.3,121.6,127.4,416929,124948
VASCONEQ,20100304,128,135.95,127.15,133.7,307738,59503
VASCONEQ,20100305,135,135,127.6,128.2,152397,51733
VASCONEQ,20100308,129.9,132,127.7,128.3,87821,32246
VASCONEQ,20100309,129.4,142.05,126,139.15,667240,122645
VASCONEQ,20100310,139,148,138,141.45,566664,86251
VASCONEQ,20100311,140.5,141.95,136.1,137.5,147642,65468
VASCONEQ,20100312,137.95,143.5,136.25,138.6,192482,76877
VASCONEQ,20100315,138.15,142.05,136.4,140.5,138004,39098
VASCONEQ,20100316,140.8,143.95,140.05,141.4,105529,71212
VASCONEQ,20100317,143,143.75,141.45,142.45,158004,134906
VASCONEQ,20100318,140.5,144,137.55,141.65,115709,59814
VASCONEQ,20100319,142.95,147.15,140.2,142.3,299651,207156
VASCONEQ,20100322,140,145.75,136.7,139,205387,102532
VASCONEQ,20100323,143,145,139.5,140.75,116921,78889
VASCONEQ,20100325,139.5,144.75,139.5,141.1,165204,93436
VASCONEQ,20100326,141.1,154.25,141.1,147.8,991148,153942
VASCONEQ,20100329,149,155,143.1,150,399773,94403
VASCONEQ,20100330,150.45,156.1,148.75,151.6,189473,52682
VASCONEQ,20100331,153.7,156.7,151.3,154.9,111649,0
VASCONEQ,20100401,155.9,159.4,153.25,157.3,125034,0
VASCONEQ,20100405,158.95,161,156.25,159.55,65780,25397
VASCONEQ,20100406,160.9,162,150,158.55,255461,0
VASCONEQ,20100407,158.5,158.75,154.25,156.95,101498,93234
VASCONEQ,20100408,156,157.75,151.2,153.65,27311,14548
VASCONEQ,20100409,153.9,160.5,153,156.8,33706,0
VASCONEQ,20100412,159.9,160,151.15,152.4,29220,0
VASCONEQ,20100413,153.45,155.95,150.3,154.4,10919,4942
VASCONEQ,20100415,155.95,163.15,154.1,160,134817,41267
VASCONEQ,20100416,161.1,162.7,156.05,157.65,15805,0
VASCONEQ,20100419,155.5,158,153.5,154.05,14281,0
VASCONEQ,20100420,154.9,158,154.6,155.6,6038,1877
VASCONEQ,20100421,158,158,154,155.4,5954,3280
VASCONEQ,20100422,155.9,156.75,151.5,152.15,6024,3567
VASCONEQ,20100423,154,156.3,152,155.2,7957,6542
