SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
VERANDA,20220411,125,131.25,125,131.25,3043170,0
VERANDA,20220412,137.8,137.8,137.8,137.8,10595,0
VERANDA,20220413,144.65,144.65,144.65,144.65,11223,0
VERANDA,20220418,151.85,151.85,151.85,151.85,38925,0
VERANDA,20220419,159.4,159.4,159.4,159.4,17060,0
VERANDA,20220420,166,167.35,161.5,167.35,148163,0
VERANDA,20220421,175.7,175.7,174.8,175.7,45288,0
VERANDA,20220422,184.45,184.45,184.45,184.45,10275,0
VERANDA,20220425,193.65,193.65,193.65,193.65,11660,0
VERANDA,20220426,203.3,203.3,203.3,203.3,6751,0
VERANDA,20220427,223.6,223.6,223.6,223.6,5656,0
VERANDA,20220428,245.95,245.95,230,245.95,775206,0
VERANDA,20220429,270.5,270.5,245.95,270.5,275639,0
VERANDA,20220502,284,284,284,284,12408,0
VERANDA,20220504,298.2,298.2,269.8,269.8,868764,0
VERANDA,20220505,256.35,283.25,256.35,266.1,1692937,0
VERANDA,20220506,257.1,260.8,252.8,253.25,240119,0
VERANDA,20220509,241.55,247.8,240.6,240.6,733192,0
VERANDA,20220510,234,238.4,228.6,228.6,76248,0
VERANDA,20220511,220,232.3,217.2,217.2,345673,0
VERANDA,20220512,206.35,206.35,206.35,206.35,47386,0
VERANDA,20220513,197,216.65,196.05,207.35,978707,0
VERANDA,20220516,206.25,217.7,198,199.5,312555,0
VERANDA,20220517,199.95,209.45,189.55,209.45,281705,0
VERANDA,20220518,217.8,219.9,209,211.3,352110,0
VERANDA,20220519,201,208.45,200.75,200.75,247351,0
