SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
VHL,20060418,441.05,485,441.05,479.3,43,32
VHL,20060419,475,480,475,475,287,287
VHL,20060420,480,493,480,491,172,172
VHL,20060421,490,495,490,490,446,446
VHL,20060424,490,495,490,491.85,411,0
VHL,20060425,475,500,475,483.3,1181,900
VHL,20060426,495,495.05,495,495.05,348,348
VHL,20060427,470,482,470,482,68,0
VHL,20060428,485.05,486.05,485.05,486.05,60,60
VHL,20060429,495,568,495,501,47,0
VHL,20060502,477,491,477,491,31,28
VHL,20060503,501,501,495,496.75,64,56
VHL,20060504,476,495,476,480.2,40,20
VHL,20060505,489,490,480,485,551,530
VHL,20060508,500,500,465,483.2,182,173
VHL,20060509,456,499,456,481.4,217,197
VHL,20060510,480,500,480,499.1,223,0
VHL,20060511,500,510,490.25,496.7,388,343
VHL,20060512,505,509,496,500,202,169
VHL,20060515,500,512,490,503.7,372,361
VHL,20060516,479,503,476,476,396,0
VHL,20060517,505,505,501.95,502,107,107
VHL,20060518,570,600,520,526.8,797,580
VHL,20060519,550,565,466,482.85,209,165
VHL,20060522,490,490,455,455,225,225
VHL,20060523,475,499,450,490,291,291
VHL,20060524,499,534,499,534,61,60
VHL,20060525,490.2,490.2,490,490,170,150
VHL,20060526,491,491,491,491,10,10
VHL,20060529,490,498,490,498,1061,1061
VHL,20060530,475,529,475,490.4,87,67
VHL,20060531,490,490,490,490,110,110
VHL,20060601,490,490,490,490,273,273
VHL,20060602,456,515,456,490,1425,1425
VHL,20060605,453.2,498.95,425.3,490,2220,1855
VHL,20060606,490,505,462,485.55,326,310
VHL,20060607,449.1,491,449.1,488.05,964,903
VHL,20060608,420,428.85,391,392.25,378,343
VHL,20060609,415,450,356,444,543,198
VHL,20060612,480,480,400.1,438.4,131,111
VHL,20060613,395,395,395,395,15,15
VHL,20060614,365,399,357,395.8,73,58
VHL,20060615,410,410,378,399.25,35,20
VHL,20060616,410,410,410,410,4,4
VHL,20060619,425,425,425,425,2,2
VHL,20060620,393.1,420,393.1,419.95,16,10
VHL,20060621,397,439,397,439,55,53
VHL,20060622,444.95,444.95,406.1,408.05,50,50
VHL,20060623,405,405,399.9,400,180,0
VHL,20060625,370,376,370,376,4,2
VHL,20060627,410.95,410.95,373,410.95,10,0
VHL,20060628,439,439,383,383,30,0
VHL,20060629,384.1,414,384,394.05,30,0
VHL,20060703,376,376,376,376,18,0
VHL,20060704,371,408.85,371,408.85,13,0
VHL,20060705,410.95,411,403,403,15,0
VHL,20060706,387,413,373.5,413,52,0
VHL,20060707,380,425,377,407.1,230,0
VHL,20060711,398,398,377,384.7,27,0
VHL,20060712,396.75,397.65,396.75,397.15,49,0
VHL,20060713,398,405,372.05,403.45,75,0
VHL,20060717,375.35,375.35,375.35,375.35,20,0
VHL,20060718,360,400,360,380,116,43
VHL,20060719,355,399,355,371.25,39,0
VHL,20060720,370,370,353,362.8,42,0
VHL,20060724,355,385,355,355,79,29
VHL,20060725,365,370,365,366.4,213,213
VHL,20060726,384.95,384.95,384.95,384.95,10,0
VHL,20060727,389.6,389.6,389.6,389.6,1,1
VHL,20060728,360,360,360,360,25,0
VHL,20060801,352,383.85,352,383.85,11,0
VHL,20060804,347,399,347,392.3,2293,0
VHL,20060807,377.05,404.5,377.05,404.5,30,0
VHL,20060808,373.05,410,373,406.45,438,0
VHL,20060809,399,419.85,399,416.45,187,187
VHL,20060810,397.35,413.7,397.35,413.7,26,25
VHL,20060811,398.5,424.85,398.5,424.85,53,53
VHL,20060814,405.1,443,404,422.8,667,647
VHL,20060816,410,410,410,410,163,0
VHL,20060817,422.75,422.75,390,419.5,128,0
VHL,20060821,410,410,398.95,399,27,25
VHL,20060822,390.6,415,390.6,413.55,510,500
VHL,20060823,395.5,415,395.45,414.75,517,510
VHL,20060824,395.25,415.85,395.2,395.35,96,94
VHL,20060825,395.75,395.75,395.7,395.7,25,25
VHL,20060828,390,405,377,399.4,311,0
VHL,20060829,400,400,400,400,52,0
VHL,20060830,404,412.5,385,385.5,250,50
VHL,20060831,370.9,404,370.5,404,94,0
VHL,20060901,392,414.85,385.35,406,120,0
VHL,20060904,387.05,407.2,386.1,400,89,0
VHL,20060905,385.25,400.7,385.2,400.7,160,99
VHL,20060906,390,398,390,396.25,29,27
VHL,20060907,401,407.95,385.75,403,79,0
VHL,20060908,386,400,386,388.65,687,0
VHL,20060911,374,404.95,374,383.5,52,0
VHL,20060912,380,380,380,380,32,32
VHL,20060913,381,397.65,380,382.25,115,90
VHL,20060914,383.05,387,376.25,387,782,766
VHL,20060915,377.1,383,376.05,380.4,63,43
VHL,20060918,387,387,376.55,381.25,65,55
VHL,20060919,381,383,374.05,376.4,112,97
VHL,20060920,377,394.9,376,388.45,566,565
VHL,20060921,380.1,386.3,371,384.6,973,926
VHL,20060922,373.05,376,367,371.15,113,102
VHL,20060925,371,371,365.15,368,57,56
VHL,20060926,368,386.25,350,369.35,4229,0
VHL,20060927,355.5,375,355.5,373.9,393,303
VHL,20060928,362.05,391,362.05,387.1,1121,0
VHL,20060929,371.25,395,371.25,391.6,347,0
VHL,20061003,372.5,394.5,372.5,379.55,24,0
VHL,20061004,371,394.95,371,381.3,97,52
VHL,20061005,363.5,393,363.5,381.75,216,0
VHL,20061006,396.25,396.25,370,376.85,272,0
VHL,20061009,370.05,384.95,368,369,437,0
VHL,20061010,375,375,374,374,66,0
VHL,20061011,375,375,366,366.85,189,0
VHL,20061012,373,389.5,370.05,370.05,4126,4105
VHL,20061013,354.15,380,354.15,374,256,0
VHL,20061016,383.95,385,372.05,375.45,47,37
VHL,20061017,386.15,386.2,358.5,362,292,232
VHL,20061018,365.15,365.15,362,363,118,116
VHL,20061019,373.95,385,372.5,377.05,181,180
VHL,20061020,352.85,391,352.85,380,972,0
VHL,20061021,383.05,383.05,356.2,356.2,11,0
VHL,20061023,385,385,381.75,381.75,30,0
VHL,20061026,367.25,384.5,365,380.55,422,0
VHL,20061027,378.95,379,362.5,369.9,141,0
VHL,20061030,374,380,351.1,379.4,530,0
VHL,20061031,388,388,362,362,404,0
VHL,20061101,373,373,364.25,364.25,49,0
VHL,20061102,370,370,357,360.95,534,0
VHL,20061103,365,365,336.05,348.4,231,0
VHL,20061106,363,363,351.3,351.3,10,0
VHL,20061107,343,352,343,344.1,583,0
VHL,20061108,346,350,341.1,347.05,209,0
VHL,20061109,344.3,356.95,344.3,347,69,0
VHL,20061110,350.05,350.05,344.8,346.5,173,168
VHL,20061113,350,360.1,345,360.1,704,608
VHL,20061114,350,359.25,346.05,359.25,200,178
VHL,20061115,337,354,337,354,18,18
VHL,20061116,343.55,360,343.55,358,173,163
VHL,20061117,339.05,356.65,339.05,356.65,35,25
VHL,20061120,351,361.95,351,358.6,197,81
VHL,20061121,359,359,355.3,357.55,189,189
VHL,20061122,345.3,359.95,345.25,358.3,317,258
VHL,20061123,337.05,356.95,336.4,354.15,888,260
VHL,20061124,360,360,350.15,351.1,1031,0
VHL,20061127,335.05,373.5,335,350.15,510,0
VHL,20061128,345,357.65,345,349.5,90,0
VHL,20061129,341.05,353,341.05,353,161,0
VHL,20061130,338,363,337.05,358,181,0
VHL,20061201,341.5,359.7,341.3,355,172,0
VHL,20061204,358,364.5,351.05,359.35,191,0
VHL,20061205,360,379.4,360,363,289,0
VHL,20061206,360,383,353.5,367.35,447,0
VHL,20061207,365.1,365.1,365,365.1,85,0
VHL,20061208,345.7,371.95,345.7,363.8,160,0
VHL,20061211,364,364,350,350,84,0
VHL,20061212,350.1,378,340.25,346.25,426,0
VHL,20061213,337.05,354.25,336.7,342.35,592,0
VHL,20061214,360,360.05,360,360,184,181
VHL,20061215,357,370,350,367.05,1018,967
VHL,20061218,343.1,375,343.1,370.05,1152,1069
VHL,20061219,397,397,341,366.15,18727,18137
VHL,20061220,381,381,360.25,366.95,87,84
VHL,20061221,371.85,380,353.7,373.1,901,850
VHL,20061222,360.65,380,360.6,376.4,5104,993
VHL,20061226,355,375,355,360.05,2056,41
VHL,20061227,360.1,361.1,360.1,361.1,136,96
VHL,20061228,337.7,375.1,337.7,364.55,7785,7606
VHL,20061229,356.1,375.1,346.4,370.3,9037,8429
VHL,20070102,365,365,337,354.75,1072,0
VHL,20070103,355.55,355.55,355.55,355.55,10,0
VHL,20070104,361,367,356.3,359.5,1023,0
VHL,20070105,364.8,364.8,360.1,360.3,3281,0
VHL,20070108,360,364.75,358.25,362.35,76,0
VHL,20070109,360,360,355.55,355.75,281,0
VHL,20070110,356.5,360,356.5,356.5,178,0
VHL,20070111,356,360,344.15,353.8,521,466
VHL,20070112,350.65,352,350.6,351.05,50,50
VHL,20070115,355,365,352,359.55,304,68
VHL,20070116,359.95,365,351.3,362.85,279,234
VHL,20070117,348.05,367.4,348.05,357,77,57
VHL,20070118,351.7,364.8,351.7,364.8,48,48
VHL,20070119,364,365,355.7,359.15,534,382
VHL,20070122,359.15,359.15,355.15,355.15,24,22
VHL,20070124,353,353,353,353,50,50
VHL,20070125,360,370.2,360,370,397,0
VHL,20070129,360,372,360,370.6,244,215
VHL,20070131,356,370,356,370,76,76
VHL,20070201,350.05,355.25,350.05,355.25,102,77
VHL,20070205,352,362,352,361.45,110,106
VHL,20070206,374,374,354.1,359,26,16
VHL,20070207,356,363.95,356,356.1,151,144
VHL,20070208,356,357,333.1,349.1,451,330
VHL,20070209,350,351,347.2,347.2,108,103
VHL,20070212,335.65,349.95,331.55,332,277,248
VHL,20070213,331,331,323.55,323.55,110,105
VHL,20070215,316,316,316,316,30,30
VHL,20070219,310.55,325,310.55,325,24,12
VHL,20070220,339,339,330,334.65,15,7
VHL,20070222,322,322,321.05,321.05,100,50
VHL,20070226,343.9,343.9,325,325,49,49
VHL,20070227,317,317,316,316,50,50
VHL,20070228,324.8,324.9,313,316.2,342,313
VHL,20070301,310,329.95,308.05,315,212,111
VHL,20070302,313,313,313,313,4,4
VHL,20070305,305,330,300.6,301.5,347,242
VHL,20070306,297,297,295,295,164,164
VHL,20070307,266,300,266,283,99,91
VHL,20070308,270.5,300,270.5,300,56,55
VHL,20070309,291,291,280.5,290,186,160
VHL,20070312,290,290,290,290,40,40
VHL,20070313,290,295,285,289.7,70,70
VHL,20070314,286,294,286,294,119,80
VHL,20070316,282.05,289,282.05,289,57,57
VHL,20070319,266.05,294.55,266.05,293.4,112,105
VHL,20070320,288.55,290.5,288.5,290.5,55,43
VHL,20070321,285,285,270,275.6,1323,698
VHL,20070322,280,280,273,275.5,777,777
VHL,20070323,277,277,258,271.3,248,236
VHL,20070326,273.75,273.75,265,266.95,102,96
VHL,20070328,251.7,251.7,245.05,248.65,2252,1364
VHL,20070329,250,250,246,246,135,135
VHL,20070330,248,260,246.05,252.25,181,166
VHL,20070402,245,245,235,245,27,27
VHL,20070404,242,242,242,242,20,20
VHL,20070405,239.25,239.5,235,239.5,406,352
