SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
VINDHYATEL,19941216,290,290,290,290,100,0
VINDHYATEL,19950120,290,290,290,290,100,0
VINDHYATEL,19950216,265,265,265,265,100,0
VINDHYATEL,19950220,265,265,265,265,200,0
VINDHYATEL,19950221,265,265,265,265,100,0
VINDHYATEL,19950222,260,260,260,260,100,0
VINDHYATEL,19950223,260,260,260,260,100,0
VINDHYATEL,19950228,260,260,260,260,100,0
VINDHYATEL,19950306,270,270,265,265,300,0
VINDHYATEL,19950313,280,280,280,280,1200,0
VINDHYATEL,19950315,252,254,252,254,1400,0
VINDHYATEL,19950321,257,257,257,257,100,0
VINDHYATEL,19950327,260,260,260,260,100,0
VINDHYATEL,19950328,255,255,255,255,1100,0
VINDHYATEL,19950329,257,257,250,252,5300,0
VINDHYATEL,19950330,250,250,250,250,100,0
VINDHYATEL,19950331,250,250,250,250,700,0
VINDHYATEL,19950404,235,235,235,235,200,0
VINDHYATEL,19950410,230,230,230,230,200,0
VINDHYATEL,19950420,235,235,235,235,100,0
VINDHYATEL,19950509,214,216,214,216,400,0
VINDHYATEL,19950510,215,215,215,215,100,0
VINDHYATEL,19950515,220,220,220,220,600,0
VINDHYATEL,19950605,238,245,238,245,200,0
VINDHYATEL,19950606,242,242,242,242,100,0
VINDHYATEL,19950609,232,232,232,232,100,0
VINDHYATEL,19950612,210,230,210,230,700,0
VINDHYATEL,19950613,250,250,225,225,600,0
VINDHYATEL,19950616,203,203,203,203,100,0
VINDHYATEL,19950622,220,220,220,220,100,0
VINDHYATEL,19950623,224,224,220,220,300,0
VINDHYATEL,19950628,203,203,202,202,200,0
VINDHYATEL,19950711,200,200,200,200,100,0
VINDHYATEL,19950712,207,207,207,207,100,0
VINDHYATEL,19950718,215,215,215,215,25000,0
VINDHYATEL,19950719,236,240,236,240,200,0
VINDHYATEL,19950725,237.5,237.5,237.5,237.5,100,0
VINDHYATEL,19950824,225,225,225,225,500,0
VINDHYATEL,19950828,203,203,185,185,500,0
VINDHYATEL,19951006,200,200,200,200,100,0
VINDHYATEL,19951018,150,153,150,150,1200,0
VINDHYATEL,19951019,130,130,130,130,100,0
VINDHYATEL,19951020,130,130,130,130,100,0
VINDHYATEL,19951023,146,146,146,146,100,0
VINDHYATEL,19951026,136.5,136.5,130,130,200,0
