SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
WARTDEISEL,19950209,140,140,140,140,100,0
WARTDEISEL,19950210,140,140,140,140,200,0
WARTDEISEL,19950213,140,140,140,140,100,0
WARTDEISEL,19950214,130,130,130,130,100,0
WARTDEISEL,19950215,142.5,143,142.5,143,700,0
WARTDEISEL,19950217,142.5,142.5,132.5,132.5,800,0
WARTDEISEL,19950220,140,140,130,130,900,0
WARTDEISEL,19950221,125,125,125,125,200,0
WARTDEISEL,19950222,126,126,125,125,400,0
WARTDEISEL,19950223,130,130,130,130,100,0
WARTDEISEL,19950302,141,141,140,140,200,0
WARTDEISEL,19950303,141,141,141,141,100,0
WARTDEISEL,19950306,140,141,140,141,200,0
WARTDEISEL,19950307,135,135,133,133,300,0
WARTDEISEL,19950314,132.5,135,132.5,135,600,0
WARTDEISEL,19950315,130,130,130,130,100,0
WARTDEISEL,19950324,136,136,136,136,100,0
WARTDEISEL,19950328,122.5,122.5,122.5,122.5,100,0
WARTDEISEL,19950329,134,149.05,134,149.05,1000,0
WARTDEISEL,19950330,151,151,148.05,148.05,1000,0
WARTDEISEL,19950331,134,160,134,153.7,700,0
WARTDEISEL,19950403,150.05,160,150.05,158.75,2000,0
WARTDEISEL,19950404,160,165,157.5,164.65,1600,0
WARTDEISEL,19950407,175,175,165,170.35,1900,0
WARTDEISEL,19950410,170,170,166.8,167.5,2500,0
WARTDEISEL,19950411,168.75,168.75,165.5,165.5,500,0
WARTDEISEL,19950412,166,166,164,164,400,0
WARTDEISEL,19950417,166,169.65,163.75,168,1100,0
WARTDEISEL,19950418,165,173,165,173,300,0
WARTDEISEL,19950419,165,165,165,165,100,0
WARTDEISEL,19950420,162.55,165,162.5,164,1200,0
WARTDEISEL,19950421,167,167.5,165,165.5,3200,0
WARTDEISEL,19950424,164.45,164.5,161.6,162.3,1100,0
WARTDEISEL,19950425,162,162,158,159.15,4100,0
WARTDEISEL,19950426,158,158,156.5,157.7,1700,0
WARTDEISEL,19950427,155,155,155,155,200,0
WARTDEISEL,19950428,157,157,151,151.35,900,0
WARTDEISEL,19950502,155,155,146,146,1900,0
WARTDEISEL,19950503,152,152,147,150,1400,0
WARTDEISEL,19950504,152.5,152.5,152.5,152.5,1000,0
