SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
WEIZFOREX,20110628,40,84.4,38,69.9,72089,0
WEIZFOREX,20110629,66.4,73.4,66.4,66.4,9016,0
WEIZFOREX,20110630,64,64,63.1,63.1,5749,0
WEIZFOREX,20110701,59.95,62.5,59.95,60,10173,0
WEIZFOREX,20110704,57.5,62.9,57,58,7099,0
WEIZFOREX,20110705,55.5,56.05,55.1,56.05,231,0
WEIZFOREX,20110706,54,58.85,54,58.85,1353,0
WEIZFOREX,20110707,59,61.8,59,61.8,754,0
WEIZFOREX,20110708,64.9,64.9,64.9,64.9,3106,0
WEIZFOREX,20110711,66,68.15,66,68.15,3375,0
WEIZFOREX,20110712,74.85,81.8,70,81.8,28656,0
WEIZFOREX,20110713,90,97.45,81.25,87,108480,21712
WEIZFOREX,20110714,85.5,92.7,81.05,87.9,30453,0
WEIZFOREX,20110715,87,87,83,84.45,9193,4698
WEIZFOREX,20110718,83.1,86,81.45,84,8725,0
WEIZFOREX,20110719,83,85.9,82,84.4,3212,0
WEIZFOREX,20110720,83.25,86,82.1,84,6631,0
WEIZFOREX,20110721,83,85.95,82.9,84.2,2906,0
WEIZFOREX,20110722,83.4,85,80.25,83.4,4554,0
WEIZFOREX,20110725,82.15,82.95,75,78.35,2027,1538
WEIZFOREX,20110726,76,81,74.15,76.1,5436,0
WEIZFOREX,20110727,79.9,79.9,76,76.15,592,581
WEIZFOREX,20110728,76,82.65,76,78.6,6731,5778
WEIZFOREX,20110729,78.1,82,78.1,80.9,4093,0
WEIZFOREX,20110801,90,90,79,82.05,6553,6507
WEIZFOREX,20110802,80,85,80,84,2365,1664
WEIZFOREX,20110803,80,90,80,88.25,7609,0
WEIZFOREX,20110804,89.9,89.9,83.25,84.45,3413,2601
WEIZFOREX,20110805,76.1,86.7,75,81.15,2520,0
WEIZFOREX,20110808,77,82.75,75.25,80.55,2452,0
WEIZFOREX,20110809,80,82,80,80.8,1270,1090
WEIZFOREX,20110810,78.25,84.5,78.25,83.7,1638,0
WEIZFOREX,20110811,86.9,86.9,83.15,84.2,727,0
WEIZFOREX,20110812,81.2,82.8,81.2,81.55,314,0
WEIZFOREX,20110816,80.5,84.35,80,82,3946,1885
WEIZFOREX,20110817,79.9,83.5,79.9,80.85,560,0
WEIZFOREX,20110818,80.5,83.2,78.25,79.9,2658,2553
WEIZFOREX,20110819,77.5,79.9,72.25,79.8,1603,1601
WEIZFOREX,20110822,76,78,75,76,168,0
WEIZFOREX,20110823,79,79,75.5,76.7,211,111
WEIZFOREX,20110824,78.9,79,74.25,74.25,374,374
WEIZFOREX,20110825,79,79,74.45,74.45,104,0
WEIZFOREX,20110826,74.25,78.95,68.55,73.7,1010,1002
WEIZFOREX,20110829,83.75,83.75,79.7,79.85,100,0
WEIZFOREX,20110830,79,81.5,74.25,79.45,1632,0
WEIZFOREX,20110902,79.5,80,76.5,77,115,113
WEIZFOREX,20110905,81.9,82,73,75.9,477,140
WEIZFOREX,20110906,82.5,82.5,75.1,76.5,675,400
WEIZFOREX,20110907,78.85,78.9,78.85,78.9,150,150
WEIZFOREX,20110908,77,82,76.15,76.2,362,329
WEIZFOREX,20110909,75,79,73.25,79,45106,0
WEIZFOREX,20110912,77.1,84,77.1,83.6,1992,0
WEIZFOREX,20110913,84,84.9,84,84,190,0
WEIZFOREX,20110914,82,90,80.05,81,569,0
WEIZFOREX,20110915,79,79.2,79,79.2,60,0
WEIZFOREX,20110919,79.15,79.15,75.1,76.55,269,266
WEIZFOREX,20110920,78.8,83,75.6,81.6,178,160
WEIZFOREX,20110921,78,82,78,78.35,1013,0
WEIZFOREX,20110922,83,83,77,79.9,1359,0
WEIZFOREX,20110923,79.9,81.1,77,81,3727,0
WEIZFOREX,20110926,78,78,75.55,77,224,158
WEIZFOREX,20110927,75.15,77,70.55,75.05,1819,0
WEIZFOREX,20110928,74.1,74.1,74.1,74.1,100,0
WEIZFOREX,20110929,70.05,72.55,70.05,72.5,116,116
WEIZFOREX,20110930,76.45,77.85,70.55,70.55,310,0
WEIZFOREX,20111003,67.3,76,67.3,71.05,464,355
WEIZFOREX,20111004,69,77,66.3,77,16,11
WEIZFOREX,20111005,73,74,70.55,71,1188,897
WEIZFOREX,20111007,68,76,68,76,140,133
WEIZFOREX,20111010,74.9,74.9,70.55,70.55,211,208
WEIZFOREX,20111011,73,73,68.15,68.8,500,0
WEIZFOREX,20111012,69,69,68.65,68.65,117,66
WEIZFOREX,20111013,69,71.5,69,70.05,208,172
WEIZFOREX,20111014,67.25,72.5,67.25,68.5,168,167
WEIZFOREX,20111017,68.05,68.05,68.05,68.05,159,0
WEIZFOREX,20111018,72.9,73,67.5,72.95,24,0
WEIZFOREX,20111019,73,73.95,67.5,71.45,179,0
WEIZFOREX,20111020,69,72,66.25,67.05,599,0
WEIZFOREX,20111021,70,70,70,70,2000,0
WEIZFOREX,20111024,67.5,67.5,67.5,67.5,200,0
WEIZFOREX,20111025,65.25,65.25,62.55,63.85,126,0
WEIZFOREX,20111026,75,75,64.05,69.55,27,17
WEIZFOREX,20111028,67,72.95,65.25,67.1,433,286
WEIZFOREX,20111031,69.5,69.5,69.5,69.5,50,50
WEIZFOREX,20111101,69,69,67.5,67.5,166,100
WEIZFOREX,20111103,64.85,70,64.5,64.5,539,534
