SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
WELSPUNGUJ,20031205,51,51,48.25,48.7,581890,0
WELSPUNGUJ,20031208,49,49.9,48,48.95,296471,0
WELSPUNGUJ,20031209,49.8,50,48.8,48.95,285971,0
WELSPUNGUJ,20031210,50.15,50.15,48.15,48.4,376587,0
WELSPUNGUJ,20031211,49.8,49.8,47.5,48,279666,0
WELSPUNGUJ,20031212,48.5,51.35,47.55,50.7,1297861,0
WELSPUNGUJ,20031215,52,52.4,50,50.1,716574,0
WELSPUNGUJ,20031216,51.9,51.9,49.1,49.4,297734,0
WELSPUNGUJ,20031217,49.95,50.1,48.45,48.85,318864,0
WELSPUNGUJ,20031218,49,49.5,48.45,48.8,266748,0
WELSPUNGUJ,20031219,49,49,45.8,46.4,426099,0
WELSPUNGUJ,20031222,47.5,48,46.15,46.4,267453,0
WELSPUNGUJ,20031223,47.5,50.95,47,50.45,1516790,0
WELSPUNGUJ,20031224,52,53.9,49.1,49.5,348875,0
WELSPUNGUJ,20031226,50.4,50.4,48.5,48.95,296862,0
WELSPUNGUJ,20031229,51.65,53.9,50,52.3,1088221,0
WELSPUNGUJ,20031230,52.95,53.4,50,50.75,632508,0
WELSPUNGUJ,20031231,51.5,52,49.55,49.9,384054,0
WELSPUNGUJ,20040101,50.65,51,50.05,50.55,185411,0
WELSPUNGUJ,20040102,51.35,52,50.5,50.85,410366,0
WELSPUNGUJ,20040105,51.15,55,50.3,50.55,468137,0
WELSPUNGUJ,20040106,50.7,51.25,47.4,47.75,577368,0
WELSPUNGUJ,20040107,47.75,48.5,45.2,46.9,639136,0
WELSPUNGUJ,20040108,51.9,51.9,46.6,47.5,567765,0
WELSPUNGUJ,20040109,49.7,49.7,44.25,44.75,631126,0
WELSPUNGUJ,20040112,45,45.8,42.65,43.1,1022841,0
WELSPUNGUJ,20040113,43.5,45.5,42.8,44.9,548794,0
WELSPUNGUJ,20040114,45.3,46.9,45.25,46.2,444245,0
WELSPUNGUJ,20040115,46.95,47.4,45.75,46.05,283738,0
WELSPUNGUJ,20040116,46.4,46.4,42.65,42.9,275330,0
WELSPUNGUJ,20040119,42.75,43.3,41.25,42.4,409819,0
WELSPUNGUJ,20040120,42.8,44,41.55,41.9,349484,0
WELSPUNGUJ,20040121,41.55,42.8,35.3,37.95,604721,0
WELSPUNGUJ,20040122,38.9,40.35,37.2,39.7,677770,0
WELSPUNGUJ,20040123,40.4,42.25,39.4,41.8,317154,0
WELSPUNGUJ,20040127,43,44.75,42.85,43.8,289665,0
WELSPUNGUJ,20040128,44,44.35,41.25,41.6,206366,0
WELSPUNGUJ,20040129,41,42.1,40.75,41.15,170536,0
WELSPUNGUJ,20040130,41.75,42,38.8,39.15,245109,0
WELSPUNGUJ,20040203,39.45,40.35,33.7,36.5,662263,0
WELSPUNGUJ,20040204,37.5,38.1,36.75,37.8,276776,0
WELSPUNGUJ,20040205,39,39,37.2,37.85,209179,0
WELSPUNGUJ,20040206,38.2,38.2,36.6,37.45,118372,0
WELSPUNGUJ,20040209,37.95,41.15,37.95,40.8,494301,0
WELSPUNGUJ,20040210,41.8,41.8,39.65,39.95,310690,0
WELSPUNGUJ,20040211,39.05,40.1,38.9,39.6,169582,0
WELSPUNGUJ,20040212,39.9,39.9,38.9,39.1,92666,0
WELSPUNGUJ,20040213,38.9,42.8,38.65,42.2,539816,0
WELSPUNGUJ,20040216,43.9,43.9,40.5,40.9,516806,0
WELSPUNGUJ,20040217,41.4,41.75,40.05,41.15,383849,0
WELSPUNGUJ,20040218,41.2,41.7,39.75,40.2,190041,0
WELSPUNGUJ,20040219,40.15,40.55,38.1,38.5,187562,0
WELSPUNGUJ,20040220,38.5,39.6,37,37.25,535442,0
WELSPUNGUJ,20040223,38.1,39.8,35.5,36,326750,0
WELSPUNGUJ,20040224,36.45,36.5,34.75,35.1,381661,0
WELSPUNGUJ,20040225,35.5,36.05,31.8,33.1,434298,0
WELSPUNGUJ,20040226,33.25,34.45,32.75,33.25,737843,0
WELSPUNGUJ,20040227,33.8,34.2,32.35,32.85,369444,0
WELSPUNGUJ,20040301,33.25,39,33.25,38.6,1376305,0
WELSPUNGUJ,20040303,38.9,39.4,35.9,36.2,723734,0
WELSPUNGUJ,20040304,36.5,36.75,34.6,35.05,258601,0
WELSPUNGUJ,20040305,35.65,35.85,35,35.6,153487,0
WELSPUNGUJ,20040308,35.4,38,35.4,36.1,264733,0
WELSPUNGUJ,20040309,36.25,36.45,35.05,35.75,154577,0
WELSPUNGUJ,20040310,35.6,36,34.2,34.55,174220,0
WELSPUNGUJ,20040311,34.85,34.85,33.5,33.8,179731,0
WELSPUNGUJ,20040312,34.3,35.55,33.2,35.1,377047,0
WELSPUNGUJ,20040315,35.4,35.9,33,33.5,228714,0
WELSPUNGUJ,20040316,33,33.8,32.15,32.35,205013,0
WELSPUNGUJ,20040317,33,34.35,32.6,33.4,246687,0
WELSPUNGUJ,20040318,33.6,33.65,31.25,31.8,281803,0
WELSPUNGUJ,20040319,32.4,32.4,30.8,31.2,230135,0
WELSPUNGUJ,20040322,31,31,28.05,28.4,347699,0
WELSPUNGUJ,20040323,29,29,26.8,27.75,844967,0
WELSPUNGUJ,20040324,28.3,28.3,27.05,27.25,337500,0
