SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
WESTNPAQUE,19941206,190,190,190,190,100,0
WESTNPAQUE,19941207,188,188,188,188,100,0
WESTNPAQUE,19941212,170,175,170,175,400,0
WESTNPAQUE,19941213,165,165,165,165,200,0
WESTNPAQUE,19941214,162,162,160,160,200,0
WESTNPAQUE,19941215,165,165,165,165,100,0
WESTNPAQUE,19941216,165,170,165,168,1100,0
WESTNPAQUE,19941219,169,169,169,169,100,0
WESTNPAQUE,19941220,167,167,165,166,800,0
WESTNPAQUE,19941221,170,170,168,168.5,3200,0
WESTNPAQUE,19941222,167.5,169,167.5,169,700,0
WESTNPAQUE,19941223,169,170,166,169,5400,0
WESTNPAQUE,19941226,169,170,167,167.5,6100,0
WESTNPAQUE,19941227,168,169,168,169,2100,0
WESTNPAQUE,19941228,169,169,168.75,169,800,0
WESTNPAQUE,19941229,169,169,166,169,500,0
WESTNPAQUE,19941230,166,167,166,167,200,0
WESTNPAQUE,19950104,172.5,172.5,172.5,172.5,200,0
WESTNPAQUE,19950105,175,180,175,180,500,0
WESTNPAQUE,19950106,180,180,173,173,2200,0
WESTNPAQUE,19950109,171,174,170,171,900,0
WESTNPAQUE,19950110,170,174,165,170,600,0
WESTNPAQUE,19950111,165,167,165,167,600,0
WESTNPAQUE,19950112,169.75,170,169.75,170,600,0
WESTNPAQUE,19950113,170,170,170,170,100,0
WESTNPAQUE,19950116,170,170,167,167,200,0
WESTNPAQUE,19950117,169,170,166.25,170,1300,0
WESTNPAQUE,19950118,171,171,170,170,1400,0
WESTNPAQUE,19950119,170,177.5,169.9,176.2,4700,0
WESTNPAQUE,19950120,176,176,171.25,171.25,1600,0
WESTNPAQUE,19950123,172.25,175,170,174,11900,0
WESTNPAQUE,19950124,171.25,175,170,172,2200,0
WESTNPAQUE,19950125,172,172,171.95,172,1000,0
WESTNPAQUE,19950127,170.3,172.5,170.3,172.5,300,0
WESTNPAQUE,19950130,172,172,172,172,600,0
WESTNPAQUE,19950131,171,172,171,171,800,0
WESTNPAQUE,19950201,172.5,172.8,170,171.5,2200,0
WESTNPAQUE,19950202,169,170.5,167.5,170,1200,0
WESTNPAQUE,19950203,170,170,168,168,300,0
WESTNPAQUE,19950206,167,167.5,165,165.1,1700,0
WESTNPAQUE,19950207,165,165,165,165,300,0
WESTNPAQUE,19950208,160,160,160,160,1000,0
WESTNPAQUE,19950209,155,155,154,154,800,0
WESTNPAQUE,19950210,155,155,152,152,1600,0
WESTNPAQUE,19950213,152,154,152,152.5,3500,0
WESTNPAQUE,19950214,152,153,150,151.5,3400,0
WESTNPAQUE,19950215,152.5,152.5,150,150,2000,0
WESTNPAQUE,19950216,145,152,145,152,600,0
WESTNPAQUE,19950217,145.1,147,145.05,147,400,0
WESTNPAQUE,19950220,143,143,141,141.35,800,0
WESTNPAQUE,19950221,141.5,141.5,135,137.5,800,0
WESTNPAQUE,19950222,130,132,130,132,200,0
WESTNPAQUE,19950223,138,146,138,146,400,0
WESTNPAQUE,19950224,150,151.5,145,151.5,800,0
WESTNPAQUE,19950228,155,155,151,153,400,0
WESTNPAQUE,19950301,153,155,153,155,1000,0
WESTNPAQUE,19950302,151,156.5,151,156.5,300,0
WESTNPAQUE,19950303,162,165,162,162.15,1400,0
WESTNPAQUE,19950306,161.25,162,157.5,162,600,0
WESTNPAQUE,19950307,160,160,157.5,158,2700,0
WESTNPAQUE,19950308,158,163,157,157,900,0
WESTNPAQUE,19950309,160,161,157,161,800,0
WESTNPAQUE,19950310,156,159,155,155,500,0
WESTNPAQUE,19950313,145,155,145,155,400,0
WESTNPAQUE,19950314,152.5,155,152.5,154,1100,0
WESTNPAQUE,19950315,156,158,156,156,1100,0
WESTNPAQUE,19950316,152.5,152.5,152.5,152.5,300,0
WESTNPAQUE,19950320,150,157,150,157,2100,0
WESTNPAQUE,19950321,150,156.25,150,154.65,1600,0
WESTNPAQUE,19950322,158,163,158,163,500,0
WESTNPAQUE,19950323,160,164,157,159,14100,0
WESTNPAQUE,19950324,160.5,161,158,158.2,2300,0
WESTNPAQUE,19950327,157,160,156,159.5,9400,0
