SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
WHIRLPOOL,20100108,132,142.8,132,141.1,3109,1110
WHIRLPOOL,20100111,143.6,150.75,142,148.45,26901,18930
WHIRLPOOL,20100112,150.8,152.3,148,150.15,62770,55120
WHIRLPOOL,20100113,155,155,148.1,149.7,84049,51568
WHIRLPOOL,20100114,152,153.5,145,147.35,58312,36846
WHIRLPOOL,20100115,148.05,151.5,147.25,150.1,46568,40167
WHIRLPOOL,20100118,151,155,148.25,154,51478,0
WHIRLPOOL,20100119,154.95,155.3,153.15,154.2,16835,13749
WHIRLPOOL,20100120,155.3,160.3,153.35,156.35,88326,43860
WHIRLPOOL,20100121,141,157,141,147.15,39208,26733
WHIRLPOOL,20100122,150,155.45,142.55,150.25,39730,29745
WHIRLPOOL,20100125,135.1,151.25,135.1,146.6,17609,13838
WHIRLPOOL,20100127,147.8,147.8,132.15,135.7,33556,23474
WHIRLPOOL,20100128,139.75,140,126.6,131.25,78068,37007
WHIRLPOOL,20100129,129.5,133.3,128,132.95,16152,10601
WHIRLPOOL,20100201,128.7,138.2,128.7,135.4,132640,41811
WHIRLPOOL,20100202,137.85,139.8,134.05,135.2,47959,33133
WHIRLPOOL,20100203,135.05,138.95,135.05,136.6,10099,5647
WHIRLPOOL,20100204,137.95,137.95,133.55,134.45,9873,5499
WHIRLPOOL,20100205,130.15,134,129,132.4,15598,8225
WHIRLPOOL,20100206,134.55,134.55,131.05,133.85,1943,1683
WHIRLPOOL,20100208,126,139.75,126,132.1,4326,2706
WHIRLPOOL,20100209,127,134.45,127,133.3,4172,3107
WHIRLPOOL,20100210,131.05,137.95,130.15,131.15,8397,6167
WHIRLPOOL,20100211,136.5,136.5,131.5,132.4,4861,2628
WHIRLPOOL,20100215,130.5,135.95,129.85,132.2,26428,21659
WHIRLPOOL,20100216,131.3,135,129.2,134,35739,30508
WHIRLPOOL,20100217,137.25,137.25,131.15,132,53263,51736
WHIRLPOOL,20100218,130.1,133.2,130,130.4,5151,3615
WHIRLPOOL,20100219,135,135.9,128.55,134.3,22237,18453
WHIRLPOOL,20100222,139.8,139.8,131,131.9,3801,1647
WHIRLPOOL,20100223,131.15,136.5,130.3,135.8,22735,18939
WHIRLPOOL,20100224,133,137.5,130.95,132.9,5118,3871
WHIRLPOOL,20100225,132.05,136.45,132,133.05,3566,2367
WHIRLPOOL,20100226,135.1,142.8,134.1,141.3,53429,39621
WHIRLPOOL,20100302,142.8,148.3,142,144.65,109613,48911
WHIRLPOOL,20100303,136,156.3,136,154.75,125962,78093
WHIRLPOOL,20100304,156.1,157,149.1,156.1,54395,24521
WHIRLPOOL,20100305,158.5,158.5,152,153.65,40832,21380
WHIRLPOOL,20100308,159,160.3,154,159.35,39691,28092
WHIRLPOOL,20100309,159.1,173.3,159.1,171.8,415536,144638
WHIRLPOOL,20100310,173.9,173.9,167,171.35,126470,42488
WHIRLPOOL,20100311,171.85,172.05,168,168.65,28012,13829
WHIRLPOOL,20100312,171.1,171.1,165,166.9,34241,14225
WHIRLPOOL,20100315,168.9,173.85,168.5,169.85,61794,19804
WHIRLPOOL,20100316,173.3,177.8,171.2,174.2,161776,61710
WHIRLPOOL,20100317,176,178.3,173.15,177.2,75636,40035
WHIRLPOOL,20100318,177.5,177.5,169.45,171.2,86276,61332
WHIRLPOOL,20100319,175,176,171.5,172.45,56303,23209
WHIRLPOOL,20100322,165.8,171.95,165.1,166.1,15293,9446
WHIRLPOOL,20100323,169,169.3,165.5,168.3,15343,8095
WHIRLPOOL,20100325,170,170,163,164.9,12722,8338
WHIRLPOOL,20100326,164.9,174.95,164,171.35,726343,567907
WHIRLPOOL,20100329,172.35,173.95,163.7,164.5,218082,199134
WHIRLPOOL,20100330,165,169.3,160.1,166.75,50671,26714
WHIRLPOOL,20100331,167,168,160.3,161.55,178364,0
WHIRLPOOL,20100401,163,167.8,162,165.8,17722,0
WHIRLPOOL,20100405,162.05,171,162.05,170,66538,54196
WHIRLPOOL,20100406,170,173,170,171.9,56407,0
WHIRLPOOL,20100407,173.8,174.45,167.55,170.9,50189,21113
WHIRLPOOL,20100408,169,174.4,169,171.05,362482,333948
WHIRLPOOL,20100409,171.45,181.9,171.45,176.2,281817,0
WHIRLPOOL,20100412,179.25,182.5,171.65,173,123763,0
WHIRLPOOL,20100413,175,177.45,173.7,176.5,40831,25048
WHIRLPOOL,20100415,178,180.65,168.5,169.85,105279,71350
WHIRLPOOL,20100416,171.75,171.75,168.1,169.5,29031,0
WHIRLPOOL,20100419,163.1,167.35,162.4,165.8,28029,0
WHIRLPOOL,20100420,163.05,170.8,163.05,170.1,20388,9194
WHIRLPOOL,20100421,168.55,174.5,168.55,173.15,78521,55646
WHIRLPOOL,20100422,172.1,176.5,171,176,45983,36224
WHIRLPOOL,20100423,176.5,179.35,176.5,178.1,84987,64525
WHIRLPOOL,20100426,175,185.8,174.5,185.1,193018,116388
WHIRLPOOL,20100427,187,192.75,186.8,191.85,385546,156924
WHIRLPOOL,20100428,189,192.7,180.5,181.55,129842,72044
WHIRLPOOL,20100429,182.05,191.35,182.05,189.2,101673,45519
WHIRLPOOL,20100430,191.9,193,189,190.9,180005,0
WHIRLPOOL,20100503,191,192,185,185.5,22383,10006
WHIRLPOOL,20100504,188.35,189.95,183.25,184.85,51881,34769
WHIRLPOOL,20100505,180,190.2,179.2,188.95,59483,35474
WHIRLPOOL,20100506,190,193.1,185.5,187.55,38002,14006
WHIRLPOOL,20100507,183,186.95,182.15,185.6,92418,67498
WHIRLPOOL,20100510,185.1,193,185.1,192.7,23124,17274
WHIRLPOOL,20100511,193.5,193.5,187.15,188.9,29682,0
WHIRLPOOL,20100512,190.5,193,186.35,192.4,36081,25435
WHIRLPOOL,20100513,193,207.8,192.2,205.8,263105,0
WHIRLPOOL,20100514,209,209.85,198.65,200.9,191066,48324
WHIRLPOOL,20100517,199.95,241.1,192.2,241.1,925413,268993
WHIRLPOOL,20100518,252.55,284,244,250.35,2480521,253016
WHIRLPOOL,20100519,250.35,280.5,241,250.15,3095889,444779
WHIRLPOOL,20100520,256,274.75,244.2,269.15,1576681,185340
WHIRLPOOL,20100521,261.6,275,256.15,260.55,750026,81616
WHIRLPOOL,20100524,264.9,269.25,254,256.05,338956,50089
WHIRLPOOL,20100525,256.05,267,236.2,243.5,448135,52282
WHIRLPOOL,20100526,246.8,268.9,246.8,265.3,765278,111867
WHIRLPOOL,20100527,265.3,268.85,256.65,259.6,314038,49935
WHIRLPOOL,20100528,263.4,268.5,257.55,259.4,243638,41883
WHIRLPOOL,20100531,258,261.4,251.6,253.2,83186,30648
WHIRLPOOL,20100601,251,266.7,251,253.25,290882,45191
WHIRLPOOL,20100602,255.85,265.4,254,262.5,261069,65028
WHIRLPOOL,20100603,266,270.8,261.05,265.1,255685,53088
WHIRLPOOL,20100604,262.05,268.35,259.25,261.55,89560,19250
WHIRLPOOL,20100607,255,256.9,244.1,245.6,188266,89218
WHIRLPOOL,20100608,244,250.65,232,233.3,156516,56425
WHIRLPOOL,20100609,233.85,238.85,227.25,235.1,142466,38662
WHIRLPOOL,20100610,237.9,243.45,235,241,179120,38933
WHIRLPOOL,20100611,241,244,231.75,240.8,22310,0
WHIRLPOOL,20100614,240.5,246.9,237.15,241.8,13377,0
WHIRLPOOL,20100615,240,245.8,238.2,244.1,18679,0
WHIRLPOOL,20100616,238.05,255.5,238.05,252.45,31360,0
WHIRLPOOL,20100617,255,258.8,247.5,255.55,51973,0
WHIRLPOOL,20100618,256,258,247,248.7,16067,0
WHIRLPOOL,20100621,250.5,253.65,248.1,252.65,21356,0
WHIRLPOOL,20100622,250.4,254.85,247.25,252.75,41487,0
WHIRLPOOL,20100623,252,257,250,254.25,14259,0
WHIRLPOOL,20100624,255,256.25,252.6,254.8,52081,0
WHIRLPOOL,20100625,255,266.25,253,264,91508,0
WHIRLPOOL,20100628,262.95,269.8,257.35,264.45,217305,0
WHIRLPOOL,20100629,260,265.1,260,265,30510,0
WHIRLPOOL,20100630,262,266,256.25,264.1,101275,0
WHIRLPOOL,20100701,260.1,266,260,264.85,106179,0
WHIRLPOOL,20100702,265,266.5,261,265,557876,0
WHIRLPOOL,20100705,267,270,262.15,263.1,15671,0
WHIRLPOOL,20100706,265.1,268.5,262.5,265.85,56408,0
WHIRLPOOL,20100707,265.85,277.75,262.1,274,63732,0
WHIRLPOOL,20100708,279,287.7,277.05,287.7,145431,0
WHIRLPOOL,20100709,292,296,286,288.5,33254,0
WHIRLPOOL,20100712,289.9,293.9,282.25,285.5,40665,0
WHIRLPOOL,20100713,290.4,299.8,282.75,299.5,44076,0
WHIRLPOOL,20100714,300,302,292,296.15,32205,0
WHIRLPOOL,20100715,300,303,294,296.15,39586,0
WHIRLPOOL,20100716,299,301.7,292.3,293.45,35426,0
WHIRLPOOL,20100719,298,300,279,286.35,64499,0
