SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
WILLARDLTD,19950224,25,25,25,25,400,0
WILLARDLTD,19950228,25,25,25,25,200,0
WILLARDLTD,19950301,25,25.5,25,25.5,150,0
WILLARDLTD,19950306,26,26,26,26,200,0
WILLARDLTD,19950307,26,26,26,26,400,0
WILLARDLTD,19950308,26,26,25,25,200,0
WILLARDLTD,19950309,25,26,25,26,600,0
WILLARDLTD,19950310,27,27,26.25,26.25,450,0
WILLARDLTD,19950314,30,30,30,30,200,0
WILLARDLTD,19950315,26,26,25,25,500,0
WILLARDLTD,19950316,24.95,25,24.95,25,300,0
WILLARDLTD,19950321,23,23,23,23,100,0
WILLARDLTD,19950322,23.5,23.5,21.75,21.75,1300,0
WILLARDLTD,19950323,22.1,22.1,22,22,700,0
WILLARDLTD,19950324,22,22,22,22,50,0
WILLARDLTD,19950327,22,22,22,22,100,0
WILLARDLTD,19950328,21.5,22.75,21,22.75,1400,0
WILLARDLTD,19950329,22,22,22,22,100,0
WILLARDLTD,19950330,23,23,23,23,300,0
WILLARDLTD,19950403,22.5,22.5,22.5,22.5,50,0
WILLARDLTD,19950404,22.5,22.85,20.75,21,600,0
WILLARDLTD,19950407,22.5,24,22.5,24,700,0
WILLARDLTD,19950410,22,22,21.1,21.1,500,0
WILLARDLTD,19950417,23,23,23,23,200,0
WILLARDLTD,19950419,20.9,20.9,20.9,20.9,100,0
WILLARDLTD,19950421,20,20,20,20,400,0
WILLARDLTD,19950424,20,20,19,19,300,0
WILLARDLTD,19950425,18.75,20,18.75,18.75,1050,0
WILLARDLTD,19950426,19,20,19,20,1600,0
WILLARDLTD,19950427,18,18,18,18,150,0
WILLARDLTD,19950428,17,17,17,17,1000,0
WILLARDLTD,19950503,17.75,18.45,17.75,18.25,1000,0
WILLARDLTD,19950504,18.95,18.95,18.95,18.95,300,0
WILLARDLTD,19950505,18.75,19.5,18.75,19.5,200,0
WILLARDLTD,19950508,19,19,19,19,200,0
WILLARDLTD,19950509,18.7,19,18.7,19,300,0
WILLARDLTD,19950512,18.5,18.5,18.25,18.4,1000,0
WILLARDLTD,19950515,18.5,19,18.5,18.5,300,0
WILLARDLTD,19950516,18.5,18.5,18,18,1600,0
WILLARDLTD,19950517,18,18.5,18,18.5,500,0
WILLARDLTD,19950518,19,19,19,19,500,0
WILLARDLTD,19950519,20,20,19,19.5,500,0
WILLARDLTD,19950522,19.25,19.25,19,19,1050,0
WILLARDLTD,19950523,18,18.75,18,18.75,900,0
WILLARDLTD,19950524,19,19.75,18.5,19.75,700,0
WILLARDLTD,19950526,19.45,19.45,19,19,700,0
WILLARDLTD,19950529,19.5,19.75,19.5,19.75,150,0
WILLARDLTD,19950530,17.2,18,17.2,18,300,0
WILLARDLTD,19950531,18.25,18.25,18.25,18.25,500,0
WILLARDLTD,19950601,18.25,18.5,18.25,18.5,100,0
WILLARDLTD,19950602,18.5,18.9,18.5,18.7,1200,0
WILLARDLTD,19950605,19.45,19.45,19,19,1300,0
WILLARDLTD,19950606,19,19,19,19,100,0
WILLARDLTD,19950607,19.25,19.25,19,19,1000,0
WILLARDLTD,19950608,19.5,19.5,19.1,19.5,350,0
WILLARDLTD,19950609,19,19,19,19,100,0
WILLARDLTD,19950612,17.6,17.6,17.6,17.6,100,0
WILLARDLTD,19950613,18.25,18.5,18.05,18.5,550,0
WILLARDLTD,19950614,18.75,18.75,18,18,200,0
WILLARDLTD,19950615,18,18,17.55,18,700,0
WILLARDLTD,19950616,17.55,17.75,17.55,17.55,800,0
WILLARDLTD,19950619,17.5,17.5,16,16,200,0
WILLARDLTD,19950620,16.5,17.6,16.5,17.6,700,0
WILLARDLTD,19950622,17,17,17,17,50,0
WILLARDLTD,19950623,17,18,17,18,600,0
WILLARDLTD,19950626,17.75,17.9,17,17,250,0
WILLARDLTD,19950628,17.45,17.45,17.45,17.45,50,0
WILLARDLTD,19950629,16.75,17,16.75,17,500,0
WILLARDLTD,19950630,17.45,17.45,17,17,1000,0
WILLARDLTD,19950703,17,17,17,17,100,0
WILLARDLTD,19950704,17,17,17,17,100,0
WILLARDLTD,19950705,17.85,17.85,16,16,600,0
WILLARDLTD,19950707,14.5,14.5,14.5,14.5,400,0
WILLARDLTD,19950710,14.5,14.5,14.5,14.5,100,0
WILLARDLTD,19950711,15.5,15.5,15,15.1,2000,0
WILLARDLTD,19950713,16.25,16.25,16.25,16.25,100,0
WILLARDLTD,19950720,18,18,18,18,200,0
WILLARDLTD,19950721,18,18.75,18,18.75,300,0
WILLARDLTD,19950724,18.9,18.9,17.9,18.85,800,0
WILLARDLTD,19950725,18,18,18,18,300,0
WILLARDLTD,19950726,18,18,18,18,200,0
WILLARDLTD,19950727,18,18,18,18,100,0
WILLARDLTD,19950728,18,18,18,18,500,0
WILLARDLTD,19950731,18,18,18,18,400,0
WILLARDLTD,19950801,18,18,15,15,450,0
WILLARDLTD,19950803,17,17,17,17,300,0
WILLARDLTD,19950804,17,17,17,17,100,0
WILLARDLTD,19950807,17,17,15.5,17,400,0
WILLARDLTD,19950808,15.5,15.5,15.5,15.5,100,0
WILLARDLTD,19950809,15.75,15.75,15.75,15.75,100,0
WILLARDLTD,19950811,16,16.1,16,16.1,500,0
WILLARDLTD,19950814,16.5,16.5,16.5,16.5,250,0
WILLARDLTD,19950816,16,16,16,16,100,0
WILLARDLTD,19950818,16,16,16,16,250,0
WILLARDLTD,19950821,16,16,15,16,600,0
WILLARDLTD,19950822,16,16,16,16,250,0
WILLARDLTD,19950824,16.5,16.5,16.5,16.5,100,0
WILLARDLTD,19950825,16,16,16,16,1500,0
WILLARDLTD,19950830,15.5,15.5,15.5,15.5,200,0
WILLARDLTD,19950831,16,16,16,16,100,0
WILLARDLTD,19950901,15,15,15,15,100,0
WILLARDLTD,19950905,14.25,14.25,14.25,14.25,100,0
WILLARDLTD,19950906,14.5,14.5,14.5,14.5,950,0
WILLARDLTD,19950907,14.75,14.95,14.5,14.95,600,0
WILLARDLTD,19950908,14.5,14.75,14.5,14.75,200,0
WILLARDLTD,19950911,14.5,15,14.5,14.5,3000,0
WILLARDLTD,19950912,15,15,14.75,14.75,300,0
WILLARDLTD,19950913,14.75,15,14.75,15,400,0
WILLARDLTD,19950914,14,14,13.5,13.5,400,0
WILLARDLTD,19950915,14,15,14,14.75,700,0
WILLARDLTD,19950918,15,15,14.75,14.75,300,0
WILLARDLTD,19950919,14.45,14.5,14.45,14.5,200,0
WILLARDLTD,19950921,14.5,14.5,14.5,14.5,200,0
WILLARDLTD,19950922,14.55,14.55,14.55,14.55,100,0
WILLARDLTD,19950925,15,15,14.75,14.75,1500,0
