SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
WOOLWORTH,19941201,110,110,110,110,100,0
WOOLWORTH,19941202,110,110,100,100,600,0
WOOLWORTH,19941205,102,102,102,102,500,0
WOOLWORTH,19941206,105,105,100,101,1100,0
WOOLWORTH,19941207,100,100,98.75,98.75,500,0
WOOLWORTH,19941209,99,99,99,99,200,0
WOOLWORTH,19941213,90,90,90,90,100,0
WOOLWORTH,19941216,97,97,95,95,400,0
WOOLWORTH,19941219,96,96,95,95,1500,0
WOOLWORTH,19941220,94,94,93,93,300,0
WOOLWORTH,19941222,95,95,95,95,100,0
WOOLWORTH,19941228,95,96,95,95.5,2600,0
WOOLWORTH,19950102,95,103.35,95,103.2,400,0
WOOLWORTH,19950103,101,112.5,101,110.2,2900,0
WOOLWORTH,19950104,110,114,110,112,2000,0
WOOLWORTH,19950105,110,110,107,108,600,0
WOOLWORTH,19950106,103,103,103,103,200,0
WOOLWORTH,19950109,104,104,98,100,700,0
WOOLWORTH,19950110,93,95,91,94,1700,0
WOOLWORTH,19950111,92,97,92,94.9,3900,0
WOOLWORTH,19950113,93.05,95,93.05,95,2000,0
WOOLWORTH,19950116,95,95,95,95,100,0
WOOLWORTH,19950117,94.95,96,94.95,96,1500,0
WOOLWORTH,19950118,95,96,95,96,300,0
WOOLWORTH,19950119,96,96,95,96,900,0
WOOLWORTH,19950120,96,96,90,90,600,0
WOOLWORTH,19950123,90,92,89,92,1100,0
WOOLWORTH,19950124,91,93.25,91,92,400,0
WOOLWORTH,19950125,90,92,90,91.4,900,0
WOOLWORTH,19950127,90,92.5,90,92.5,1100,0
WOOLWORTH,19950130,91,92,91,92,500,0
WOOLWORTH,19950131,90,94,90,94,900,0
WOOLWORTH,19950201,93,93,92.5,92.5,600,0
WOOLWORTH,19950202,90,92,90,92,700,0
WOOLWORTH,19950203,90,91,90,90,2500,0
WOOLWORTH,19950206,96.5,96.5,89,89,2100,0
WOOLWORTH,19950207,88,88,88,88,200,0
WOOLWORTH,19950208,88.75,88.75,85.5,85.5,2600,0
WOOLWORTH,19950209,85.9,87,85.9,86,900,0
WOOLWORTH,19950213,87,87,85,85,300,0
WOOLWORTH,19950214,85,85,80.3,80.3,200,0
WOOLWORTH,19950216,83.5,83.5,82.25,82.9,200,0
WOOLWORTH,19950217,82,82,80,80,300,0
WOOLWORTH,19950221,76,76,73,73,300,0
WOOLWORTH,19950222,70,76,70,73.05,5500,0
WOOLWORTH,19950223,71,77.5,71,77.5,900,0
WOOLWORTH,19950224,82.5,82.5,82.5,82.5,200,0
WOOLWORTH,19950228,83,83,82,82,300,0
WOOLWORTH,19950301,81.5,82.5,81.5,82.5,500,0
WOOLWORTH,19950302,80,80.3,80,80.3,200,0
WOOLWORTH,19950303,80,83,80,81.5,3000,0
WOOLWORTH,19950306,81,85,81,83.5,1700,0
WOOLWORTH,19950307,83,83,82.5,82.85,600,0
WOOLWORTH,19950308,83,84,83,84,300,0
WOOLWORTH,19950309,84,85,84,85,600,0
WOOLWORTH,19950310,84,88,84,88,700,0
WOOLWORTH,19950313,85,85,85,85,100,0
WOOLWORTH,19950314,84.5,84.5,84.5,84.5,100,0
WOOLWORTH,19950315,85.05,86,85,85,1100,0
WOOLWORTH,19950316,85,87,85,87,200,0
WOOLWORTH,19950320,80,80,80,80,100,0
WOOLWORTH,19950321,80,83,80,81.05,700,0
WOOLWORTH,19950322,83.5,84,83.5,84,300,0
WOOLWORTH,19950323,83,95,83,94.95,3200,0
WOOLWORTH,19950324,96,100,95,100,3000,0
WOOLWORTH,19950327,94.25,104,94.25,101.25,4200,0
WOOLWORTH,19950328,100,104,100,101.95,4200,0
WOOLWORTH,19950329,102.25,103,100.05,103,2500,0
WOOLWORTH,19950330,102,103,100,100,1200,0
WOOLWORTH,19950331,93,100,91,94.5,2300,0
WOOLWORTH,19950403,99,100,98.95,99,1600,0
WOOLWORTH,19950404,99.75,103,98.75,101.05,8800,0
WOOLWORTH,19950407,102,104,102,103,2400,0
WOOLWORTH,19950410,103,103,100,100,1600,0
WOOLWORTH,19950411,98.1,100,98.1,99.5,3600,0
WOOLWORTH,19950412,100.05,102,100.05,101.55,800,0
WOOLWORTH,19950417,102,102,99,99,1500,0
WOOLWORTH,19950418,100,100,99,99,1500,0
WOOLWORTH,19950419,98,101,98,98,4500,0
WOOLWORTH,19950420,98,101,97.5,101,4700,0
WOOLWORTH,19950421,100,103,100,102,3300,0
WOOLWORTH,19950424,100,101,99,99.75,3500,0
WOOLWORTH,19950425,96,99.25,96,99.1,7500,0
WOOLWORTH,19950426,98,100,98,99,3300,0
WOOLWORTH,19950427,93,96.5,93,95,800,0
WOOLWORTH,19950428,90,95,90,93.05,2400,0
WOOLWORTH,19950502,91,91,89,89.5,1400,0
WOOLWORTH,19950503,87,97,84.95,97,6600,0
WOOLWORTH,19950504,95.5,98,95.5,98,3300,0
WOOLWORTH,19950505,98,99.5,97,97,6200,0
WOOLWORTH,19950508,97,98,95.95,98,700,0
WOOLWORTH,19950509,96,100,96,98.5,2500,0
WOOLWORTH,19950510,96.95,97,96.5,97,2400,0
WOOLWORTH,19950512,96,96,92,92,1200,0
WOOLWORTH,19950515,93,93.6,93,93.6,1200,0
WOOLWORTH,19950516,90,93,90,91.75,2900,0
WOOLWORTH,19950517,92,98.95,91.2,92.3,2300,0
WOOLWORTH,19950518,95,96.5,95,96,1300,0
WOOLWORTH,19950519,96,96.05,95,95,700,0
WOOLWORTH,19950522,95,96.5,95,96,1000,0
WOOLWORTH,19950523,90,91,90,90.2,2500,0
WOOLWORTH,19950524,90.75,90.75,90.5,90.5,600,0
WOOLWORTH,19950525,90.5,93,90,92,2000,0
WOOLWORTH,19950526,92,92,90,90,1000,0
WOOLWORTH,19950529,85,86.25,85,86.15,1200,0
WOOLWORTH,19950530,85.9,87,83.5,87,900,0
WOOLWORTH,19950531,87,87,85,85,200,0
WOOLWORTH,19950601,84,85,83.5,84.25,300,0
WOOLWORTH,19950602,85.5,85.5,83,83,800,0
WOOLWORTH,19950605,83,86,83,83,600,0
WOOLWORTH,19950606,82.25,83,81,81,500,0
WOOLWORTH,19950607,83,83,83,83,500,0
WOOLWORTH,19950608,81.5,81.5,80.5,81,500,0
WOOLWORTH,19950609,82,82,80,81.05,1100,0
WOOLWORTH,19950612,80,81,80,81,1000,0
WOOLWORTH,19950613,81,81,81,81,1300,0
WOOLWORTH,19950614,80.5,80.5,79,79,500,0
WOOLWORTH,19950615,75,77.5,73.25,77.45,1000,0
WOOLWORTH,19950616,76.5,77,76.5,77,200,0
WOOLWORTH,19950619,75,77,75,77,400,0
WOOLWORTH,19950620,76,76.25,75,76,1100,0
WOOLWORTH,19950621,76.1,77,76.1,77,400,0
WOOLWORTH,19950622,77.1,78,77,78,800,0
WOOLWORTH,19950623,75,78,75,77.7,1200,0
WOOLWORTH,19950626,75,75,75,75,100,0
WOOLWORTH,19950627,72,74,72,73,400,0
WOOLWORTH,19950628,72,73,72,72.5,1100,0
WOOLWORTH,19950629,72.5,73.95,72.5,73,300,0
WOOLWORTH,19950630,72.25,72.25,72.25,72.25,400,0
WOOLWORTH,19950703,68,69,68,69,1100,0
WOOLWORTH,19950704,67,67.5,66,66.2,800,0
WOOLWORTH,19950705,67,68,65,65,1600,0
WOOLWORTH,19950706,66,66,65,66,1000,0
WOOLWORTH,19950707,65,66,65,66,400,0
WOOLWORTH,19950710,70,70,66,66,700,0
WOOLWORTH,19950711,68,75,68,75,2200,0
WOOLWORTH,19950712,73,76,73,74.3,1900,0
WOOLWORTH,19950713,76,76.5,75,75,1300,0
WOOLWORTH,19950714,77,79,76.85,79,1600,0
WOOLWORTH,19950717,74,84.25,74,83,1000,0
WOOLWORTH,19950718,79,83,79,82,1800,0
WOOLWORTH,19950719,83,84,81,81,1100,0
WOOLWORTH,19950720,81.5,81.95,81,81,300,0
WOOLWORTH,19950721,80,82,80,80,1100,0
WOOLWORTH,19950724,80,80,79,79,1700,0
WOOLWORTH,19950725,82,82,78.5,78.5,500,0
WOOLWORTH,19950726,74,74.1,74,74.1,200,0
WOOLWORTH,19950727,74,77,74,77,200,0
WOOLWORTH,19950728,72.5,75.5,72.5,75.5,400,0
WOOLWORTH,19950731,73,73,69.25,72,700,0
WOOLWORTH,19950801,67,70,67,69.1,2500,0
