SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ZEELEARN,20101220,101,101,15,19.65,9875059,0
ZEELEARN,20101221,20.65,20.65,18.7,20.65,817692,0
ZEELEARN,20101222,21.7,21.7,21.7,21.7,571687,0
ZEELEARN,20101223,22.8,22.8,22,22.8,1969630,0
ZEELEARN,20101224,23.95,23.95,23.1,23.95,1433621,0
ZEELEARN,20101227,25.15,25.15,25.15,25.15,1009625,0
ZEELEARN,20101228,26.45,26.45,26.45,26.45,865744,0
ZEELEARN,20101229,27.8,27.8,25.15,27.8,3023202,0
ZEELEARN,20101230,29.2,29.2,26.45,26.5,1778647,0
ZEELEARN,20101231,27.4,27.85,25.2,27.5,1139990,0
ZEELEARN,20110103,28.7,32.3,28.5,29.6,5444968,2168639
ZEELEARN,20110104,30.2,31.3,28.2,29.05,2526893,968140
ZEELEARN,20110105,29.85,29.9,27,27.35,1951376,1003692
ZEELEARN,20110106,27.5,27.7,25.25,25.6,2451459,1101159
ZEELEARN,20110107,25.1,26.7,24.4,24.65,2768950,1197095
ZEELEARN,20110110,25.25,27.55,24.75,25.55,2282175,925432
ZEELEARN,20110111,25.95,27.3,25.1,25.5,1882873,952914
ZEELEARN,20110112,26,26.4,25,25.85,1523678,826306
ZEELEARN,20110113,26.6,26.7,24.1,24.75,2000289,959706
ZEELEARN,20110114,25,25,22.7,23,1356532,688743
ZEELEARN,20110117,23.4,23.5,21.6,21.85,1194009,624783
ZEELEARN,20110118,22,24.7,20.6,23.8,4052520,1895732
ZEELEARN,20110119,24.9,27.4,23.2,26.8,4370060,1541607
ZEELEARN,20110120,26.05,26.85,25.5,25.75,2380214,831396
ZEELEARN,20110121,25.8,27.5,25.5,26.5,2296261,668913
ZEELEARN,20110124,26.9,27.2,26,26.25,952947,358046
ZEELEARN,20110125,26.65,27.2,25.7,26.05,1005530,390768
ZEELEARN,20110127,26,26.5,24.35,24.7,1710524,812677
ZEELEARN,20110128,25.05,25.05,22.8,23.3,1124568,462542
ZEELEARN,20110131,22.75,23.05,21.7,22.65,1554288,911481
ZEELEARN,20110201,23,23,21.65,21.85,1122535,535201
ZEELEARN,20110202,22.1,23.2,21.65,22,1274131,433405
ZEELEARN,20110203,22.5,22.7,21.7,22.3,753180,284906
ZEELEARN,20110204,22.1,23.2,21.65,21.9,929844,342638
ZEELEARN,20110207,22.3,22.75,21.8,21.9,619647,245027
ZEELEARN,20110208,22,22.15,20.25,20.45,823412,371177
ZEELEARN,20110209,20.5,20.7,18.45,18.7,2006148,997135
ZEELEARN,20110210,18.7,19.1,18,18.45,964148,433659
ZEELEARN,20110211,18.95,21.7,18.3,21.15,1449275,570544
ZEELEARN,20110214,21.5,22.4,21.35,22.2,788321,0
ZEELEARN,20110215,22,22.45,21.3,21.5,737774,256782
ZEELEARN,20110216,21.6,21.8,21.1,21.2,563248,0
ZEELEARN,20110217,21.5,25.45,21.3,25.45,5776640,0
ZEELEARN,20110218,25.6,26.7,23.3,23.6,4332300,0
ZEELEARN,20110221,23.7,24,21.65,23.75,2391916,554178
ZEELEARN,20110222,23.8,25.6,23.15,24.65,3572298,797709
ZEELEARN,20110223,24.7,25.9,24.45,24.65,1773189,509023
ZEELEARN,20110224,24.5,24.95,22.8,23.1,1595577,554281
ZEELEARN,20110225,23.95,24,22.6,23.25,1260177,0
ZEELEARN,20110228,23.75,24.45,22.4,22.55,1936240,0
ZEELEARN,20110301,23,23.6,22.7,23.35,1124873,0
ZEELEARN,20110303,23.3,23.4,22.6,22.8,891711,0
ZEELEARN,20110304,23,24.1,22.85,23.3,1521666,0
ZEELEARN,20110307,22.8,23.15,22.3,22.6,582049,0
