SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ZENITHCOMP,20000510,51,53.3,47,47.7,10100,0
ZENITHCOMP,20000511,44.5,45.9,43.9,44.85,3800,0
ZENITHCOMP,20000512,44,45,41.3,42,5600,0
ZENITHCOMP,20000515,39.3,40,39,39,2400,0
ZENITHCOMP,20000516,39.1,39.1,36.7,37.45,4400,0
ZENITHCOMP,20000517,39.9,40.45,38.25,38.25,4100,0
ZENITHCOMP,20000518,37.15,37.45,36.8,37.45,1900,0
ZENITHCOMP,20000519,34.55,37.4,34.55,36.75,1400,0
ZENITHCOMP,20000522,35.5,35.5,34.2,34.85,2500,0
ZENITHCOMP,20000523,34.5,35.15,33,33.1,4300,0
ZENITHCOMP,20000524,32.25,34.5,32,33.6,3000,0
ZENITHCOMP,20000525,33.7,35.2,33.7,33.8,4100,0
ZENITHCOMP,20000526,34.25,34.25,32.3,33.25,2600,0
ZENITHCOMP,20000529,30.6,32.5,30.6,32,3000,0
ZENITHCOMP,20000530,31,34.6,31,34.6,5700,0
ZENITHCOMP,20000531,36.95,37.4,36.95,37.4,800,0
ZENITHCOMP,20000601,39.9,40.4,38.3,40.3,11100,0
ZENITHCOMP,20000602,43.5,43.55,43.4,43.55,3100,0
ZENITHCOMP,20000605,47.05,47.05,47.05,47.05,1500,0
ZENITHCOMP,20000606,49,50.45,46,49.7,8400,0
ZENITHCOMP,20000607,46.5,53.7,46.3,53.15,13700,0
ZENITHCOMP,20000608,53.7,56.9,53.5,54.7,17700,0
ZENITHCOMP,20000609,51,53,50.4,50.75,9800,0
ZENITHCOMP,20000612,50,50,47.15,47.2,6200,0
ZENITHCOMP,20000613,45.1,46.75,44.15,45.05,8700,0
ZENITHCOMP,20000614,46.95,48.65,46.65,46.75,8500,0
ZENITHCOMP,20000615,47,47,45,45.75,4500,0
ZENITHCOMP,20000616,45.15,46,44.65,45.25,7900,0
ZENITHCOMP,20000619,47.25,48,46.65,47.7,9700,0
ZENITHCOMP,20000620,48.9,49,47.5,48.7,8500,0
ZENITHCOMP,20000621,49,51,47,47.15,15200,0
ZENITHCOMP,20000622,47.7,47.7,46.5,47.2,2500,0
ZENITHCOMP,20000623,45.05,45.85,43.65,43.65,7300,0
ZENITHCOMP,20000626,45,45,41,43,3000,0
ZENITHCOMP,20000627,40,43.1,40,41.8,6500,0
