SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ZENITHLTD,19950823,11.25,11.25,11.25,11.25,2500,0
ZENITHLTD,19950824,11.15,11.15,11.1,11.1,350,0
ZENITHLTD,19950905,10.5,10.5,10.5,10.5,500,0
ZENITHLTD,19950907,11,11,11,11,300,0
ZENITHLTD,19951016,11.5,11.5,11.5,11.5,100,0
ZENITHLTD,19951018,11.5,11.5,11.5,11.5,200,0
ZENITHLTD,19951019,11.5,11.5,11.5,11.5,100,0
ZENITHLTD,19951020,11,11,11,11,200,0
ZENITHLTD,19951023,11,11,11,11,100,0
ZENITHLTD,19951024,10.25,10.25,10.25,10.25,500,0
ZENITHLTD,19951027,11,11,11,11,200,0
ZENITHLTD,19951103,11,11,11,11,100,0
ZENITHLTD,19951106,11,10.05,10.05,10.05,100,0
ZENITHLTD,19951107,10.05,10.5,10.1,10.1,250,0
ZENITHLTD,19951114,10,10,10,10,200,0
ZENITHLTD,19951121,9.5,9.5,9.5,9.5,200,0
ZENITHLTD,19951128,9,9,9,9,500,0
ZENITHLTD,19951212,8.25,8.25,8.15,8.15,2100,0
ZENITHLTD,19951213,8.5,8.5,8.5,8.5,700,0
ZENITHLTD,19951221,8.5,8.5,8.5,8.5,500,0
ZENITHLTD,19951222,8.25,8.25,7.8,7.85,750,0
ZENITHLTD,19951229,7.25,7.25,7.1,7.1,100,0
ZENITHLTD,19960101,7.5,7.5,7.5,7.5,2500,0
ZENITHLTD,19960110,7.5,7.5,7.5,7.5,150,0
ZENITHLTD,19960115,7.5,7.5,7.25,7.25,150,0
ZENITHLTD,19960116,8,8,8,8,100,0
ZENITHLTD,19960117,8.5,8.5,8.5,8.5,300,0
ZENITHLTD,19960214,8.1,8.1,8.1,8.1,100,0
ZENITHLTD,19960216,8.25,8.25,8.25,8.25,500,0
ZENITHLTD,19960219,8.5,9,8.5,9,700,0
ZENITHLTD,19960220,9,9.95,9,9.95,350,0
ZENITHLTD,19960222,10.6,10.6,10.6,10.6,300,0
ZENITHLTD,19960223,9.6,10.85,9.6,9.6,2600,0
ZENITHLTD,19960226,8.7,10,8.7,9.95,2400,0
ZENITHLTD,19960227,9.95,9,8.95,9,2850,0
